ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
Kosair Children's Hospital (KYKC) , KYKC , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0, 1 , 1 ,0, 0 , 0 , 1 , 6 , 6 ,2012,7
University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2012/07/13 , Kidney , 4 , 6 , 19 , 174 , 174 , 131 , 0 , 0 ,0, 4 , 4 ,2012,7
Children's Hospital (LACH) , LACH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 2 , 2 , 2 , 4 , 0 , 0 , 3 , 20 , 20 ,2012,7
University Medical Center (LAMC) , LAMC , TX1 , 2012/07/13 , Kidney , 0 , 0 , 9 , 6 , 6 , 53 ,0,0,0,0,0,2012,7
Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2012/07/13 , Kidney , 5 , 8 , 17 , 255 , 255 , 175 , 0 , 1 , 0 , 5 , 5 ,2012,7
Tulane Medical Center (LATU) , LATU , TX1 , 2012/07/13 , Kidney , 9 , 27 , 57 , 280 , 280 , 261 , 2 , 2 , 3 , 4 , 4 ,2012,7
Willis-Knighton Medical Center (LAWK) , LAWK , TX1 , 2012/07/13 , Kidney , 2 , 4 , 26 , 70 , 70 , 105 ,0,0, 1 ,0,0,2012,7
Beth Israel Deaconess Medical Center (MABI) , MABI , TX1 , 2012/07/13 , Kidney , 2 , 8 , 24 , 149 , 149 , 130 ,0,0,0,0,0,2012,7
Baystate Medical Center (MABS) , MABS , TX1 , 2012/07/13 , Kidney , 2 , 4 , 7 , 86 , 86 , 62 , 0 , 0 , 1 , 4 , 4 ,2012,7
Boston Medical Center (MABU) , MABU , TX1 , 2012/07/13 , Kidney , 3 , 7 , 14 , 90 , 90 , 85 ,0,0, 0 ,0,0,2012,7
Children's Hospital (MACH) , MACH , TX1 , 2012/07/13 , Kidney , 0 , 1 , 1 , 10 , 10 , 12 , 1 , 1 , 7 , 48 , 48 ,2012,7
Lahey Clinic Medical Center (MALC) , MALC , TX1 , 2012/07/13 , Kidney , 3 , 6 , 17 , 86 , 86 , 81 ,0,0,0,0,0,2012,7
Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2012/07/13 , Kidney , 3 , 11 , 21 , 196 , 196 , 194 , 0 , 0 , 1 , 7 , 7 ,2012,7
Tufts Medical Center (MANM) , MANM , TX1 , 2012/07/13 , Kidney , 1 , 1 , 7 , 89 , 89 , 87 , 0 , 0 , 2 , 7 , 7 ,2012,7
Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2012/07/13 , Kidney , 4 , 13 , 34 , 156 , 156 , 204 ,0,0, 1 ,0,0,2012,7
UMass Memorial Medical Center (MAUM) , MAUM , TX1 , 2012/07/13 , Kidney , 3 , 5 , 18 , 115 , 115 , 105 , 0 , 0 , 0 , 2 , 2 ,2012,7
Johns Hopkins Hospital (MDJH) , MDJH , TX1 , 2012/07/13 , Kidney , 12 , 30 , 58 , 534 , 534 , 433 , 0 , 0 , 3 , 20 , 20 ,2012,7
Warren Grant Magnuson Clinical Center/National Institutes of Health (MDNI) , MDNI , TX1 , 2012/07/13 , Kidney ,0,0, 0 ,0,0, 12 ,0,0, 1 ,0,0,2012,7
University of Maryland Medical System (MDUM) , MDUM , TX1 , 2012/07/13 , Kidney , 18 , 52 , 109 , 584 , 584 , 550 , 0 , 0 , 1 , 5 , 5 ,2012,7
Maine Medical Center (MEMC) , MEMC , TX1 , 2012/07/13 , Kidney , 3 , 11 , 24 , 115 , 115 , 124 , 0 , 0 , 1 , 2 , 2 ,2012,7
William Beaumont Hospital (MIBH) , MIBH , TX1 , 2012/07/13 , Kidney , 4 , 9 , 21 , 139 , 139 , 142 , 0 , 0 , 1 , 1 , 1 ,2012,7
Children's Hospital of Michigan (MICH) , MICH , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0, 1 , 1 ,0, 3 , 3 , 2 , 20 , 20 ,2012,7
Helen DeVos Children's Hospital (MIDV) , MIDV , TX1 , 2012/07/13 , Kidney , 0 , 0 , 0 , 3 , 3 , 2 , 0 , 0 , 0 , 7 , 7 ,2012,7
Henry Ford Hospital (MIHF) , MIHF , TX1 , 2012/07/13 , Kidney , 3 , 13 , 45 , 243 , 243 , 206 ,0,0,0,0,0,2012,7
Harper University Hospital Detroit Medical Center (MIHH) , MIHH , TX1 , 2012/07/13 , Kidney , 4 , 7 , 16 , 75 , 75 , 96 ,0,0,0,0,0,2012,7
Hurley Medical Center (MIHM) , MIHM , TX1 , 2012/07/13 , Kidney ,0,0, 2 ,0,0, 19 ,0,0,0,0,0,2012,7
St John Hospital and Medical Center (MISJ) , MISJ , TX1 , 2012/07/13 , Kidney , 1 , 4 , 20 , 134 , 134 , 119 ,0,0, 0 ,0,0,2012,7
St. Mary's Health Care - Main Hospital (MISM) , MISM , TX1 , 2012/07/13 , Kidney , 3 , 13 , 18 , 228 , 228 , 196 ,0,0,0,0,0,2012,7
University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2012/07/13 , Kidney , 12 , 33 , 90 , 454 , 454 , 561 , 1 , 2 , 6 , 18 , 18 ,2012,7
Abbott Northwestern Hospital (MNAN) , MNAN , TX1 , 2012/07/13 , Kidney , 2 , 5 , 8 , 63 , 63 , 63 ,0,0, 0 ,0,0,2012,7
Hennepin County Medical Center (MNHC) , MNHC , TX1 , 2012/07/13 , Kidney , 4 , 16 , 18 , 222 , 222 , 196 ,0,0,0,0,0,2012,7
Rochester Methodist Hospital (Mayo Clinic) (MNMC) , MNMC , TX1 , 2012/07/13 , Kidney , 4 , 8 , 31 , 394 , 394 , 402 , 0 , 1 , 1 , 5 , 5 ,2012,7
Saint Marys Hospital (Mayo Clinic) (MNSM) , MNSM , TX1 , 2012/07/13 , Kidney ,0,0, 0 ,0,0, 1 , 0 , 0 , 1 , 12 , 12 ,2012,7
"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2012/07/13 , Kidney , 5 , 13 , 42 , 349 , 349 , 399 , 0 , 4 , 4 , 33 , 33 ,2012,7
Barnes-Jewish Hospital (MOBH) , MOBH , TX1 , 2012/07/13 , Kidney , 6 , 19 , 41 , 482 , 482 , 366 , 0 , 0 , 0 , 1 , 1 ,2012,7
Cardinal Glennon Children's Hospital (MOCG) , MOCG , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0, 1 , 1 ,0, 0 , 0 , 2 , 10 , 10 ,2012,7
St. Louis Children's Hospital (MOCH) , MOCH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 2 , 2 , 2 , 2 , 0 , 0 , 4 , 16 , 16 ,2012,7
Children's Mercy Hospital (MOCM) , MOCM , TX1 , 2012/07/13 , Kidney , 0 , 0 , 2 , 9 , 9 , 9 , 0 , 1 , 3 , 27 , 27 ,2012,7
St Luke's Hospital of Kansas City (MOLH) , MOLH , TX1 , 2012/07/13 , Kidney , 1 , 11 , 30 , 95 , 95 , 149 ,0,0,0,0,0,2012,7
Research Medical Center (MORH) , MORH , TX1 , 2012/07/13 , Kidney , 6 , 11 , 16 , 140 , 140 , 147 ,0,0,0,0,0,2012,7
Saint Louis University Hospital (MOSL) , MOSL , TX1 , 2012/07/13 , Kidney , 3 , 7 , 24 , 137 , 137 , 178 ,0,0,0,0,0,2012,7
University of Missouri Hospital and Clinics (MOUM) , MOUM , TX1 , 2012/07/13 , Kidney , 5 , 7 , 13 , 60 , 60 , 65 , 1 , 1 , 0 , 6 , 6 ,2012,7
University of Mississippi Medical Center (MSUM) , MSUM , TX1 , 2012/07/13 , Kidney , 3 , 9 , 31 , 158 , 158 , 190 ,0,0, 0 ,0,0,2012,7
North Carolina Baptist Hospital (NCBG) , NCBG , TX1 , 2012/07/13 , Kidney , 11 , 37 , 82 , 411 , 411 , 367 , 0 , 1 , 0 , 18 , 18 ,2012,7
Carolinas Medical Center (NCCM) , NCCM , TX1 , 2012/07/13 , Kidney , 12 , 33 , 35 , 353 , 353 , 311 , 2 , 2 , 6 , 11 , 11 ,2012,7
Duke University Hospital (NCDU) , NCDU , TX1 , 2012/07/13 , Kidney , 13 , 29 , 33 , 244 , 244 , 227 , 0 , 0 , 0 , 4 , 4 ,2012,7
Vidant Medical Center (NCEC) , NCEC , TX1 , 2012/07/13 , Kidney , 3 , 9 , 27 , 153 , 153 , 96 , 0 , 0 , 0 , 1 , 1 ,2012,7
University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2012/07/13 , Kidney , 3 , 8 , 14 , 158 , 158 , 141 , 0 , 0 , 2 , 15 , 15 ,2012,7
Medcenter One Health Systems (NDMC) , NDMC , TX1 , 2012/07/13 , Kidney , 0 , 4 , 4 , 32 , 32 , 43 ,0,0,0,0,0,2012,7
Sanford Medical Center Fargo (NDSL) , NDSL , TX1 , 2012/07/13 , Kidney , 2 , 5 , 8 , 65 , 65 , 67 , 0 , 0 ,0, 1 , 1 ,2012,7
The Nebraska Medical Center (NEUN) , NEUN , TX1 , 2012/07/13 , Kidney , 9 , 18 , 39 , 285 , 285 , 276 , 0 , 0 , 1 , 20 , 20 ,2012,7
Mary Hitchcock Memorial Hospital (NHDH) , NHDH , TX1 , 2012/07/13 , Kidney , 6 , 11 , 14 , 121 , 121 , 101 , 0 , 0 , 0 , 4 , 4 ,2012,7
Newark Beth Israel Medical Center (NJBI) , NJBI , TX1 , 2012/07/13 , Kidney , 5 , 17 , 19 , 189 , 189 , 116 ,0,0,0,0,0,2012,7
Hackensack University Medical Center (NJHK) , NJHK , TX1 , 2012/07/13 , Kidney , 6 , 12 , 27 , 101 , 101 , 113 , 1 , 2 , 3 , 12 , 12 ,2012,7
Our Lady of Lourdes Medical Center (NJLL) , NJLL , TX1 , 2012/07/13 , Kidney , 1 , 1 , 9 , 59 , 59 , 60 ,0,0,0,0,0,2012,7
Robert Wood Johnson University Hospital (NJRW) , NJRW , TX1 , 2012/07/13 , Kidney , 8 , 22 , 47 , 213 , 213 , 231 , 0 , 1 , 0 , 6 , 6 ,2012,7
Saint Barnabas Medical Center (NJSB) , NJSB , TX1 , 2012/07/13 , Kidney , 14 , 31 , 71 , 519 , 519 , 477 , 0 , 0 , 3 , 9 , 9 ,2012,7
"University Hospital, University of New Mexico Health Sciences Center (NMAQ) ", NMAQ , TX1 , 2012/07/13 , Kidney , 1 , 3 , 10 , 101 , 101 , 86 , 0 , 0 , 0 , 6 , 6 ,2012,7
Presbyterian Hospital (NMPH) , NMPH , TX1 , 2012/07/13 , Kidney , 2 , 6 , 14 , 107 , 107 , 95 ,0,0,0,0,0,2012,7
Sunrise Hospital and Medical Center (NVHH) , NVHH , TX1 , 2012/07/13 , Kidney ,0,0, 4 ,0,0, 47 ,0,0,0,0,0,2012,7
University Medical Center of Southern Nevada (NVUM) , NVUM , TX1 , 2012/07/13 , Kidney , 2 , 5 , 15 , 106 , 106 , 92 , 0 , 0 , 1 , 6 , 6 ,2012,7
Albany Medical Center Hospital (NYAM) , NYAM , TX1 , 2012/07/13 , Kidney , 1 , 1 , 6 , 117 , 117 , 142 ,0,0, 0 ,0,0,2012,7
Buffalo General Hospital/ Children's Hospital (NYBU) , NYBU , TX1 , 2012/07/13 , Kidney , 3 , 12 , 21 , 138 , 138 , 157 ,0,0, 0 ,0,0,2012,7
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP) , NYCP , TX1 , 2012/07/13 , Kidney , 10 , 28 , 102 , 581 , 581 , 601 , 0 , 0 , 3 , 17 , 17 ,2012,7
"State University of New York, Downstate Medical Center (NYDS) ", NYDS , TX1 , 2012/07/13 , Kidney , 2 , 5 , 59 , 52 , 52 , 203 , 0 , 0 , 3 , 4 , 4 ,2012,7
Erie County Medical Center (NYEC) , NYEC , TX1 , 2012/07/13 , Kidney , 3 , 7 , 18 , 83 , 83 , 110 ,0,0,0,0,0,2012,7
"Strong Memorial Hospital, University of Rochester Medical Center (NYFL) ", NYFL , TX1 , 2012/07/13 , Kidney , 6 , 15 , 9 , 159 , 159 , 130 , 0 , 0 , 1 , 12 , 12 ,2012,7
Montefiore Medical Center (NYMA) , NYMA , TX1 , 2012/07/13 , Kidney , 12 , 22 , 35 , 233 , 233 , 244 , 0 , 1 , 4 , 25 , 25 ,2012,7
Mount Sinai Medical Center (NYMS) , NYMS , TX1 , 2012/07/13 , Kidney , 21 , 40 , 71 , 429 , 429 , 395 , 0 , 2 , 5 , 29 , 29 ,2012,7
North Shore University Hospital (NYNS) , NYNS , TX1 , 2012/07/13 , Kidney , 2 , 4 , 2 , 78 , 78 , 18 ,0,0,0,0,0,2012,7
New York-Presbyterian Hospital/ Weill Cornell Medical Center (NYNY) , NYNY , TX1 , 2012/07/13 , Kidney , 8 , 32 , 72 , 502 , 502 , 516 , 0 , 1 , 0 , 17 , 17 ,2012,7
University Hospital of State University of New York at Stony Brook (NYSB) , NYSB , TX1 , 2012/07/13 , Kidney , 7 , 15 , 32 , 154 , 154 , 182 , 0 , 1 , 0 , 5 , 5 ,2012,7
