,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A64_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_N_C,YEAR,MONTH,D_OR_L
17,California Pacific Medical Center (CAPM) , CAPM , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,6.4,20.6,50.4,22.7,0.0,6.4,36.2,18.4,39.0,9.9,23.4,41.1,24.8,0.7,0.0,51.8,48.2,0.0,3.5,0.0,0.0,90.8,0.0,9.2,96.5,141,2015,6,DECEASED
18,Riverside Community Hospital (CARC) , CARC , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,5.0,10.0,50.0,35.0,0.0,5.0,45.0,10.0,40.0,15.0,40.0,20.0,25.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,20,2015,6,DECEASED
19,University of California San Diego Medical Center (CASD) , CASD , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,12.7,12.7,52.7,21.8,0.0,10.9,40.0,3.6,45.5,5.5,45.5,38.2,10.9,0.0,0.0,40.0,60.0,0.0,7.3,21.8,0.0,87.3,0.0,12.7,70.9,55,2015,6,DECEASED
20,University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2015/06/16 , Kidney ,2.3,2.3,1.4,8.9,20.6,43.0,21.5,0.0,4.7,37.4,14.5,43.5,10.7,38.8,30.8,19.6,0.0,0.0,36.9,63.1,0.0,3.3,0.0,4.2,84.6,0.0,15.4,92.5,214,2015,6,DECEASED
21,Sharp Memorial Hospital (CASH) , CASH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,3.3,33.3,50.0,13.3,0.0,0.0,40.0,16.7,43.3,0.0,36.7,33.3,23.3,6.7,0.0,36.7,63.3,0.0,0.0,0.0,0.0,86.7,0.0,13.3,100.0,30,2015,6,DECEASED
22,Saint Joseph Hospital (CASJ) , CASJ , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,14.3,28.6,50.0,7.1,0.0,7.1,42.9,0.0,50.0,7.1,50.0,21.4,21.4,0.0,0.0,57.1,42.9,0.0,0.0,0.0,0.0,71.4,0.0,28.6,100.0,14,2015,6,DECEASED
23,University of California Davis Medical Center (CASM) , CASM , TX1 , 2015/06/16 , Kidney ,0.4,1.2,0.8,11.7,16.7,47.1,22.2,0.0,3.1,38.9,11.3,46.7,7.4,37.0,34.2,21.4,0.0,0.0,40.9,59.1,0.0,0.0,0.0,0.4,92.6,0.0,7.4,99.6,257,2015,6,DECEASED
24,Stanford University Medical Center (CASU) , CASU , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,21.7,20.0,43.3,15.0,0.0,5.0,31.7,20.0,43.3,13.3,41.7,28.3,16.7,0.0,0.0,41.7,58.3,0.0,6.7,0.0,0.0,80.0,0.0,20.0,93.3,60,2015,6,DECEASED
25,St. Vincent Medical Center (CASV) , CASV , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,12.1,36.4,45.5,6.1,0.0,0.0,33.3,6.1,60.6,3.0,39.4,24.2,33.3,0.0,0.0,24.2,75.8,0.0,0.0,0.0,0.0,81.8,0.0,18.2,100.0,33,2015,6,DECEASED
26,University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2015/06/16 , Kidney ,2.3,1.7,0.0,10.3,28.6,34.9,22.3,0.0,9.1,35.4,12.0,43.4,15.4,38.3,28.6,16.0,1.7,0.0,38.3,61.7,0.0,4.0,0.0,2.9,82.9,0.0,17.1,93.1,175,2015,6,DECEASED
27,Keck Hospital of USC (CAUH) , CAUH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,6.4,20.0,51.8,21.8,0.0,5.5,32.7,15.5,46.4,10.0,42.7,32.7,14.5,0.0,0.0,40.9,59.1,0.0,6.4,0.0,0.9,90.9,0.0,9.1,92.7,110,2015,6,DECEASED
28,Children's Hospital Colorado (COCH) , COCH , TX1 , 2015/06/16 , Kidney ,57.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0,14.3,57.1,14.3,14.3,71.4,14.3,0.0,14.3,0.0,0.0,42.9,57.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,7,2015,6,DECEASED
29,Centura Porter Adventist Hospital (COPM) , COPM , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,4.5,18.2,40.9,36.4,0.0,4.5,50.0,27.3,18.2,13.6,22.7,27.3,36.4,0.0,0.0,59.1,40.9,0.0,4.5,0.0,9.1,86.4,0.0,13.6,86.4,22,2015,6,DECEASED
30,Presbyterian/St Lukes Medical Center (COSL) , COSL , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,5.9,17.6,52.9,23.5,0.0,11.8,38.2,23.5,26.5,5.9,32.4,44.1,17.6,0.0,0.0,14.7,85.3,0.0,0.0,0.0,0.0,85.3,0.0,14.7,100.0,34,2015,6,DECEASED
31,University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,16.0,20.0,41.3,22.7,0.0,6.7,37.3,16.0,40.0,4.0,22.7,36.0,21.3,16.0,0.0,34.7,65.3,0.0,0.0,0.0,4.0,85.3,0.0,14.7,96.0,75,2015,6,DECEASED
32,Hartford Hospital (CTHH) , CTHH , TX1 , 2015/06/16 , Kidney ,2.8,2.8,0.0,5.6,41.7,33.3,13.9,0.0,0.0,36.1,16.7,47.2,2.8,27.8,27.8,41.7,0.0,0.0,52.8,47.2,0.0,5.6,0.0,0.0,86.1,0.0,13.9,94.4,36,2015,6,DECEASED
33,Yale New Haven Hospital (CTYN) , CTYN , TX1 , 2015/06/16 , Kidney ,1.8,1.8,0.0,5.3,26.3,38.6,26.3,0.0,3.5,38.6,14.0,43.9,19.3,26.3,33.3,21.1,0.0,0.0,38.6,61.4,0.0,0.0,0.0,0.0,84.2,0.0,15.8,100.0,57,2015,6,DECEASED
34,Children's National Medical Center (DCCH) , DCCH , TX1 , 2015/06/16 , Kidney ,42.9,57.1,0.0,0.0,0.0,0.0,0.0,0.0,14.3,14.3,14.3,57.1,71.4,0.0,28.6,0.0,0.0,0.0,28.6,71.4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,7,2015,6,DECEASED
35,Georgetown University Medical Center (DCGU) , DCGU , TX1 , 2015/06/16 , Kidney ,2.5,5.0,0.0,5.0,27.5,27.5,32.5,0.0,17.5,32.5,5.0,45.0,22.5,37.5,25.0,15.0,0.0,0.0,37.5,62.5,0.0,10.0,5.0,2.5,72.5,0.0,27.5,82.5,40,2015,6,DECEASED
36,Washington Hospital Center (DCWH) , DCWH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,2.9,24.6,47.8,24.6,0.0,5.8,37.7,24.6,31.9,4.3,29.0,31.9,34.8,0.0,0.0,46.4,53.6,0.0,0.0,7.2,0.0,89.9,0.0,10.1,92.8,69,2015,6,DECEASED
37,Walter Reed National Military Medical Center at Bethesda (DCWR) , DCWR , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,7.7,38.5,23.1,30.8,0.0,30.8,23.1,7.7,38.5,7.7,23.1,30.8,38.5,0.0,0.0,7.7,92.3,0.0,0.0,15.4,0.0,92.3,0.0,7.7,84.6,13,2015,6,DECEASED
38,Alfred I DuPont Hospital for Children (DEAI) , DEAI , TX1 , 2015/06/16 , Kidney ,25.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,4,2015,6,DECEASED
39,Christiana Care Health Services (DECC) , DECC , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,9.1,31.8,31.8,27.3,0.0,0.0,59.1,13.6,27.3,4.5,27.3,36.4,31.8,0.0,0.0,22.7,77.3,0.0,0.0,0.0,0.0,90.9,0.0,9.1,100.0,22,2015,6,DECEASED
40,Cleveland Clinic Florida Weston (FLCC) , FLCC , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,10.3,37.9,31.0,20.7,0.0,0.0,41.4,6.9,51.7,13.8,44.8,31.0,10.3,0.0,0.0,17.2,82.8,0.0,6.9,0.0,0.0,75.9,0.0,24.1,93.1,29,2015,6,DECEASED
41,Florida Hospital Medical Center (FLFH) , FLFH , TX1 , 2015/06/16 , Kidney ,1.9,2.9,0.0,13.3,31.4,29.5,21.0,0.0,1.9,40.0,12.4,45.7,9.5,32.4,26.7,31.4,0.0,0.0,41.0,59.0,0.0,1.0,0.0,1.0,86.7,0.0,13.3,98.1,105,2015,6,DECEASED
42,Gulf Coast Medical Center (FLFR) , FLFR , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,6.4,27.7,36.2,29.8,0.0,4.3,23.4,14.9,57.4,4.3,31.9,31.9,31.9,0.0,0.0,31.9,68.1,0.0,0.0,0.0,0.0,80.9,0.0,19.1,100.0,47,2015,6,DECEASED
43,Halifax Medical Center (FLHM) , FLHM , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,0.0,25.0,25.0,50.0,0.0,0.0,37.5,12.5,50.0,0.0,12.5,50.0,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,8,2015,6,DECEASED
44,Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2015/06/16 , Kidney ,3.0,1.7,0.0,9.5,22.9,36.4,26.4,0.0,6.9,37.7,10.4,45.0,10.4,34.6,31.2,23.8,0.0,0.0,36.4,63.6,0.0,4.8,0.0,0.4,89.6,0.0,10.4,94.8,231,2015,6,DECEASED
45,Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,10.0,28.2,29.1,32.7,0.0,9.1,30.9,12.7,47.3,7.3,25.5,32.7,34.5,0.0,0.0,42.7,57.3,0.0,0.0,0.0,3.6,82.7,0.0,17.3,96.4,110,2015,6,DECEASED
46,Tampa General Hospital (FLTG) , FLTG , TX1 , 2015/06/16 , Kidney ,1.9,2.5,0.0,12.3,19.1,35.8,28.4,0.0,6.2,32.7,17.3,43.8,10.5,31.5,34.6,23.5,0.0,0.0,42.0,58.0,0.0,1.2,0.0,0.0,84.0,0.0,16.0,98.8,162,2015,6,DECEASED
47,UF Health Shands Hospital (FLUF) , FLUF , TX1 , 2015/06/16 , Kidney ,6.3,9.5,0.0,14.3,20.6,31.7,17.5,0.0,11.1,49.2,14.3,25.4,23.8,17.5,42.9,15.9,0.0,0.0,41.3,58.7,0.0,4.8,0.0,6.3,71.4,0.0,28.6,88.9,63,2015,6,DECEASED
48,Children's Healthcare of Atlanta at Egleston (GAEH) , GAEH , TX1 , 2015/06/16 , Kidney ,26.7,73.3,0.0,0.0,0.0,0.0,0.0,0.0,6.7,33.3,33.3,26.7,53.3,26.7,6.7,6.7,6.7,0.0,46.7,53.3,0.0,0.0,0.0,6.7,80.0,0.0,20.0,93.3,15,2015,6,DECEASED
49,Emory University Hospital (GAEM) , GAEM , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,13.4,32.4,38.7,15.5,0.0,5.6,28.9,18.3,47.2,15.5,31.7,26.8,26.1,0.0,0.0,47.9,52.1,0.0,4.2,0.7,6.3,83.8,0.0,16.2,88.7,142,2015,6,DECEASED
50,Georgia Health Sciences Medical Center (GAMC) , GAMC , TX1 , 2015/06/16 , Kidney ,0.0,7.5,0.0,5.7,35.8,35.8,15.1,0.0,1.9,30.2,5.7,62.3,5.7,22.6,30.2,41.5,0.0,0.0,37.7,62.3,0.0,0.0,0.0,0.0,75.5,0.0,24.5,100.0,53,2015,6,DECEASED
51,Piedmont Hospital (GAPH) , GAPH , TX1 , 2015/06/16 , Kidney ,0.0,1.3,0.0,3.8,33.3,47.4,14.1,0.0,3.8,46.2,11.5,38.5,7.7,32.1,34.6,23.1,2.6,0.0,44.9,55.1,0.0,1.3,1.3,6.4,89.7,0.0,10.3,91.0,78,2015,6,DECEASED
52,The Queen's Medical Center (HIQM) , HIQM , TX1 , 2015/06/16 , Kidney ,0.0,2.0,0.0,4.0,26.0,34.0,34.0,0.0,4.0,32.0,14.0,50.0,10.0,30.0,36.0,24.0,0.0,0.0,34.0,66.0,0.0,0.0,0.0,0.0,92.0,0.0,8.0,100.0,50,2015,6,DECEASED
53,Iowa Methodist Medical Center (IAIM) , IAIM , TX1 , 2015/06/16 , Kidney ,0.0,2.2,0.0,6.7,15.6,40.0,35.6,0.0,6.7,37.8,8.9,46.7,4.4,24.4,35.6,35.6,0.0,0.0,26.7,73.3,0.0,0.0,0.0,0.0,80.0,0.0,20.0,100.0,45,2015,6,DECEASED
54,University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,15.9,22.7,43.2,18.2,0.0,4.5,59.1,13.6,22.7,9.1,18.2,29.5,43.2,0.0,0.0,38.6,61.4,0.0,0.0,0.0,0.0,81.8,0.0,18.2,100.0,44,2015,6,DECEASED
55,Iowa City VA Medical Center (IAIV) , IAIV , VA1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,2.9,11.4,37.1,48.6,0.0,2.9,40.0,14.3,42.9,2.9,34.3,40.0,22.9,0.0,0.0,8.6,91.4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,35,2015,6,DECEASED
56,Mercy Medical Center-Des Moines (IAMH) , IAMH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,5.6,27.8,22.2,44.4,0.0,5.6,50.0,16.7,27.8,0.0,16.7,44.4,38.9,0.0,0.0,38.9,61.1,0.0,0.0,0.0,0.0,88.9,0.0,11.1,100.0,18,2015,6,DECEASED
57,Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,0.0,16.7,66.7,16.7,0.0,0.0,66.7,0.0,33.3,0.0,33.3,16.7,50.0,0.0,0.0,16.7,83.3,0.0,33.3,0.0,0.0,100.0,0.0,0.0,66.7,6,2015,6,DECEASED
58,Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM) , ILCM , TX1 , 2015/06/16 , Kidney ,30.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,60.0,60.0,20.0,0.0,20.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,10,2015,6,DECEASED
59,Loyola University Medical Center (ILLU) , ILLU , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,6.7,26.7,31.1,35.6,0.0,6.7,37.8,22.2,33.3,4.4,46.7,31.1,17.8,0.0,0.0,35.6,64.4,0.0,4.4,0.0,2.2,91.1,0.0,8.9,93.3,45,2015,6,DECEASED
60,Memorial Medical Center (ILMM) , ILMM , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,0.0,7.1,50.0,42.9,0.0,7.1,42.9,0.0,50.0,14.3,42.9,28.6,14.3,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,14,2015,6,DECEASED
61,Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,1.1,33.0,42.0,23.9,0.0,6.8,35.2,15.9,42.0,11.4,22.7,35.2,29.5,1.1,0.0,33.0,67.0,0.0,11.4,0.0,6.8,86.4,0.0,13.6,81.8,88,2015,6,DECEASED
62,Rush University Medical Center (ILPL) , ILPL , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,1.4,27.1,52.9,18.6,0.0,7.1,25.7,28.6,38.6,10.0,20.0,50.0,20.0,0.0,0.0,42.9,57.1,0.0,0.0,0.0,0.0,85.7,0.0,14.3,100.0,70,2015,6,DECEASED
63,OSF Saint Francis Medical Center (ILSF) , ILSF , TX1 , 2015/06/16 , Kidney ,4.9,2.4,2.4,17.1,14.6,34.1,24.4,0.0,4.9,43.9,4.9,46.3,22.0,14.6,29.3,31.7,2.4,0.0,46.3,53.7,0.0,2.4,0.0,0.0,85.4,0.0,14.6,97.6,41,2015,6,DECEASED
64,University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,20.4,20.4,44.4,14.8,0.0,1.9,40.7,11.1,46.3,5.6,33.3,38.9,22.2,0.0,0.0,35.2,64.8,0.0,3.7,1.9,0.0,94.4,0.0,5.6,94.4,54,2015,6,DECEASED
65,University of Illinois Medical Center (ILUI) , ILUI , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,9.5,21.4,47.6,21.4,0.0,4.8,23.8,23.8,47.6,2.4,28.6,26.2,42.9,0.0,0.0,42.9,57.1,0.0,0.0,0.0,2.4,83.3,0.0,16.7,97.6,42,2015,6,DECEASED
66,Indiana University Health (INIM) , INIM , TX1 , 2015/06/16 , Kidney ,0.8,3.8,0.0,9.8,16.7,39.4,29.5,0.0,2.3,47.0,9.1,41.7,7.6,28.0,28.0,34.1,2.3,0.0,45.5,54.5,0.0,0.0,0.0,5.3,74.2,0.0,25.8,94.7,132,2015,6,DECEASED
67,Lutheran Hospital of Fort Wayne (INLH) , INLH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,5.0,35.0,20.0,40.0,0.0,5.0,45.0,10.0,40.0,10.0,15.0,35.0,40.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0,100.0,20,2015,6,DECEASED
68,St Vincent Hospital and Health Care Center (INSV) , INSV , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,5.6,30.6,27.8,36.1,0.0,5.6,47.2,13.9,33.3,11.1,22.2,22.2,44.4,0.0,0.0,36.1,63.9,0.0,2.8,0.0,0.0,86.1,0.0,13.9,97.2,36,2015,6,DECEASED
69,University of Kansas Hospital (KSUK) , KSUK , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,8.6,28.6,41.0,21.9,0.0,3.8,39.0,17.1,40.0,7.6,26.7,30.5,35.2,0.0,0.0,42.9,57.1,0.0,0.0,0.0,2.9,90.5,0.0,9.5,97.1,105,2015,6,DECEASED
70,Jewish Hospital (KYJH) , KYJH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,9.5,19.0,40.5,31.0,0.0,0.0,33.3,21.4,45.2,11.9,21.4,38.1,28.6,0.0,0.0,31.0,69.0,0.0,2.4,0.0,2.4,69.0,0.0,31.0,95.2,42,2015,6,DECEASED
71,Kosair Children's Hospital (KYKC) , KYKC , TX1 , 2015/06/16 , Kidney ,25.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0,75.0,0.0,25.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,75.0,4,2015,6,DECEASED
72,University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2015/06/16 , Kidney ,0.0,3.2,0.0,11.1,19.0,47.6,19.0,0.0,1.6,30.2,12.7,55.6,6.3,25.4,38.1,30.2,0.0,0.0,44.4,55.6,0.0,1.6,0.0,1.6,93.7,0.0,6.3,96.8,63,2015,6,DECEASED
73,Children's Hospital (LACH) , LACH , TX1 , 2015/06/16 , Kidney ,40.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,5,2015,6,DECEASED
74,Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2015/06/16 , Kidney ,1.8,0.9,0.0,4.5,26.4,55.5,10.9,0.0,4.5,32.7,11.8,50.9,7.3,24.5,27.3,32.7,8.2,0.0,45.5,54.5,0.0,6.4,4.5,3.6,86.4,0.0,13.6,85.5,110,2015,6,DECEASED
75,Tulane Medical Center (LATU) , LATU , TX1 , 2015/06/16 , Kidney ,0.0,1.9,0.0,9.6,25.0,46.2,17.3,0.0,1.9,32.7,15.4,50.0,11.5,21.2,32.7,34.6,0.0,0.0,55.8,44.2,0.0,0.0,0.0,1.9,80.8,0.0,19.2,98.1,52,2015,6,DECEASED
76,Willis-Knighton Medical Center (LAWK) , LAWK , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,19.4,35.5,38.7,6.5,0.0,3.2,22.6,19.4,54.8,6.5,19.4,32.3,41.9,0.0,0.0,41.9,58.1,0.0,0.0,0.0,0.0,93.5,0.0,6.5,100.0,31,2015,6,DECEASED
