,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCL_A10_C,RCL_A17_C,RCL_A2_C,RCL_A34_C,RCL_A49_C,RCL_A64_C,RCL_A65P_C,RCL_AU_C,RCL_BAB_C,RCL_BA_C,RCL_BB_C,RCL_BO_C,RCL_BMI20_C,RCL_BMI25_C,RCL_BMI30_C,RCL_BMI31P_C,RCL_BMINR_C,RCL_BU_C,RCL_GF_C,RCL_GM_C,RCL_GU_C,RCL_ICU_C,RCL_HOSPNR_C,RCL_HOSP_C,RCL_PTXN_C,RCL_PTXU_C,RCL_PTXY_C,RCL_NOTHOSP_C,RCL_N_C,YEAR,MONTH,D_OR_L
10,Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Kidney ,4.3,0.0,0.0,19.6,21.7,34.8,19.6,0.0,2.2,26.1,23.9,47.8,39.1,15.2,26.1,17.4,2.2,0.0,52.2,47.8,0.0,0.0,0.0,0.0,78.3,0.0,21.7,100.0,46,2012.0,7.0,LIVING
11,Scripps Green Hospital (CAGH) , CAGH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,22.2,44.4,22.2,11.1,0.0,0.0,33.3,11.1,55.6,11.1,22.2,22.2,33.3,11.1,0.0,33.3,66.7,0.0,0.0,0.0,0.0,88.9,0.0,11.1,100.0,9,2012.0,7.0,LIVING
12,University of California Irvine Medical Center (CAIM) , CAIM , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,43.8,31.3,25.0,0.0,0.0,12.5,12.5,18.8,56.3,25.0,31.3,31.3,12.5,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,93.8,0.0,6.3,100.0,16,2012.0,7.0,LIVING
13,Harbor UCLA Medical Center (CALA) , CALA , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.7,50.0,33.3,0.0,0.0,0.0,16.7,83.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,6,2012.0,7.0,LIVING
14,Loma Linda University Medical Center (CALL) , CALL , TX1 , 2012/07/13 , Kidney ,0.0,5.1,0.0,15.4,35.9,41.0,2.6,0.0,7.7,48.7,7.7,35.9,5.1,30.8,48.7,15.4,0.0,0.0,30.8,69.2,0.0,0.0,0.0,0.0,94.9,0.0,5.1,100.0,39,2012.0,7.0,LIVING
15,Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2012/07/13 , Kidney ,40.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,30.0,80.0,10.0,10.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,100.0,10,2012.0,7.0,LIVING
16,California Pacific Medical Center (CAPM) , CAPM , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,25.8,25.8,34.8,13.6,0.0,3.0,42.4,9.1,45.5,12.1,16.7,39.4,31.8,0.0,0.0,36.4,63.6,0.0,0.0,0.0,0.0,95.5,0.0,4.5,100.0,66,2012.0,7.0,LIVING
17,Riverside Community Hospital (CARC) , CARC , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,22.2,33.3,44.4,0.0,0.0,0.0,44.4,11.1,44.4,0.0,55.6,11.1,33.3,0.0,0.0,33.3,66.7,0.0,0.0,0.0,11.1,88.9,0.0,11.1,88.9,9,2012.0,7.0,LIVING
18,University of California San Diego Medical Center (CASD) , CASD , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,19.0,47.6,23.8,9.5,0.0,4.8,28.6,9.5,57.1,9.5,42.9,38.1,9.5,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,71.4,0.0,28.6,100.0,21,2012.0,7.0,LIVING
19,University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2012/07/13 , Kidney ,1.0,3.8,0.0,20.2,26.9,34.6,13.5,0.0,4.8,37.5,9.6,48.1,18.3,26.9,31.7,21.2,1.9,0.0,41.3,58.7,0.0,0.0,0.0,0.0,86.5,0.0,13.5,100.0,104,2012.0,7.0,LIVING
20,Sutter Memorial Hospital (CASG) , CASG , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,28.6,42.9,28.6,0.0,0.0,14.3,14.3,0.0,71.4,14.3,28.6,28.6,28.6,0.0,0.0,42.9,57.1,0.0,0.0,0.0,0.0,85.7,0.0,14.3,100.0,7,2012.0,7.0,LIVING
21,Sharp Memorial Hospital (CASH) , CASH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,21.1,36.8,28.9,13.2,0.0,7.9,21.1,7.9,63.2,13.2,31.6,23.7,31.6,0.0,0.0,44.7,55.3,0.0,0.0,0.0,0.0,92.1,0.0,7.9,100.0,38,2012.0,7.0,LIVING
22,Saint Joseph Hospital (CASJ) , CASJ , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0,44.4,0.0,55.6,11.1,66.7,0.0,22.2,0.0,0.0,22.2,77.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,9,2012.0,7.0,LIVING
23,University of California Davis Medical Center (CASM) , CASM , TX1 , 2012/07/13 , Kidney ,1.7,1.7,0.0,15.0,23.3,33.3,25.0,0.0,6.7,30.0,16.7,46.7,11.7,28.3,31.7,26.7,1.7,0.0,28.3,71.7,0.0,0.0,0.0,0.0,90.0,0.0,10.0,100.0,60,2012.0,7.0,LIVING
24,Stanford University Medical Center (CASU) , CASU , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,19.4,35.5,41.9,3.2,0.0,3.2,22.6,29.0,45.2,16.1,32.3,41.9,9.7,0.0,0.0,35.5,64.5,0.0,0.0,0.0,0.0,80.6,0.0,19.4,100.0,31,2012.0,7.0,LIVING
25,St. Vincent Medical Center (CASV) , CASV , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,38.5,15.4,30.8,15.4,0.0,0.0,46.2,15.4,38.5,7.7,53.8,7.7,23.1,7.7,0.0,30.8,69.2,0.0,0.0,0.0,0.0,76.9,0.0,23.1,100.0,13,2012.0,7.0,LIVING
26,University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2012/07/13 , Kidney ,3.9,2.0,0.0,19.6,34.3,30.4,9.8,0.0,3.9,37.3,13.7,45.1,14.7,37.3,35.3,12.7,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,89.2,0.0,10.8,100.0,102,2012.0,7.0,LIVING
27,Keck Hospital of USC (CAUH) , CAUH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,18.2,18.2,54.5,9.1,0.0,18.2,18.2,9.1,54.5,18.2,45.5,27.3,9.1,0.0,0.0,45.5,54.5,0.0,0.0,0.0,0.0,90.9,0.0,9.1,100.0,11,2012.0,7.0,LIVING
28,Children's Hospital Colorado (COCH) , COCH , TX1 , 2012/07/13 , Kidney ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,2012.0,7.0,LIVING
29,Centura Porter Adventist Hospital (COPM) , COPM , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,7.3,26.8,48.8,17.1,0.0,7.3,36.6,7.3,48.8,7.3,34.1,29.3,29.3,0.0,0.0,46.3,53.7,0.0,0.0,0.0,0.0,97.6,0.0,2.4,100.0,41,2012.0,7.0,LIVING
30,Presbyterian/St Lukes Medical Center (COSL) , COSL , TX1 , 2012/07/13 , Kidney ,0.0,3.8,0.0,15.4,23.1,26.9,30.8,0.0,0.0,34.6,15.4,50.0,11.5,30.8,42.3,15.4,0.0,0.0,30.8,69.2,0.0,0.0,0.0,0.0,96.2,0.0,3.8,100.0,26,2012.0,7.0,LIVING
31,University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,14.8,35.2,38.9,11.1,0.0,3.7,40.7,24.1,31.5,16.7,44.4,25.9,13.0,0.0,0.0,48.1,51.9,0.0,0.0,0.0,0.0,85.2,0.0,14.8,100.0,54,2012.0,7.0,LIVING
32,Hartford Hospital (CTHH) , CTHH , TX1 , 2012/07/13 , Kidney ,5.3,0.0,0.0,31.6,31.6,21.1,10.5,0.0,0.0,21.1,26.3,52.6,15.8,47.4,15.8,21.1,0.0,0.0,31.6,68.4,0.0,0.0,0.0,0.0,68.4,0.0,31.6,100.0,19,2012.0,7.0,LIVING
33,Yale New Haven Hospital (CTYN) , CTYN , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,21.3,27.7,40.4,10.6,0.0,4.3,34.0,12.8,48.9,4.3,29.8,29.8,36.2,0.0,0.0,25.5,74.5,0.0,0.0,0.0,0.0,91.5,0.0,8.5,100.0,47,2012.0,7.0,LIVING
34,Children's National Medical Center (DCCH) , DCCH , TX1 , 2012/07/13 , Kidney ,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.7,33.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,3,2012.0,7.0,LIVING
35,Georgetown University Medical Center (DCGU) , DCGU , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,7.7,30.8,46.2,15.4,0.0,0.0,38.5,19.2,42.3,0.0,42.3,15.4,23.1,19.2,0.0,42.3,57.7,0.0,0.0,0.0,11.5,80.8,0.0,19.2,88.5,26,2012.0,7.0,LIVING
36,Washington Hospital Center (DCWH) , DCWH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,25.0,30.0,35.0,10.0,0.0,10.0,45.0,20.0,25.0,15.0,30.0,20.0,35.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,10.0,95.0,0.0,5.0,90.0,20,2012.0,7.0,LIVING
37,Walter Reed National Military Medical Center at Bethesda (DCWR) , DCWR , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,25.0,25.0,37.5,12.5,0.0,0.0,50.0,12.5,37.5,12.5,0.0,50.0,37.5,0.0,0.0,25.0,75.0,0.0,0.0,0.0,87.5,100.0,0.0,0.0,12.5,8,2012.0,7.0,LIVING
38,Alfred I DuPont Hospital for Children (DEAI) , DEAI , TX1 , 2012/07/13 , Kidney ,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,2012.0,7.0,LIVING
39,Christiana Care Health Services (DECC) , DECC , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,25.0,75.0,0.0,0.0,0.0,37.5,62.5,0.0,0.0,0.0,0.0,87.5,0.0,12.5,100.0,8,2012.0,7.0,LIVING
40,Florida Hospital Medical Center (FLFH) , FLFH , TX1 , 2012/07/13 , Kidney ,0.0,5.6,0.0,44.4,27.8,16.7,5.6,0.0,0.0,33.3,11.1,55.6,27.8,22.2,16.7,33.3,0.0,0.0,44.4,55.6,0.0,0.0,0.0,0.0,77.8,0.0,22.2,100.0,18,2012.0,7.0,LIVING
41,Gulf Coast Medical Center (FLFR) , FLFR , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,2,2012.0,7.0,LIVING
42,Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2012/07/13 , Kidney ,1.2,1.2,0.0,28.9,30.1,27.7,10.8,0.0,4.8,44.6,10.8,39.8,10.8,31.3,33.7,24.1,0.0,0.0,44.6,55.4,0.0,0.0,0.0,0.0,88.0,0.0,12.0,100.0,83,2012.0,7.0,LIVING
43,Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,6.7,36.7,33.3,23.3,0.0,0.0,33.3,10.0,56.7,13.3,36.7,26.7,23.3,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,86.7,0.0,13.3,100.0,30,2012.0,7.0,LIVING
44,Tampa General Hospital (FLTG) , FLTG , TX1 , 2012/07/13 , Kidney ,3.8,5.7,0.0,17.0,28.3,24.5,20.8,0.0,7.5,37.7,18.9,35.8,18.9,32.1,30.2,18.9,0.0,0.0,30.2,69.8,0.0,0.0,0.0,5.7,88.7,0.0,11.3,94.3,53,2012.0,7.0,LIVING
45,Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2012/07/13 , Kidney ,0.0,2.9,0.0,26.5,26.5,32.4,11.8,0.0,0.0,52.9,2.9,44.1,35.3,29.4,14.7,20.6,0.0,0.0,55.9,44.1,0.0,0.0,0.0,0.0,79.4,0.0,20.6,100.0,34,2012.0,7.0,LIVING
46,Children's Healthcare of Atlanta at Egleston (GAEH) , GAEH , TX1 , 2012/07/13 , Kidney ,42.9,42.9,7.1,7.1,0.0,0.0,0.0,0.0,7.1,50.0,0.0,42.9,78.6,14.3,7.1,0.0,0.0,0.0,28.6,71.4,0.0,0.0,0.0,0.0,85.7,0.0,14.3,100.0,14,2012.0,7.0,LIVING
47,Emory University Hospital (GAEM) , GAEM , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,14.9,29.9,50.7,4.5,0.0,1.5,34.3,16.4,47.8,9.0,20.9,40.3,29.9,0.0,0.0,28.4,71.6,0.0,0.0,0.0,1.5,95.5,0.0,4.5,98.5,67,2012.0,7.0,LIVING
48,Georgia Health Sciences Medical Center (GAMC) , GAMC , TX1 , 2012/07/13 , Kidney ,8.3,0.0,0.0,8.3,16.7,41.7,25.0,0.0,0.0,58.3,0.0,41.7,0.0,8.3,8.3,16.7,66.7,0.0,58.3,41.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,12,2012.0,7.0,LIVING
49,Piedmont Hospital (GAPH) , GAPH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,9.2,31.6,46.1,13.2,0.0,3.9,44.7,11.8,39.5,3.9,30.3,26.3,18.4,21.1,0.0,35.5,64.5,0.0,0.0,3.9,0.0,89.5,0.0,10.5,96.1,76,2012.0,7.0,LIVING
50,Hawaii Medical Center East (HISF) , HISF , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,14.3,42.9,28.6,14.3,0.0,0.0,14.3,42.9,42.9,14.3,0.0,57.1,28.6,0.0,0.0,14.3,85.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,7,2012.0,7.0,LIVING
51,Iowa Methodist Medical Center (IAIM) , IAIM , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,12.5,37.5,50.0,0.0,0.0,0.0,50.0,12.5,37.5,37.5,37.5,0.0,12.5,12.5,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,8,2012.0,7.0,LIVING
52,University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,28.0,32.0,36.0,4.0,0.0,0.0,40.0,20.0,40.0,4.0,24.0,28.0,16.0,28.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,84.0,0.0,16.0,100.0,25,2012.0,7.0,LIVING
53,Iowa City VA Medical Center (IAIV) , IAIV , VA1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,12.5,25.0,12.5,50.0,0.0,25.0,25.0,50.0,0.0,0.0,12.5,87.5,0.0,0.0,0.0,0.0,87.5,0.0,12.5,100.0,8,2012.0,7.0,LIVING
54,Mercy Medical Center-Des Moines (IAMH) , IAMH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,8.3,50.0,25.0,16.7,0.0,0.0,75.0,8.3,16.7,8.3,25.0,25.0,41.7,0.0,0.0,16.7,83.3,0.0,0.0,0.0,0.0,91.7,0.0,8.3,100.0,12,2012.0,7.0,LIVING
55,Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,0.0,0.0,66.7,33.3,0.0,0.0,33.3,33.3,33.3,33.3,0.0,66.7,0.0,0.0,0.0,66.7,33.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,3,2012.0,7.0,LIVING
56,Children's Memorial Hospital (ILCM) , ILCM , TX1 , 2012/07/13 , Kidney ,25.0,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,37.5,62.5,0.0,0.0,0.0,37.5,0.0,25.0,75.0,0.0,0.0,0.0,12.5,100.0,0.0,0.0,87.5,8,2012.0,7.0,LIVING
57,Loyola University Medical Center (ILLU) , ILLU , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,13.8,41.4,31.0,13.8,0.0,6.9,41.4,10.3,41.4,6.9,48.3,27.6,17.2,0.0,0.0,34.5,65.5,0.0,0.0,0.0,3.4,72.4,0.0,27.6,96.6,29,2012.0,7.0,LIVING
58,Memorial Medical Center (ILMM) , ILMM , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,12.5,12.5,37.5,37.5,0.0,0.0,50.0,0.0,50.0,0.0,25.0,50.0,25.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,12.5,100.0,0.0,0.0,87.5,8,2012.0,7.0,LIVING
59,Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,18.2,34.4,32.5,14.9,0.0,4.5,30.5,16.2,48.7,13.0,20.8,20.8,22.1,23.4,0.0,39.6,60.4,0.0,0.0,0.0,0.0,84.4,0.0,15.6,100.0,154,2012.0,7.0,LIVING
60,Rush University Medical Center (ILPL) , ILPL , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,23.1,46.2,23.1,7.7,0.0,7.7,38.5,7.7,46.2,15.4,46.2,23.1,15.4,0.0,0.0,61.5,38.5,0.0,0.0,0.0,0.0,92.3,0.0,7.7,100.0,13,2012.0,7.0,LIVING
61,OSF Saint Francis Medical Center (ILSF) , ILSF , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,18.8,18.8,37.5,25.0,0.0,6.3,50.0,6.3,37.5,12.5,25.0,25.0,37.5,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,93.8,0.0,6.3,100.0,16,2012.0,7.0,LIVING
62,University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,7.7,53.8,30.8,7.7,0.0,7.7,50.0,15.4,26.9,15.4,23.1,34.6,26.9,0.0,0.0,38.5,61.5,0.0,0.0,0.0,0.0,73.1,0.0,26.9,100.0,26,2012.0,7.0,LIVING
63,University of Illinois Medical Center (ILUI) , ILUI , TX1 , 2012/07/13 , Kidney ,1.4,4.2,1.4,19.7,19.7,36.6,16.9,0.0,7.0,28.2,5.6,59.2,16.9,14.1,19.7,49.3,0.0,0.0,40.8,59.2,0.0,1.4,0.0,8.5,88.7,0.0,11.3,90.1,71,2012.0,7.0,LIVING
64,Indiana University Health (INIM) , INIM , TX1 , 2012/07/13 , Kidney ,4.9,1.2,0.0,17.1,37.8,29.3,9.8,0.0,1.2,45.1,11.0,42.7,7.3,8.5,3.7,6.1,74.4,0.0,39.0,61.0,0.0,0.0,0.0,0.0,90.2,0.0,9.8,100.0,82,2012.0,7.0,LIVING
65,Lutheran Hospital of Fort Wayne (INLH) , INLH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,7.1,7.1,50.0,35.7,0.0,0.0,50.0,0.0,50.0,7.1,14.3,42.9,35.7,0.0,0.0,28.6,71.4,0.0,0.0,0.0,0.0,92.9,0.0,7.1,100.0,14,2012.0,7.0,LIVING
66,St Vincent Hospital and Health Care Center (INSV) , INSV , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,6.3,43.8,43.8,6.3,0.0,6.3,50.0,0.0,43.8,0.0,18.8,43.8,37.5,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,87.5,0.0,12.5,100.0,16,2012.0,7.0,LIVING
67,"Via Christi Regional Medical Center, St Francis Campus (KSFW) ", KSFW , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,12.5,50.0,25.0,12.5,0.0,0.0,62.5,0.0,37.5,0.0,25.0,37.5,37.5,0.0,0.0,37.5,62.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,8,2012.0,7.0,LIVING
68,University of Kansas Hospital (KSUK) , KSUK , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,30.0,10.0,40.0,20.0,0.0,0.0,50.0,10.0,40.0,20.0,40.0,30.0,10.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,10,2012.0,7.0,LIVING
69,Jewish Hospital (KYJH) , KYJH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,30.0,30.0,30.0,10.0,0.0,0.0,40.0,20.0,40.0,10.0,30.0,30.0,20.0,10.0,0.0,30.0,70.0,0.0,0.0,10.0,0.0,70.0,0.0,30.0,90.0,10,2012.0,7.0,LIVING
70,Kosair Children's Hospital (KYKC) , KYKC , TX1 , 2012/07/13 , Kidney ,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,2012.0,7.0,LIVING
71,University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,15.0,20.0,60.0,5.0,0.0,0.0,45.0,5.0,50.0,10.0,10.0,40.0,35.0,5.0,0.0,15.0,85.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,100.0,20,2012.0,7.0,LIVING
72,Children's Hospital (LACH) , LACH , TX1 , 2012/07/13 , Kidney ,66.7,16.7,0.0,16.7,0.0,0.0,0.0,0.0,0.0,83.3,0.0,16.7,83.3,16.7,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,6,2012.0,7.0,LIVING
73,Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,22.5,32.5,42.5,2.5,0.0,0.0,45.0,10.0,45.0,2.5,25.0,30.0,42.5,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0,100.0,40,2012.0,7.0,LIVING
74,Tulane Medical Center (LATU) , LATU , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,15.8,42.1,26.3,15.8,0.0,5.3,36.8,21.1,36.8,10.5,21.1,21.1,47.4,0.0,0.0,42.1,57.9,0.0,5.3,0.0,0.0,94.7,0.0,5.3,94.7,19,2012.0,7.0,LIVING
75,Willis-Knighton Medical Center (LAWK) , LAWK , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,0.0,0.0,66.7,33.3,0.0,33.3,66.7,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,66.7,0.0,33.3,100.0,3,2012.0,7.0,LIVING
