,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C, RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C, RCC_TST1B_R,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,D_OR_L,YEAR,MONTH
11,Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2012/07/13 , Heart , 23.1 , 38.5 , 30.8 , 7.7 , 0.0 , 0.0 , 0.0 , 7.7 , 46.2 , 7.7 , 38.5 , 84.6 , 7.7 , 0.0 , 7.7 , 0.0 , 0.0 , 53.8 , 46.2 , 0.0 , 30.8 , 0.0 , 46.2 , 100.0 , 0.0 , 0.0 , 23.1 ,   ,   , 76.9 , 62.2 , 15.4 , 24.3 , 7.7 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
12,California Pacific Medical Center (CAPM) , CAPM , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 15.4 , 23.1 , 0.0 , 0.0 , 15.4 , 38.5 , 15.4 , 30.8 , 7.7 , 61.5 , 30.8 , 0.0 , 0.0 , 0.0 , 23.1 , 76.9 , 0.0 , 15.4 , 0.0 , 15.4 , 84.6 , 0.0 , 15.4 , 69.2 ,   ,   , 23.1 , 62.2 , 53.8 , 24.3 , 23.1 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
13,University of California San Diego Medical Center (CASD) , CASD , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 0.0 , 40.0 , 20.0 , 0.0 , 0.0 , 40.0 , 30.0 , 30.0 , 0.0 , 40.0 , 50.0 , 10.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 50.0 , 0.0 , 30.0 , 90.0 , 0.0 , 10.0 , 20.0 ,   ,   , 80.0 , 62.2 , 20.0 , 24.3 , 0.0 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
14,Sutter Memorial Hospital (CASG) , CASG , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 18.2 , 18.2 , 18.2 , 0.0 , 0.0 , 9.1 , 9.1 , 81.8 , 9.1 , 18.2 , 36.4 , 36.4 , 0.0 , 0.0 , 9.1 , 90.9 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 ,   ,   , 18.2 , 62.2 , 81.8 , 24.3 , 0.0 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
15,Sharp Memorial Hospital (CASH) , CASH , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 7.7 , 7.7 , 30.8 , 0.0 , 7.7 , 38.5 , 15.4 , 38.5 , 23.1 , 38.5 , 38.5 , 0.0 , 0.0 , 0.0 , 23.1 , 76.9 , 0.0 , 69.2 , 0.0 , 7.7 , 92.3 , 0.0 , 7.7 , 23.1 ,   ,   , 92.3 , 62.2 , 7.7 , 24.3 , 0.0 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
16,Stanford University Medical Center (CASU) , CASU , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 18.8 , 9.4 , 6.3 , 0.0 , 3.1 , 40.6 , 12.5 , 43.8 , 12.5 , 43.8 , 25.0 , 18.8 , 0.0 , 0.0 , 28.1 , 71.9 , 0.0 , 18.8 , 0.0 , 12.5 , 87.5 , 0.0 , 12.5 , 68.8 ,   ,   , 34.4 , 62.2 , 56.3 , 24.3 , 9.4 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
17,University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2012/07/13 , Heart , 9.6 , 11.5 , 11.5 , 7.7 , 17.3 , 9.6 , 0.0 , 13.5 , 26.9 , 11.5 , 48.1 , 36.5 , 32.7 , 23.1 , 7.7 , 0.0 , 0.0 , 36.5 , 63.5 , 0.0 , 50.0 , 0.0 , 11.5 , 96.2 , 0.0 , 3.8 , 38.5 ,   ,   , 86.5 , 62.2 , 7.7 , 24.3 , 5.8 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
18,Keck Hospital of USC (CAUH) , CAUH , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 23.1 , 7.7 , 15.4 , 0.0 , 7.7 , 30.8 , 15.4 , 46.2 , 0.0 , 30.8 , 30.8 , 38.5 , 0.0 , 0.0 , 7.7 , 92.3 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 ,   ,   , 92.3 , 62.2 , 7.7 , 24.3 , 0.0 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
19,Children's Hospital Colorado (COCH) , COCH , TX1 , 2012/07/13 , Heart , 31.3 , 25.0 , 31.3 , 12.5 , 0.0 , 0.0 , 0.0 , 6.3 , 37.5 , 12.5 , 43.8 , 81.3 , 6.3 , 6.3 , 6.3 , 0.0 , 0.0 , 37.5 , 62.5 , 0.0 , 31.3 , 0.0 , 0.0 , 62.5 , 0.0 , 37.5 , 68.8 ,   ,   , 62.5 , 43.2 , 31.3 , 45.1 , 6.3 , 11.7 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
20,University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 18.2 , 31.8 , 9.1 , 0.0 , 0.0 , 54.5 , 18.2 , 27.3 , 22.7 , 50.0 , 13.6 , 13.6 , 0.0 , 0.0 , 27.3 , 72.7 , 0.0 , 9.1 , 0.0 , 13.6 , 95.5 , 0.0 , 4.5 , 77.3 ,   ,   , 13.6 , 43.2 , 40.9 , 45.1 , 45.5 , 11.7 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
21,Hartford Hospital (CTHH) , CTHH , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 0.0 , 29.4 , 17.6 , 0.0 , 0.0 , 35.3 , 5.9 , 58.8 , 5.9 , 64.7 , 17.6 , 11.8 , 0.0 , 0.0 , 41.2 , 58.8 , 0.0 , 58.8 , 0.0 , 17.6 , 100.0 , 0.0 , 0.0 , 23.5 ,   ,   , 100.0 , 88.8 , 0.0 , 9.0 , 0.0 , 2.2 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
22,Yale New Haven Hospital (CTYN) , CTYN , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 6.3 , 31.3 , 12.5 , 0.0 , 0.0 , 50.0 , 12.5 , 37.5 , 25.0 , 18.8 , 37.5 , 18.8 , 0.0 , 0.0 , 18.8 , 81.3 , 0.0 , 68.8 , 0.0 , 12.5 , 100.0 , 0.0 , 0.0 , 18.8 ,   ,   , 87.5 , 88.8 , 6.3 , 9.0 , 6.3 , 2.2 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
23,Washington Hospital Center (DCWH) , DCWH , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 9.1 , 18.2 , 18.2 , 0.0 , 9.1 , 18.2 , 63.6 , 9.1 , 0.0 , 27.3 , 18.2 , 54.5 , 0.0 , 0.0 , 36.4 , 63.6 , 0.0 , 0.0 , 0.0 , 9.1 , 90.9 , 0.0 , 9.1 , 90.9 ,   ,   , 36.4 , 55.9 , 54.5 , 39.2 , 9.1 , 4.9 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
24,Alfred I DuPont Hospital for Children (DEAI) , DEAI , TX1 , 2012/07/13 , Heart , 14.3 , 14.3 , 71.4 , 0.0 , 0.0 , 0.0 , 0.0 , 14.3 , 28.6 , 0.0 , 57.1 , 71.4 , 14.3 , 0.0 , 0.0 , 14.3 , 0.0 , 100.0 , 0.0 , 0.0 , 57.1 , 0.0 , 28.6 , 100.0 , 0.0 , 0.0 , 14.3 ,   ,   , 100.0 , 55.9 , 0.0 , 39.2 , 0.0 , 4.9 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
25,All Children's Hospital (FLAC) , FLAC , TX1 , 2012/07/13 , Heart , 33.3 , 33.3 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 0.0 , 66.7 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 83.3 , 16.7 , 0.0 , 100.0 , 0.0 , 0.0 , 83.3 , 0.0 , 16.7 , 0.0 ,   ,   , 100.0 , 59.5 , 0.0 , 36.1 , 0.0 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
26,Memorial Regional Hospital/Joe DiMaggio Children's Hospital (FLJD) , FLJD , TX1 , 2012/07/13 , Heart , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 33.3 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 66.7 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 33.3 ,   ,   , 66.7 , 59.5 , 0.0 , 36.1 , 33.3 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
27,Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 11.1 , 14.8 , 14.8 , 0.0 , 7.4 , 33.3 , 22.2 , 37.0 , 18.5 , 44.4 , 25.9 , 11.1 , 0.0 , 0.0 , 48.1 , 51.9 , 0.0 , 7.4 , 0.0 , 11.1 , 92.6 , 0.0 , 7.4 , 81.5 ,   ,   , 14.8 , 59.5 , 77.8 , 36.1 , 7.4 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
28,Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 16.7 , 25.0 , 25.0 , 0.0 , 0.0 , 33.3 , 25.0 , 41.7 , 4.2 , 33.3 , 33.3 , 29.2 , 0.0 , 0.0 , 41.7 , 58.3 , 0.0 , 54.2 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 45.8 ,   ,   , 79.2 , 59.5 , 16.7 , 36.1 , 4.2 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
29,Tampa General Hospital (FLTG) , FLTG , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 12.1 , 22.4 , 17.2 , 0.0 , 5.2 , 50.0 , 6.9 , 37.9 , 12.1 , 41.4 , 24.1 , 22.4 , 0.0 , 0.0 , 15.5 , 84.5 , 0.0 , 32.8 , 0.0 , 6.9 , 91.4 , 0.0 , 8.6 , 60.3 ,   ,   , 51.7 , 59.5 , 44.8 , 36.1 , 3.4 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
30,Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2012/07/13 , Heart , 9.7 , 9.7 , 16.1 , 19.4 , 16.1 , 9.7 , 0.0 , 6.5 , 45.2 , 0.0 , 48.4 , 32.3 , 25.8 , 29.0 , 12.9 , 0.0 , 0.0 , 35.5 , 64.5 , 0.0 , 64.5 , 0.0 , 9.7 , 93.5 , 0.0 , 6.5 , 25.8 ,   ,   , 54.8 , 59.5 , 45.2 , 36.1 , 0.0 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
31,Children's Healthcare of Atlanta at Egleston (GAEH) , GAEH , TX1 , 2012/07/13 , Heart , 35.3 , 35.3 , 23.5 , 5.9 , 0.0 , 0.0 , 0.0 , 5.9 , 11.8 , 17.6 , 64.7 , 70.6 , 17.6 , 5.9 , 5.9 , 0.0 , 0.0 , 29.4 , 70.6 , 0.0 , 11.8 , 0.0 , 52.9 , 100.0 , 0.0 , 0.0 , 35.3 ,   ,   , 94.1 , 59.5 , 5.9 , 36.1 , 0.0 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
32,Emory University Hospital (GAEM) , GAEM , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 13.0 , 21.7 , 8.7 , 0.0 , 0.0 , 43.5 , 30.4 , 26.1 , 8.7 , 43.5 , 30.4 , 17.4 , 0.0 , 0.0 , 8.7 , 91.3 , 0.0 , 69.6 , 0.0 , 8.7 , 95.7 , 0.0 , 4.3 , 21.7 ,   ,   , 78.3 , 59.5 , 21.7 , 36.1 , 0.0 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
33,Saint Joseph's Hospital of Atlanta (GASJ) , GASJ , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 30.0 , 10.0 , 20.0 , 0.0 , 0.0 , 40.0 , 10.0 , 50.0 , 10.0 , 40.0 , 40.0 , 10.0 , 0.0 , 0.0 , 20.0 , 80.0 , 0.0 , 10.0 , 0.0 , 20.0 , 100.0 , 0.0 , 0.0 , 70.0 ,   ,   , 50.0 , 59.5 , 50.0 , 36.1 , 0.0 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
34,University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 6.3 , 12.5 , 43.8 , 0.0 , 0.0 , 6.3 , 56.3 , 12.5 , 25.0 , 6.3 , 37.5 , 18.8 , 37.5 , 0.0 , 0.0 , 18.8 , 81.3 , 0.0 , 6.3 , 0.0 , 12.5 , 100.0 , 0.0 , 0.0 , 81.3 ,   ,   , 50.0 , 43.2 , 37.5 , 45.1 , 12.5 , 11.7 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
35,Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 25.0 , 18.8 , 6.3 , 0.0 , 0.0 , 43.8 , 25.0 , 31.3 , 0.0 , 18.8 , 50.0 , 31.3 , 0.0 , 0.0 , 31.3 , 68.8 , 0.0 , 56.3 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 43.8 ,   ,   , 75.0 , 69.6 , 25.0 , 24.8 , 0.0 , 5.7 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
36,Children's Memorial Hospital (ILCM) , ILCM , TX1 , 2012/07/13 , Heart , 38.5 , 15.4 , 46.2 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 38.5 , 7.7 , 53.8 , 92.3 , 0.0 , 0.0 , 7.7 , 0.0 , 0.0 , 69.2 , 30.8 , 0.0 , 61.5 , 0.0 , 23.1 , 92.3 , 0.0 , 7.7 , 15.4 ,   ,   , 92.3 , 69.6 , 7.7 , 24.8 , 0.0 , 5.7 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
