,Unnamed: 0, CTR_CD, CTR_TY, RELEASE_DATE, ORG, RCC_A10_N, RCC_A17_N, RCC_A2_N, RCC_A34_N, RCC_A49_N, RCC_A64_N, RCC_A65P_N, RCC_AU_N, RCC_BAB_N, RCC_BAT_N, RCC_BA_N, RCC_BB_N, RCC_BMI20_N, RCC_BMI25_N, RCC_BMI30_N, RCC_BMI31P_N, RCC_BMINR_N, RCC_BO_N, RCC_BU_N, RCC_CAD_N, RCC_CAR_N, RCC_CHD_N, RCC_CLD_N, RCC_COD_N, RCC_CON_N, RCC_CYF_N, RCC_DEVS_N, RCC_DIA_N, RCC_ECO_N, RCC_FBP_N, RCC_GF_N, RCC_GLO_N, RCC_GM_N, RCC_GU_N, RCC_HOSPNR_N, RCC_HOSP_N, RCC_HYP_N, RCC_ICU_N, RCC_IDP_N, RCC_INRET_N, RCC_KIRET_N, RCC_LSNR_N, RCC_LS_N, RCC_LURET_N, RCC_ME11_N, RCC_ME15_N, RCC_ME21_N, RCC_ME31_N, RCC_ME6_N, RCC_MET_N, RCC_MIS_N, RCC_MNEO_N, RCC_NCC_N, RCC_NEC_N, RCC_NEO_N, RCC_NOTHOSP_N, RCC_NOTLS_N, RCC_N_N, RCC_OTH_N, RCC_OTK_N, RCC_PE11_N, RCC_PE15_N, RCC_PE21_N, RCC_PE31_N, RCC_PE6_N, RCC_POL_N, RCC_PPH_N, RCC_PRA79_N, RCC_PRA80_N, RCC_PRA9_N, RCC_PRAU_N, RCC_PTXN_N, RCC_PTXU_N, RCC_PTXY_N, RCC_RA_N, RCC_RB_N, RCC_RET_N, RCC_RH_N, RCC_RO_N, RCC_RU_N, RCC_RW_N, RCC_SGS_N, RCC_TINA_N, RCC_TST1A_N, RCC_TST1B_N, RCC_TST1_N, RCC_TST2A_N, RCC_TST2B_N, RCC_TST2_N, RCC_TST3_N, RCC_TUB_N, RCC_VAS_N, RCC_VHD_N,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_N,RCC_A17_N,RCC_A2_N,RCC_A34_N,RCC_A49_N,RCC_A64_N,RCC_A65P_N,RCC_AU_N,RCC_BAB_N,RCC_BAT_N,RCC_BA_N,RCC_BB_N,RCC_BMI20_N,RCC_BMI25_N,RCC_BMI30_N,RCC_BMI31P_N,RCC_BMINR_N,RCC_BO_N,RCC_BU_N,RCC_CAD_N,RCC_CAR_N,RCC_CHD_N,RCC_CLD_N,RCC_COD_N,RCC_CYF_N,RCC_DEVS_N,RCC_DIA_N,RCC_ECO_N,RCC_FBP_N,RCC_GF_N,RCC_GLO_N,RCC_GM_N,RCC_GU_N,RCC_HOSPNR_N,RCC_HOSP_N,RCC_HYP_N,RCC_ICU_N,RCC_IDP_N,RCC_INRET_N,RCC_KIRET_N,RCC_LSNR_N,RCC_LS_N,RCC_LURET_N,RCC_ME11_N,RCC_ME15_N,RCC_ME21_N,RCC_ME31_N,RCC_ME6_N,RCC_MET_N,RCC_MIS_N,RCC_MNEO_N,RCC_NCC_N,RCC_NEC_N,RCC_NEO_N,RCC_NOTHOSP_N,RCC_NOTLS_N,RCC_N_N,RCC_OTH_N,RCC_OTK_N,RCC_PE11_N,RCC_PE15_N,RCC_PE21_N,RCC_PE31_N,RCC_PE6_N,RCC_POL_N,RCC_PPH_N,RCC_PRA79_N,RCC_PRA80_N,RCC_PRA9_N,RCC_PRAU_N,RCC_PTXN_N,RCC_PTXU_N,RCC_PTXY_N,RCC_RA_N,RCC_RB_N,RCC_RET_N,RCC_RH_N,RCC_RO_N,RCC_RU_N,RCC_RW_N,RCC_SGS_N,RCC_TINA_N,RCC_TST1A_N,RCC_TST1B_N,RCC_TST1_N,RCC_TST2A_N,RCC_TST2B_N,RCC_TST2_N,RCC_TST3_N,RCC_TUB_N,RCC_VAS_N,RCC_VHD_N,RCC_CON_N,RCC_A69_N,RCC_A70P_N,RCC_BMI35_N,RCC_BMI40_N,RCC_BMI41P_N,RCC_TAST1_N,RCC_TAST2_N,RCC_TAST3_N,RCC_TAST4_N,RCC_TAST5_N,RCC_TAST6_N
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts General Hospital (MAMG),MAMG,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tufts Medical Center (MANM),MANM,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brigham and Women's Hospital (MAPB),MAPB,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's National Medical Center (DCCH),DCCH,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington Hospital Center (DCWH),DCWH,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johns Hopkins Hospital (MDJH),MDJH,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Maryland Medical System (MDUM),MDUM,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newark Beth Israel Medical Center (NJBI),NJBI,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Wood Johnson University Hospital (NJRW),NJRW,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allegheny General Hospital (PAAG),PAAG,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPMC Children's Hospital of Pittsburgh (PACH),PACH,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's Hospital of Philadelphia (PACP),PACP,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Penn State Milton S Hershey Medical Center (PAHE),PAHE,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Pittsburgh Medical Center (PAPT),PAPT,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Jefferson University Hospital (PATJ),PATJ,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temple University Hospital (PATU),PATU,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospital of the University of Pennsylvania (PAUP),PAUP,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inova Fairfax Hospital (VAFH),VAFH,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's of Alabama (ALCH),ALCH,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Alabama Hospital (ALUA),ALUA,TX1,2020-01-06 18:00:00,HR,4.5673758865,4.6241134752,5.1063829787,9.8439716312,17.70212766,40.709219858,,,5.475177305,-,38.411347518,15.716312057,20.709219858,27.34751773,28.368794326,,0.5673758865,40.397163121,0,24.482269504,61.503546099,11.489361702,-,-,-,59.092198582,-,-,-,30.638297872,-,69.361702128,0,0.3120567376,17.475177305,-,44.765957447,-,-,-,0.1985815603,21.24822695,-,-,-,-,-,-,-,0.0567375887,-,-,-,-,37.446808511,19.460992908,3525,1.5035460993,-,-,-,-,-,-,-,-,-,-,-,-,96.056737589,0,3.9432624113,4.170212766,21.673758865,0,10.723404255,0.9361702128,0,62.496453901,-,0,30.638297872,8.9645390071,-,-,-,1.4184397163,-,-,-,0.9645390071,-,14.241134752,3.2056737589,18.496453901,4.0567375887,0.4539007092,4.9645390071,26.212765957,14.553191489,10.524822695,0.2553191489,2.4680851064
