,Unnamed: 0, CTR_CD, CTR_TY, RELEASE_DATE, ORG, RCC_A10_N, RCC_A17_N, RCC_A2_N, RCC_A34_N, RCC_A49_N, RCC_A64_N, RCC_A65P_N, RCC_AU_N, RCC_BAB_N, RCC_BAT_N, RCC_BA_N, RCC_BB_N, RCC_BMI20_N, RCC_BMI25_N, RCC_BMI30_N, RCC_BMI31P_N, RCC_BMINR_N, RCC_BO_N, RCC_BU_N, RCC_CAD_N, RCC_CAR_N, RCC_CHD_N, RCC_CLD_N, RCC_COD_N, RCC_CON_N, RCC_CYF_N, RCC_DEVS_N, RCC_DIA_N, RCC_ECO_N, RCC_FBP_N, RCC_GF_N, RCC_GLO_N, RCC_GM_N, RCC_GU_N, RCC_HOSPNR_N, RCC_HOSP_N, RCC_HYP_N, RCC_ICU_N, RCC_IDP_N, RCC_INRET_N, RCC_KIRET_N, RCC_LSNR_N, RCC_LS_N, RCC_LURET_N, RCC_ME11_N, RCC_ME15_N, RCC_ME21_N, RCC_ME31_N, RCC_ME6_N, RCC_MET_N, RCC_MIS_N, RCC_MNEO_N, RCC_NCC_N, RCC_NEC_N, RCC_NEO_N, RCC_NOTHOSP_N, RCC_NOTLS_N, RCC_N_N, RCC_OTH_N, RCC_OTK_N, RCC_PE11_N, RCC_PE15_N, RCC_PE21_N, RCC_PE31_N, RCC_PE6_N, RCC_POL_N, RCC_PPH_N, RCC_PRA79_N, RCC_PRA80_N, RCC_PRA9_N, RCC_PRAU_N, RCC_PTXN_N, RCC_PTXU_N, RCC_PTXY_N, RCC_RA_N, RCC_RB_N, RCC_RET_N, RCC_RH_N, RCC_RO_N, RCC_RU_N, RCC_RW_N, RCC_SGS_N, RCC_TINA_N, RCC_TST1A_N, RCC_TST1B_N, RCC_TST1_N, RCC_TST2A_N, RCC_TST2B_N, RCC_TST2_N, RCC_TST3_N, RCC_TUB_N, RCC_VAS_N, RCC_VHD_N,D_OR_L, RCL_A10_N, RCL_A17_N, RCL_A2_N, RCL_A34_N, RCL_A49_N, RCL_A64_N, RCL_A65P_N, RCL_AU_N, RCL_BAB_N, RCL_BAT_N, RCL_BA_N, RCL_BB_N, RCL_BMI20_N, RCL_BMI25_N, RCL_BMI30_N, RCL_BMI31P_N, RCL_BMINR_N, RCL_BO_N, RCL_BU_N, RCL_CLD_N, RCL_COD_N, RCL_CON_N, RCL_CYF_N, RCL_DEVS_N, RCL_DIA_N, RCL_ECO_N, RCL_GF_N, RCL_GLO_N, RCL_GM_N, RCL_GU_N, RCL_HOSPNR_N, RCL_HOSP_N, RCL_HYP_N, RCL_ICU_N, RCL_IDP_N, RCL_KIRET_N, RCL_LSNR_N, RCL_LS_N, RCL_LURET_N, RCL_ME11_N, RCL_ME15_N, RCL_ME21_N, RCL_ME31_N, RCL_ME6_N, RCL_MET_N, RCL_MIS_N, RCL_MNEO_N, RCL_NCC_N, RCL_NEC_N, RCL_NEO_N, RCL_NOTHOSP_N, RCL_NOTLS_N, RCL_N_N, RCL_OTH_N, RCL_OTK_N, RCL_PE11_N, RCL_PE15_N, RCL_PE21_N, RCL_PE31_N, RCL_PE6_N, RCL_POL_N, RCL_PPH_N, RCL_PRA79_N, RCL_PRA80_N, RCL_PRA9_N, RCL_PRAU_N, RCL_PTXN_N, RCL_PTXU_N, RCL_PTXY_N, RCL_RA_N, RCL_RB_N, RCL_RH_N, RCL_RO_N, RCL_RU_N, RCL_RW_N, RCL_TINA_N, RCL_TST1A_N, RCL_TST1B_N, RCL_TST1_N, RCL_TST2A_N, RCL_TST2B_N, RCL_TST3_N, RCL_TUB_N, RCL_VAS_N,YEAR,MONTH,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_N,RCC_A17_N,RCC_A2_N,RCC_A34_N,RCC_A49_N,RCC_A64_N,RCC_A65P_N,RCC_AU_N,RCC_BAB_N,RCC_BAT_N,RCC_BA_N,RCC_BB_N,RCC_BMI20_N,RCC_BMI25_N,RCC_BMI30_N,RCC_BMI31P_N,RCC_BMINR_N,RCC_BO_N,RCC_BU_N,RCC_CAD_N,RCC_CAR_N,RCC_CHD_N,RCC_CLD_N,RCC_COD_N,RCC_CYF_N,RCC_DEVS_N,RCC_DIA_N,RCC_ECO_N,RCC_FBP_N,RCC_GF_N,RCC_GLO_N,RCC_GM_N,RCC_GU_N,RCC_HOSPNR_N,RCC_HOSP_N,RCC_HYP_N,RCC_ICU_N,RCC_IDP_N,RCC_INRET_N,RCC_KIRET_N,RCC_LSNR_N,RCC_LS_N,RCC_LURET_N,RCC_ME11_N,RCC_ME15_N,RCC_ME21_N,RCC_ME31_N,RCC_ME6_N,RCC_MET_N,RCC_MIS_N,RCC_MNEO_N,RCC_NCC_N,RCC_NEC_N,RCC_NEO_N,RCC_NOTHOSP_N,RCC_NOTLS_N,RCC_N_N,RCC_OTH_N,RCC_OTK_N,RCC_PE11_N,RCC_PE15_N,RCC_PE21_N,RCC_PE31_N,RCC_PE6_N,RCC_POL_N,RCC_PPH_N,RCC_PRA79_N,RCC_PRA80_N,RCC_PRA9_N,RCC_PRAU_N,RCC_PTXN_N,RCC_PTXU_N,RCC_PTXY_N,RCC_RA_N,RCC_RB_N,RCC_RET_N,RCC_RH_N,RCC_RO_N,RCC_RU_N,RCC_RW_N,RCC_SGS_N,RCC_TINA_N,RCC_TST1A_N,RCC_TST1B_N,RCC_TST1_N,RCC_TST2A_N,RCC_TST2B_N,RCC_TST2_N,RCC_TST3_N,RCC_TUB_N,RCC_VAS_N,RCC_VHD_N,RCC_CON_N,RCL_A10_N,RCL_A17_N,RCL_A2_N,RCL_A34_N,RCL_A49_N,RCL_A64_N,RCL_A65P_N,RCL_AU_N,RCL_BAB_N,RCL_BAT_N,RCL_BA_N,RCL_BB_N,RCL_BMI20_N,RCL_BMI25_N,RCL_BMI30_N,RCL_BMI31P_N,RCL_BMINR_N,RCL_BO_N,RCL_BU_N,RCL_CLD_N,RCL_COD_N,RCL_CYF_N,RCL_DEVS_N,RCL_DIA_N,RCL_ECO_N,RCL_GF_N,RCL_GLO_N,RCL_GM_N,RCL_GU_N,RCL_HOSPNR_N,RCL_HOSP_N,RCL_HYP_N,RCL_ICU_N,RCL_IDP_N,RCL_KIRET_N,RCL_LSNR_N,RCL_LS_N,RCL_LURET_N,RCL_ME11_N,RCL_ME15_N,RCL_ME21_N,RCL_ME31_N,RCL_ME6_N,RCL_MET_N,RCL_MIS_N,RCL_MNEO_N,RCL_NCC_N,RCL_NEC_N,RCL_NEO_N,RCL_NOTHOSP_N,RCL_NOTLS_N,RCL_N_N,RCL_OTH_N,RCL_OTK_N,RCL_PE11_N,RCL_PE15_N,RCL_PE21_N,RCL_PE31_N,RCL_PE6_N,RCL_POL_N,RCL_PPH_N,RCL_PRA79_N,RCL_PRA80_N,RCL_PRA9_N,RCL_PRAU_N,RCL_PTXN_N,RCL_PTXU_N,RCL_PTXY_N,RCL_RA_N,RCL_RB_N,RCL_RH_N,RCL_RO_N,RCL_RU_N,RCL_RW_N,RCL_TINA_N,RCL_TST1A_N,RCL_TST1B_N,RCL_TST1_N,RCL_TST2A_N,RCL_TST2B_N,RCL_TST3_N,RCL_TUB_N,RCL_VAS_N,RCL_CON_N,RCC_A69_N,RCC_A70P_N,RCC_BMI35_N,RCC_BMI40_N,RCC_BMI41P_N,RCC_TAST1_N,RCC_TAST2_N,RCC_TAST3_N,RCC_TAST4_N,RCC_TAST5_N,RCC_TAST6_N,RCL_A69_N,RCL_A70P_N,RCL_BMI35_N,RCL_BMI40_N,RCL_BMI41P_N
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,May,Saint Thomas Hospital (TNST),TNST,TX1,2021-07-06 19:00:00,HR,4.2657916325,4.1564123599,4.183757178,8.887065901,18.649165983,41.83757178,,,5.3595843588,-,39.185124419,15.121684441,16.735028712,27.071369975,30.489472245,,1.1484823626,40.333606782,0,24.555646705,63.248564397,9.762100082,-,-,-,61.307082308,-,-,-,28.438610883,-,71.561389117,0,0.5742411813,13.672409078,-,50.943396226,-,-,-,0.4922067268,16.953787257,-,-,-,-,-,-,-,0.0820344545,-,-,-,-,34.809953514,21.246923708,3657,1.3125512715,-,-,-,-,-,-,-,-,-,-,-,-,96.417828821,0,3.5821711786,3.8009297238,25.047853432,0,10.637134263,1.0937927263,0,59.420289855,-,0,9.8441345365,2.4063439978,-,-,-,0.6562756358,-,-,-,1.03910309,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54744326,3.4727919059,19.414820891,4.5665846322,0.5742411813,6.8908941756,38.884331419,15.942028986,19.852337982,0.9297238173,4.5939294504,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,May,Vanderbilt University Medical Center (TNVU),TNVU,TX1,2021-07-06 19:00:00,HR,4.2657916325,4.1564123599,4.183757178,8.887065901,18.649165983,41.83757178,,,5.3595843588,-,39.185124419,15.121684441,16.735028712,27.071369975,30.489472245,,1.1484823626,40.333606782,0,24.555646705,63.248564397,9.762100082,-,-,-,61.307082308,-,-,-,28.438610883,-,71.561389117,0,0.5742411813,13.672409078,-,50.943396226,-,-,-,0.4922067268,16.953787257,-,-,-,-,-,-,-,0.0820344545,-,-,-,-,34.809953514,21.246923708,3657,1.3125512715,-,-,-,-,-,-,-,-,-,-,-,-,96.417828821,0,3.5821711786,3.8009297238,25.047853432,0,10.637134263,1.0937927263,0,59.420289855,-,0,9.8441345365,2.4063439978,-,-,-,0.6562756358,-,-,-,1.03910309,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54744326,3.4727919059,19.414820891,4.5665846322,0.5742411813,6.8908941756,38.884331419,15.942028986,19.852337982,0.9297238173,4.5939294504,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,May,Medical College of Virginia Hospitals (VAMC),VAMC,TX1,2021-07-06 19:00:00,HR,4.2657916325,4.1564123599,4.183757178,8.887065901,18.649165983,41.83757178,,,5.3595843588,-,39.185124419,15.121684441,16.735028712,27.071369975,30.489472245,,1.1484823626,40.333606782,0,24.555646705,63.248564397,9.762100082,-,-,-,61.307082308,-,-,-,28.438610883,-,71.561389117,0,0.5742411813,13.672409078,-,50.943396226,-,-,-,0.4922067268,16.953787257,-,-,-,-,-,-,-,0.0820344545,-,-,-,-,34.809953514,21.246923708,3657,1.3125512715,-,-,-,-,-,-,-,-,-,-,-,-,96.417828821,0,3.5821711786,3.8009297238,25.047853432,0,10.637134263,1.0937927263,0,59.420289855,-,0,9.8441345365,2.4063439978,-,-,-,0.6562756358,-,-,-,1.03910309,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54744326,3.4727919059,19.414820891,4.5665846322,0.5742411813,6.8908941756,38.884331419,15.942028986,19.852337982,0.9297238173,4.5939294504,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,May,Hunter Holmes McGuire Veterans Administration Medical Center (VAMV),VAMV,TX1,2021-07-06 19:00:00,HR,4.2657916325,4.1564123599,4.183757178,8.887065901,18.649165983,41.83757178,,,5.3595843588,-,39.185124419,15.121684441,16.735028712,27.071369975,30.489472245,,1.1484823626,40.333606782,0,24.555646705,63.248564397,9.762100082,-,-,-,61.307082308,-,-,-,28.438610883,-,71.561389117,0,0.5742411813,13.672409078,-,50.943396226,-,-,-,0.4922067268,16.953787257,-,-,-,-,-,-,-,0.0820344545,-,-,-,-,34.809953514,21.246923708,3657,1.3125512715,-,-,-,-,-,-,-,-,-,-,-,-,96.417828821,0,3.5821711786,3.8009297238,25.047853432,0,10.637134263,1.0937927263,0,59.420289855,-,0,9.8441345365,2.4063439978,-,-,-,0.6562756358,-,-,-,1.03910309,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54744326,3.4727919059,19.414820891,4.5665846322,0.5742411813,6.8908941756,38.884331419,15.942028986,19.852337982,0.9297238173,4.5939294504,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,May,Sentara Norfolk General Hospital (VANG),VANG,TX1,2021-07-06 19:00:00,HR,4.2657916325,4.1564123599,4.183757178,8.887065901,18.649165983,41.83757178,,,5.3595843588,-,39.185124419,15.121684441,16.735028712,27.071369975,30.489472245,,1.1484823626,40.333606782,0,24.555646705,63.248564397,9.762100082,-,-,-,61.307082308,-,-,-,28.438610883,-,71.561389117,0,0.5742411813,13.672409078,-,50.943396226,-,-,-,0.4922067268,16.953787257,-,-,-,-,-,-,-,0.0820344545,-,-,-,-,34.809953514,21.246923708,3657,1.3125512715,-,-,-,-,-,-,-,-,-,-,-,-,96.417828821,0,3.5821711786,3.8009297238,25.047853432,0,10.637134263,1.0937927263,0,59.420289855,-,0,9.8441345365,2.4063439978,-,-,-,0.6562756358,-,-,-,1.03910309,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54744326,3.4727919059,19.414820891,4.5665846322,0.5742411813,6.8908941756,38.884331419,15.942028986,19.852337982,0.9297238173,4.5939294504,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,May,University of Virginia Health Sciences Center (VAUV),VAUV,TX1,2021-07-06 19:00:00,HR,4.2657916325,4.1564123599,4.183757178,8.887065901,18.649165983,41.83757178,,,5.3595843588,-,39.185124419,15.121684441,16.735028712,27.071369975,30.489472245,,1.1484823626,40.333606782,0,24.555646705,63.248564397,9.762100082,-,-,-,61.307082308,-,-,-,28.438610883,-,71.561389117,0,0.5742411813,13.672409078,-,50.943396226,-,-,-,0.4922067268,16.953787257,-,-,-,-,-,-,-,0.0820344545,-,-,-,-,34.809953514,21.246923708,3657,1.3125512715,-,-,-,-,-,-,-,-,-,-,-,-,96.417828821,0,3.5821711786,3.8009297238,25.047853432,0,10.637134263,1.0937927263,0,59.420289855,-,0,9.8441345365,2.4063439978,-,-,-,0.6562756358,-,-,-,1.03910309,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54744326,3.4727919059,19.414820891,4.5665846322,0.5742411813,6.8908941756,38.884331419,15.942028986,19.852337982,0.9297238173,4.5939294504,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,May,,TXDL,TX1,2021-07-06 19:00:00,HR,4.2657916325,4.1564123599,4.183757178,8.887065901,18.649165983,41.83757178,,,5.3595843588,-,39.185124419,15.121684441,16.735028712,27.071369975,30.489472245,,1.1484823626,40.333606782,0,24.555646705,63.248564397,9.762100082,-,-,-,61.307082308,-,-,-,28.438610883,-,71.561389117,0,0.5742411813,13.672409078,-,50.943396226,-,-,-,0.4922067268,16.953787257,-,-,-,-,-,-,-,0.0820344545,-,-,-,-,34.809953514,21.246923708,3657,1.3125512715,-,-,-,-,-,-,-,-,-,-,-,-,96.417828821,0,3.5821711786,3.8009297238,25.047853432,0,10.637134263,1.0937927263,0,59.420289855,-,0,9.8441345365,2.4063439978,-,-,-,0.6562756358,-,-,-,1.03910309,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54744326,3.4727919059,19.414820891,4.5665846322,0.5742411813,6.8908941756,38.884331419,15.942028986,19.852337982,0.9297238173,4.5939294504,,,,,
1,University of Alabama Hospital (ALUA) , ALUA , TX1 , 2014/03/20 , Heart , 5.5 , 4.2 , 5.8 , 9.0 , 18.0 , 42.2 , 15.2 , 0.0 , 6.1 ,   , 41.4 , 14.4 , 22.2 , 31.2 , 27.6 , 18.3 , 0.6 , 38.1 , 0.0 , 33.3 , 54.4 , 10.1 ,   ,   ,   ,   , 44.4 ,   ,   ,   , 30.3 ,   , 69.7 , 0.0 , 0.0 , 15.1 ,   , 34.0 ,   ,   ,   , 0.0 , 33.0 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 50.8 , 22.5 , 2378 , 0.8 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.8 , 0.0 , 4.2 , 4.3 , 19.6 , 0.0 , 9.1 , 1.2 , 0.0 , 65.8 ,   , 0.0 , 63.1 , 32.2 ,   ,   ,   , 4.7 ,   ,   ,   , 1.3 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Baptist Medical Center (ARBH) , ARBH , TX1 , 2014/03/20 , Heart , 5.5 , 4.2 , 5.8 , 9.0 , 18.0 , 42.2 , 15.2 , 0.0 , 6.1 ,   , 41.4 , 14.4 , 22.2 , 31.2 , 27.6 , 18.3 , 0.6 , 38.1 , 0.0 , 33.3 , 54.4 , 10.1 ,   ,   ,   ,   , 44.4 ,   ,   ,   , 30.3 ,   , 69.7 , 0.0 , 0.0 , 15.1 ,   , 34.0 ,   ,   ,   , 0.0 , 33.0 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 50.8 , 22.5 , 2378 , 0.8 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.8 , 0.0 , 4.2 , 4.3 , 19.6 , 0.0 , 9.1 , 1.2 , 0.0 , 65.8 ,   , 0.0 , 63.1 , 32.2 ,   ,   ,   , 4.7 ,   ,   ,   , 1.3 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2014/03/20 , Heart , 5.5 , 4.2 , 5.8 , 9.0 , 18.0 , 42.2 , 15.2 , 0.0 , 6.1 ,   , 41.4 , 14.4 , 22.2 , 31.2 , 27.6 , 18.3 , 0.6 , 38.1 , 0.0 , 33.3 , 54.4 , 10.1 ,   ,   ,   ,   , 44.4 ,   ,   ,   , 30.3 ,   , 69.7 , 0.0 , 0.0 , 15.1 ,   , 34.0 ,   ,   ,   , 0.0 , 33.0 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 50.8 , 22.5 , 2378 , 0.8 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.8 , 0.0 , 4.2 , 4.3 , 19.6 , 0.0 , 9.1 , 1.2 , 0.0 , 65.8 ,   , 0.0 , 63.1 , 32.2 ,   ,   ,   , 4.7 ,   ,   ,   , 1.3 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Phoenix Children's Hospital (AZCH) , AZCH , TX1 , 2014/03/20 , Heart , 5.5 , 4.2 , 5.8 , 9.0 , 18.0 , 42.2 , 15.2 , 0.0 , 6.1 ,   , 41.4 , 14.4 , 22.2 , 31.2 , 27.6 , 18.3 , 0.6 , 38.1 , 0.0 , 33.3 , 54.4 , 10.1 ,   ,   ,   ,   , 44.4 ,   ,   ,   , 30.3 ,   , 69.7 , 0.0 , 0.0 , 15.1 ,   , 34.0 ,   ,   ,   , 0.0 , 33.0 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 50.8 , 22.5 , 2378 , 0.8 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.8 , 0.0 , 4.2 , 4.3 , 19.6 , 0.0 , 9.1 , 1.2 , 0.0 , 65.8 ,   , 0.0 , 63.1 , 32.2 ,   ,   ,   , 4.7 ,   ,   ,   , 1.3 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2014/03/20 , Heart , 5.5 , 4.2 , 5.8 , 9.0 , 18.0 , 42.2 , 15.2 , 0.0 , 6.1 ,   , 41.4 , 14.4 , 22.2 , 31.2 , 27.6 , 18.3 , 0.6 , 38.1 , 0.0 , 33.3 , 54.4 , 10.1 ,   ,   ,   ,   , 44.4 ,   ,   ,   , 30.3 ,   , 69.7 , 0.0 , 0.0 , 15.1 ,   , 34.0 ,   ,   ,   , 0.0 , 33.0 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 50.8 , 22.5 , 2378 , 0.8 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.8 , 0.0 , 4.2 , 4.3 , 19.6 , 0.0 , 9.1 , 1.2 , 0.0 , 65.8 ,   , 0.0 , 63.1 , 32.2 ,   ,   ,   , 4.7 ,   ,   ,   , 1.3 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2014/03/20 , Heart , 5.5 , 4.2 , 5.8 , 9.0 , 18.0 , 42.2 , 15.2 , 0.0 , 6.1 ,   , 41.4 , 14.4 , 22.2 , 31.2 , 27.6 , 18.3 , 0.6 , 38.1 , 0.0 , 33.3 , 54.4 , 10.1 ,   ,   ,   ,   , 44.4 ,   ,   ,   , 30.3 ,   , 69.7 , 0.0 , 0.0 , 15.1 ,   , 34.0 ,   ,   ,   , 0.0 , 33.0 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 50.8 , 22.5 , 2378 , 0.8 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.8 , 0.0 , 4.2 , 4.3 , 19.6 , 0.0 , 9.1 , 1.2 , 0.0 , 65.8 ,   , 0.0 , 63.1 , 32.2 ,   ,   ,   , 4.7 ,   ,   ,   , 1.3 ,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
