ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RC_A49_C,RCC_A64_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_TINA_R,D_OR_L,YEAR,MONTH
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2012/07/13 , Lung , 0.0 , 3.6 , 0.0 , 14.3 , 10.7 , 14.3 , 0.0 , 7.1 , 35.7 , 7.1 , 50.0 , 25.0 , 39.3 , 21.4 , 14.3 , 0.0 , 0.0 , 28.6 , 71.4 , 0.0 , 0.0 , 0.0 , 7.1 , 96.4 , 0.0 , 3.6 , 92.9 , 57.1 ,D,2012,7
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 25.0 , 16.7 , 16.7 , 0.0 , 0.0 , 33.3 , 16.7 , 50.0 , 33.3 , 41.7 , 16.7 , 8.3 , 0.0 , 0.0 , 41.7 , 58.3 , 0.0 , 16.7 , 0.0 , 0.0 , 91.7 , 0.0 , 8.3 , 83.3 , 41.7 ,D,2012,7
Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 4.5 , 13.6 , 47.7 , 0.0 , 4.5 , 38.6 , 13.6 , 43.2 , 15.9 , 25.0 , 52.3 , 4.5 , 2.3 , 0.0 , 36.4 , 63.6 , 0.0 , 20.5 , 0.0 , 0.0 , 88.6 , 0.0 , 11.4 , 79.5 , 34.1 ,D,2012,7
Tampa General Hospital (FLTG) , FLTG , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 14.3 , 5.4 , 33.9 , 0.0 , 1.8 , 48.2 , 14.3 , 35.7 , 16.1 , 44.6 , 28.6 , 8.9 , 1.8 , 0.0 , 42.9 , 57.1 , 0.0 , 7.1 , 0.0 , 3.6 , 96.4 , 0.0 , 3.6 , 89.3 , 46.4 ,D,2012,7
Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 22.2 , 22.2 , 0.0 , 0.0 , 47.2 , 8.3 , 44.4 , 19.4 , 38.9 , 36.1 , 5.6 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 25.0 , 0.0 , 2.8 , 91.7 , 0.0 , 8.3 , 72.2 , 55.6 ,D,2012,7
Emory University Hospital (GAEM) , GAEM , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 6.9 , 20.7 , 27.6 , 0.0 , 0.0 , 20.7 , 6.9 , 72.4 , 17.2 , 31.0 , 48.3 , 3.4 , 0.0 , 0.0 , 48.3 , 51.7 , 0.0 , 6.9 , 0.0 , 13.8 , 96.6 , 0.0 , 3.4 , 79.3 , 44.8 ,D,2012,7
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 42.9 , 21.4 , 14.3 , 0.0 , 0.0 , 71.4 , 7.1 , 21.4 , 64.3 , 28.6 , 7.1 , 0.0 , 0.0 , 0.0 , 35.7 , 64.3 , 0.0 , 14.3 , 0.0 , 14.3 , 92.9 , 0.0 , 7.1 , 71.4 , 21.4 ,D,2012,7
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2012/07/13 , Lung , 0.0 , 2.8 , 0.0 , 8.3 , 13.9 , 22.2 , 0.0 , 2.8 , 41.7 , 13.9 , 41.7 , 33.3 , 25.0 , 33.3 , 8.3 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 11.1 , 0.0 , 8.3 , 100.0 , 0.0 , 0.0 , 80.6 , 52.8 ,D,2012,7
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 25.0 , 50.0 , 0.0 , 0.0 , 25.0 , 25.0 , 50.0 , 12.5 , 50.0 , 37.5 , 0.0 , 0.0 , 0.0 , 37.5 , 62.5 , 0.0 , 0.0 , 0.0 , 0.0 , 87.5 , 0.0 , 12.5 , 100.0 , 25.0 ,D,2012,7
Indiana University Health (INIM) , INIM , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 12.2 , 29.3 , 0.0 , 4.9 , 29.3 , 4.9 , 61.0 , 14.6 , 39.0 , 36.6 , 7.3 , 2.4 , 0.0 , 36.6 , 63.4 , 0.0 , 7.3 , 0.0 , 2.4 , 97.6 , 0.0 , 2.4 , 90.2 , 58.5 ,D,2012,7
Jewish Hospital (KYJH) , KYJH , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 8.3 , 25.0 , 16.7 , 0.0 , 0.0 , 41.7 , 8.3 , 50.0 , 33.3 , 8.3 , 41.7 , 16.7 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 16.7 , 100.0 , 0.0 , 0.0 , 83.3 , 50.0 ,D,2012,7
University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2012/07/13 , Lung , 0.0 , 8.7 , 0.0 , 21.7 , 21.7 , 21.7 , 0.0 , 0.0 , 47.8 , 13.0 , 39.1 , 52.2 , 21.7 , 21.7 , 4.3 , 0.0 , 0.0 , 39.1 , 60.9 , 0.0 , 34.8 , 0.0 , 13.0 , 100.0 , 0.0 , 0.0 , 52.2 , 26.1 ,D,2012,7
Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2012/07/13 , Lung , 0.0 , 8.3 , 0.0 , 12.5 , 12.5 , 20.8 , 0.0 , 4.2 , 45.8 , 4.2 , 45.8 , 29.2 , 16.7 , 33.3 , 20.8 , 0.0 , 0.0 , 62.5 , 37.5 , 0.0 , 4.2 , 0.0 , 8.3 , 100.0 , 0.0 , 0.0 , 87.5 , 45.8 ,D,2012,7
Children's Hospital (MACH) , MACH , TX1 , 2012/07/13 , Lung , 50.0 , 0.0 , 0.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 50.0 , 50.0 , 0.0 ,D,2012,7
Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 20.0 , 20.0 , 20.0 , 0.0 , 10.0 , 50.0 , 10.0 , 30.0 , 20.0 , 20.0 , 40.0 , 20.0 , 0.0 , 0.0 , 20.0 , 80.0 , 0.0 , 10.0 , 0.0 , 20.0 , 100.0 , 0.0 , 0.0 , 70.0 , 40.0 ,D,2012,7
Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 3.7 , 18.5 , 11.1 , 0.0 , 0.0 , 51.9 , 11.1 , 37.0 , 33.3 , 18.5 , 33.3 , 14.8 , 0.0 , 0.0 , 40.7 , 59.3 , 0.0 , 11.1 , 0.0 , 11.1 , 100.0 , 0.0 , 0.0 , 77.8 , 66.7 ,D,2012,7
Johns Hopkins Hospital (MDJH) , MDJH , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 14.8 , 22.2 , 18.5 , 0.0 , 3.7 , 48.1 , 11.1 , 37.0 , 40.7 , 14.8 , 33.3 , 11.1 , 0.0 , 0.0 , 59.3 , 40.7 , 0.0 , 18.5 , 0.0 , 18.5 , 96.3 , 0.0 , 3.7 , 63.0 , 44.4 ,D,2012,7
University of Maryland Medical System (MDUM) , MDUM , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 10.5 , 52.6 , 0.0 , 10.5 , 57.9 , 15.8 , 15.8 , 0.0 , 47.4 , 31.6 , 21.1 , 0.0 , 0.0 , 36.8 , 63.2 , 0.0 , 15.8 , 0.0 , 57.9 , 100.0 , 0.0 , 0.0 , 26.3 , 36.8 ,D,2012,7
Henry Ford Hospital (MIHF) , MIHF , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 25.0 , 0.0 , 25.0 , 0.0 , 0.0 , 50.0 , 12.5 , 37.5 , 37.5 , 25.0 , 37.5 , 0.0 , 0.0 , 0.0 , 25.0 , 75.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 50.0 ,D,2012,7
University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 36.4 , 0.0 , 0.0 , 0.0 , 0.0 , 31.8 , 13.6 , 54.5 , 27.3 , 36.4 , 22.7 , 13.6 , 0.0 , 0.0 , 27.3 , 72.7 , 0.0 , 0.0 , 0.0 , 13.6 , 100.0 , 0.0 , 0.0 , 86.4 , 63.6 ,D,2012,7
Saint Marys Hospital (Mayo Clinic) (MNSM) , MNSM , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 6.7 , 20.0 , 26.7 , 0.0 , 0.0 , 46.7 , 13.3 , 40.0 , 20.0 , 40.0 , 33.3 , 6.7 , 0.0 , 0.0 , 60.0 , 40.0 , 0.0 , 40.0 , 0.0 , 0.0 , 93.3 , 0.0 , 6.7 , 60.0 , 46.7 ,D,2012,7
"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 4.5 , 18.2 , 4.5 , 0.0 , 4.5 , 45.5 , 9.1 , 40.9 , 4.5 , 22.7 , 9.1 , 4.5 , 59.1 , 0.0 , 54.5 , 45.5 , 0.0 , 13.6 , 0.0 , 13.6 , 95.5 , 0.0 , 4.5 , 72.7 , 72.7 ,D,2012,7
Barnes-Jewish Hospital (MOBH) , MOBH , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 23.0 , 10.8 , 23.0 , 0.0 , 1.4 , 43.2 , 6.8 , 48.6 , 33.8 , 41.9 , 21.6 , 2.7 , 0.0 , 0.0 , 40.5 , 59.5 , 0.0 , 12.2 , 0.0 , 14.9 , 93.2 , 0.0 , 6.8 , 73.0 , 43.2 ,D,2012,7
St. Louis Children's Hospital (MOCH) , MOCH , TX1 , 2012/07/13 , Lung , 38.5 , 30.8 , 30.8 , 0.0 , 0.0 , 0.0 , 0.0 , 7.7 , 46.2 , 15.4 , 30.8 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 53.8 , 46.2 , 0.0 , 23.1 , 0.0 , 7.7 , 92.3 , 0.0 , 7.7 , 69.2 , 0.0 ,D,2012,7
Duke University Hospital (NCDU) , NCDU , TX1 , 2012/07/13 , Lung , 0.0 , 0.7 , 0.0 , 10.3 , 8.3 , 42.1 , 0.0 , 2.1 , 38.6 , 17.2 , 42.1 , 22.1 , 49.0 , 29.0 , 0.0 , 0.0 , 0.0 , 35.9 , 64.1 , 0.0 , 2.8 , 0.0 , 6.2 , 91.0 , 0.0 , 9.0 , 91.0 , 38.6 ,D,2012,7
University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2012/07/13 , Lung , 0.0 , 11.1 , 0.0 , 22.2 , 33.3 , 22.2 , 0.0 , 0.0 , 66.7 , 11.1 , 22.2 , 55.6 , 0.0 , 22.2 , 22.2 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 11.1 , 100.0 , 0.0 , 0.0 , 88.9 , 11.1 ,D,2012,7
Newark Beth Israel Medical Center (NJBI) , NJBI , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 23.5 , 5.9 , 41.2 , 0.0 , 11.8 , 41.2 , 5.9 , 41.2 , 29.4 , 35.3 , 29.4 , 5.9 , 0.0 , 0.0 , 23.5 , 76.5 , 0.0 , 29.4 , 0.0 , 5.9 , 94.1 , 0.0 , 5.9 , 64.7 , 29.4 ,D,2012,7
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP) , NYCP , TX1 , 2012/07/13 , Lung , 0.0 , 1.7 , 0.0 , 16.9 , 13.6 , 16.9 , 0.0 , 5.1 , 33.9 , 20.3 , 40.7 , 25.4 , 45.8 , 28.8 , 0.0 , 0.0 , 0.0 , 45.8 , 54.2 , 0.0 , 10.2 , 0.0 , 6.8 , 94.9 , 0.0 , 5.1 , 83.1 , 50.8 ,D,2012,7
The Cleveland Clinic Foundation (OHCC) , OHCC , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 9.5 , 12.4 , 23.8 , 0.0 , 4.8 , 35.2 , 9.5 , 50.5 , 14.3 , 30.5 , 43.8 , 11.4 , 0.0 , 0.0 , 40.0 , 60.0 , 0.0 , 18.1 , 0.0 , 13.3 , 99.0 , 0.0 , 1.0 , 68.6 , 54.3 ,D,2012,7
Nationwide Children's Hospital (OHCH) , OHCH , TX1 , 2012/07/13 , Lung , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 ,D,2012,7
University Hospitals of Cleveland (OHUH) , OHUH , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 0.0 , 50.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0.0 , 0.0 , 50.0 ,D,2012,7
Integris Baptist Medical Center (OKBC) , OKBC , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 5.9 , 17.6 , 5.9 , 0.0 , 0.0 , 58.8 , 0.0 , 41.2 , 23.5 , 35.3 , 41.2 , 0.0 , 0.0 , 0.0 , 52.9 , 47.1 , 0.0 , 0.0 , 0.0 , 5.9 , 100.0 , 0.0 , 0.0 , 94.1 , 70.6 ,D,2012,7
Children's Hospital of Pittsburgh of UPMC (PACH) , PACH , TX1 , 2012/07/13 , Lung , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 0.0 , 33.3 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 33.3 , 100.0 , 0.0 , 0.0 , 66.7 , 0.0 ,D,2012,7
University of Pittsburgh Medical Center (PAPT) , PAPT , TX1 , 2012/07/13 , Lung , 0.0 , 0.9 , 0.0 , 11.1 , 10.2 , 38.9 , 0.0 , 4.6 , 41.7 , 10.2 , 43.5 , 18.5 , 33.3 , 33.3 , 13.0 , 1.9 , 0.0 , 44.4 , 55.6 , 0.0 , 13.0 , 0.9 , 16.7 , 98.1 , 0.0 , 1.9 , 69.4 , 38.9 ,D,2012,7
Temple University Hospital (PATU) , PATU , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 20.0 , 0.0 , 0.0 , 40.0 , 20.0 , 40.0 , 20.0 , 20.0 , 60.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 80.0 ,D,2012,7
Hospital of the University of Pennsylvania (PAUP) , PAUP , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 7.8 , 5.9 , 25.5 , 0.0 , 5.9 , 29.4 , 11.8 , 52.9 , 17.6 , 21.6 , 41.2 , 19.6 , 0.0 , 0.0 , 52.9 , 47.1 , 0.0 , 3.9 , 0.0 , 7.8 , 100.0 , 0.0 , 0.0 , 88.2 , 60.8 ,D,2012,7
Medical University of South Carolina (SCMU) , SCMU , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 20.0 , 0.0 , 0.0 , 0.0 , 60.0 , 20.0 , 20.0 , 20.0 , 20.0 , 60.0 , 0.0 , 0.0 , 0.0 , 20.0 , 80.0 , 0.0 , 20.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 80.0 , 80.0 ,D,2012,7
Baptist Memorial Hospital (TNBM) , TNBM , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 16.7 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 0.0 , 0.0 , 66.7 , 33.3 , 0.0 , 16.7 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 83.3 , 83.3 ,D,2012,7
Vanderbilt University Medical Center (TNVU) , TNVU , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 20.0 , 20.0 , 0.0 , 0.0 , 0.0 , 35.0 , 5.0 , 60.0 , 25.0 , 20.0 , 55.0 , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 60.0 ,D,2012,7
"University Hospital, University of Texas Health Science Center (TXBC) ", TXBC , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 17.6 , 8.8 , 38.2 , 0.0 , 2.9 , 41.2 , 14.7 , 41.2 , 29.4 , 35.3 , 32.4 , 2.9 , 0.0 , 0.0 , 41.2 , 58.8 , 0.0 , 5.9 , 0.0 , 2.9 , 97.1 , 0.0 , 2.9 , 91.2 , 35.3 ,D,2012,7
St Luke's Episcopal Hospital (TXHI) , TXHI , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 16.7 , 50.0 , 0.0 , 0.0 , 0.0 , 16.7 , 83.3 , 16.7 , 0.0 , 83.3 , 0.0 , 0.0 , 0.0 , 16.7 , 83.3 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 33.3 ,D,2012,7
University of Texas Medical Branch at Galveston (TXJS) , TXJS , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 0.0 , 0.0 , 55.6 , 11.1 , 33.3 , 0.0 , 77.8 , 22.2 , 0.0 , 0.0 , 0.0 , 44.4 , 55.6 , 0.0 , 22.2 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 77.8 , 66.7 ,D,2012,7
The Methodist Hospital (TXMH) , TXMH , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 4.6 , 11.1 , 40.7 , 0.0 , 2.8 , 40.7 , 11.1 , 45.4 , 23.1 , 27.8 , 29.6 , 19.4 , 0.0 , 0.0 , 47.2 , 52.8 , 0.0 , 13.0 , 0.0 , 5.6 , 94.4 , 0.0 , 5.6 , 81.5 , 43.5 ,D,2012,7
University Hospital - St. Paul (TXSP) , TXSP , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 8.0 , 14.0 , 28.0 , 0.0 , 0.0 , 32.0 , 14.0 , 54.0 , 20.0 , 26.0 , 34.0 , 20.0 , 0.0 , 0.0 , 44.0 , 56.0 , 0.0 , 12.0 , 0.0 , 10.0 , 100.0 , 0.0 , 0.0 , 78.0 , 50.0 ,D,2012,7
Texas Children's Hospital (TXTC) , TXTC , TX1 , 2012/07/13 , Lung , 30.8 , 46.2 , 15.4 , 7.7 , 0.0 , 0.0 , 0.0 , 0.0 , 30.8 , 7.7 , 61.5 , 84.6 , 15.4 , 0.0 , 0.0 , 0.0 , 0.0 , 53.8 , 46.2 , 0.0 , 0.0 , 0.0 , 23.1 , 92.3 , 0.0 , 7.7 , 76.9 , 0.0 ,D,2012,7
Baylor University Medical Center (TXTX) , TXTX , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 13.8 , 10.3 , 31.0 , 0.0 , 3.4 , 27.6 , 13.8 , 55.2 , 27.6 , 34.5 , 24.1 , 13.8 , 0.0 , 0.0 , 31.0 , 69.0 , 0.0 , 0.0 , 0.0 , 10.3 , 100.0 , 0.0 , 0.0 , 89.7 , 44.8 ,D,2012,7
University of Utah Medical Center (UTMC) , UTMC , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 7.7 , 7.7 , 15.4 , 0.0 , 0.0 , 53.8 , 15.4 , 30.8 , 38.5 , 23.1 , 15.4 , 23.1 , 0.0 , 0.0 , 38.5 , 61.5 , 0.0 , 0.0 , 0.0 , 15.4 , 100.0 , 0.0 , 0.0 , 84.6 , 69.2 ,D,2012,7
Inova Fairfax Hospital (VAFH) , VAFH , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 10.5 , 21.1 , 21.1 , 0.0 , 5.3 , 52.6 , 10.5 , 31.6 , 21.1 , 31.6 , 42.1 , 5.3 , 0.0 , 0.0 , 47.4 , 52.6 , 0.0 , 10.5 , 0.0 , 15.8 , 84.2 , 0.0 , 15.8 , 73.7 , 47.4 ,D,2012,7
University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 10.5 , 10.5 , 0.0 , 0.0 , 5.3 , 47.4 , 10.5 , 36.8 , 26.3 , 26.3 , 42.1 , 5.3 , 0.0 , 0.0 , 42.1 , 57.9 , 0.0 , 5.3 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 94.7 , 78.9 ,D,2012,7
University of Washington Medical Center (WAUW) , WAUW , TX1 , 2012/07/13 , Lung , 0.0 , 2.2 , 0.0 , 26.1 , 4.3 , 21.7 , 0.0 , 2.2 , 56.5 , 4.3 , 37.0 , 23.9 , 17.4 , 32.6 , 0.0 , 26.1 , 0.0 , 37.0 , 63.0 , 0.0 , 4.3 , 45.7 , 4.3 , 100.0 , 0.0 , 0.0 , 45.7 , 45.7 ,D,2012,7
