ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
Sutter Memorial Hospital (CASG) , CASG , TX1 , 2012/07/13 , Heart , 0 , 1 , 1 ,100,92.86, 83.33 , 96.31 , 90.98 , 88.35 , 0.79 , 1.83 , 0.66 , 21 , 21 , 6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Sharp Memorial Hospital (CASH) , CASH , TX1 , 2012/07/13 , Heart , 0 , 0 , 7 ,100,100, 78.79 , 97.11 , 92.90 , 83.15 , 0.82 , 1.92 , 5.66 , 28 , 28 , 33 , 0 , 0 ,0, 100.00 , 100.00 , 99.50 , 98.66 ,0, 0.00 , 0.01 ,0, 1 , 1 ,2012,7
Stanford University Medical Center (CASU) , CASU , TX1 , 2012/07/13 , Heart , 4 , 11 , 24 ,95.18,85.3, 78.57 , 95.85 , 89.97 , 80.47 , 3.45 , 8.16 , 22.23 , 83 , 83 , 112 , 0 , 0 , 6 , 100.00 , 100.00 , 97.36 , 93.07 , 82.48 , 0.05 , 0.15 , 7.31 , 2 , 2 ,2012,7
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2012/07/13 , Heart , 3 , 9 , 36 ,97.25,91.43, 80.33 , 95.67 , 89.62 , 80.80 , 4.83 , 11.31 , 36.01 , 109 , 109 , 183 , 3 , 5 , 5 , 89.66 , 82.76 , 96.91 , 91.98 , 86.36 , 0.83 , 1.99 , 4.27 , 29 , 29 ,2012,7
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2012/07/13 , Heart , 1 , 3 , 10 ,97.62,92.86, 81.13 , 96.83 , 92.22 , 82.94 , 1.35 , 3.10 , 8.92 , 42 , 42 , 53 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Children's Hospital Colorado (COCH) , COCH , TX1 , 2012/07/13 , Heart , 0 , 0 , 0 ,100,100, 100.00 , 95.14 , 88.44 , 86.20 , 0.25 , 0.62 , 0.30 , 5 , 5 , 2 , 1 , 2 , 7 , 96.77 , 93.55 , 96.18 , 90.29 , 85.00 , 1.21 , 3.16 , 6.81 , 31 , 31 ,2012,7
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2012/07/13 , Heart , 1 , 2 , 3 ,97.14,94.29, 90.00 , 97.05 , 92.75 , 80.60 , 0.99 , 2.33 , 5.99 , 35 , 35 , 30 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Hartford Hospital (CTHH) , CTHH , TX1 , 2012/07/13 , Heart , 0 , 4 , 8 ,100,88.69, 69.23 , 96.21 , 90.79 , 83.18 , 1.48 , 3.45 , 3.95 , 38 , 38 , 26 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Yale New Haven Hospital (CTYN) , CTYN , TX1 , 2012/07/13 , Heart , 0 , 0 , 6 ,100,100, 75.00 , 95.96 , 90.22 , 84.97 , 1.00 , 2.41 , 3.28 , 24 , 24 , 24 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Children's National Medical Center (DCCH) , DCCH , TX1 , 2012/07/13 , Heart ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1 ,0,0,0,0, 82.19 ,0,0, 0.18 ,0,0,2012,7
Washington Hospital Center (DCWH) , DCWH , TX1 , 2012/07/13 , Heart , 2 , 4 , 2 ,92,82.5, 80.00 , 95.89 , 90.01 , 82.26 , 1.01 , 2.29 , 1.62 , 25 , 25 , 10 , 0 , 0 ,0, 100.00 , 100.00 , 99.27 , 98.03 ,0, 0.01 , 0.02 ,0, 1 , 1 ,2012,7
Alfred I DuPont Hospital for Children (DEAI) , DEAI , TX1 , 2012/07/13 , Heart ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0 , 0 , 1 , 100.00 , 100.00 , 97.32 , 92.92 , 85.26 , 0.14 , 0.33 , 0.56 , 5 , 5 ,2012,7
All Children's Hospital (FLAC) , FLAC , TX1 , 2012/07/13 , Heart ,0,0, 0 ,0,0, 100.00 ,0,0, 84.04 ,0,0, 0.17 ,0,0, 1 , 0 , 0 , 5 , 100.00 , 100.00 , 95.95 , 89.82 , 79.18 , 0.81 , 2.13 , 5.57 , 19 , 19 ,2012,7
Memorial Regional Hospital/Joe DiMaggio Children's Hospital (FLJD) , FLJD , TX1 , 2012/07/13 , Heart ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0 , 0 ,0, 100.00 , 100.00 , 97.52 , 93.44 ,0, 0.05 , 0.13 ,0, 2 , 2 ,2012,7
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2012/07/13 , Heart , 1 , 4 , 2 ,98.28,92.26, 96.88 , 96.99 , 92.64 , 81.72 , 1.68 , 3.83 , 12.87 , 58 , 58 , 64 , 0 , 0 , 3 , 100.00 , 100.00 , 98.13 , 95.11 , 64.75 , 0.10 , 0.26 , 2.60 , 5 , 5 ,2012,7
Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2012/07/13 , Heart , 3 , 5 , 9 ,95.08,91.5, 80.00 , 96.28 , 90.92 , 82.49 , 2.24 , 5.29 , 7.80 , 61 , 61 , 45 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Tampa General Hospital (FLTG) , FLTG , TX1 , 2012/07/13 , Heart , 6 , 10 , 29 ,95.38,92.14, 76.61 , 95.58 , 89.91 , 78.76 , 5.64 , 12.15 , 25.41 , 130 , 130 , 124 ,0,0, 0 ,0,0,0,0, 92.40 ,0,0, 0.08 ,0,0,2012,7
Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2012/07/13 , Heart , 1 , 5 , 14 ,98.41,92.06, 80.56 , 96.28 , 90.91 , 81.54 , 2.37 , 5.40 , 13.87 , 63 , 63 , 72 , 0 , 2 , 0 , 100.00 , 90.91 , 95.16 , 88.07 , 85.70 , 1.13 , 2.39 , 2.33 , 22 , 22 ,2012,7
Children's Healthcare of Atlanta at Egleston (GAEH) , GAEH , TX1 , 2012/07/13 , Heart ,0,0, 2 ,0,0, 0.00 ,0,0, 52.82 ,0,0, 0.61 ,0,0, 2 , 2 , 3 , 5 , 94.74 , 91.23 , 97.17 , 92.75 , 80.91 , 1.08 , 2.72 , 4.55 , 38 , 38 ,2012,7
Emory University Hospital (GAEM) , GAEM , TX1 , 2012/07/13 , Heart , 6 , 7 , 14 ,90.63,88.78, 75.44 , 96.43 , 91.27 , 79.89 , 2.28 , 5.25 , 11.02 , 64 , 64 , 57 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Georgia Health Sciences Medical Center (GAMC) , GAMC , TX1 , 2012/07/13 , Heart ,0,0, 0 ,0,0, 100.00 ,0,0, 83.30 ,0,0, 0.37 ,0,0, 2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Saint Joseph's Hospital of Atlanta (GASJ) , GASJ , TX1 , 2012/07/13 , Heart , 4 , 8 , 2 ,88.24,75.76, 92.31 , 95.83 , 89.94 , 84.81 , 1.22 , 2.70 , 4.00 , 34 , 34 , 26 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Hawaii Medical Center East (HISF) , HISF , TX1 , 2012/07/13 , Heart ,0,0, 1 ,0,0, 75.00 ,0,0, 73.99 ,0,0, 0.99 ,0,0, 4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2012/07/13 , Heart , 0 , 4 , 0 ,100,85.71, 100.00 , 96.43 , 91.30 , 85.73 , 1.10 , 2.44 , 2.66 , 30 , 30 , 17 , 0 , 0 , 1 , 100.00 , 100.00 , 98.18 , 95.17 , 85.11 , 0.07 , 0.20 , 0.80 , 4 , 4 ,2012,7
Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2012/07/13 , Heart , 0 , 2 , 2 ,100,82.96, 75.00 , 97.09 , 92.83 , 79.24 , 0.44 , 0.98 , 1.33 , 15 , 15 , 8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Children's Memorial Hospital (ILCM) , ILCM , TX1 , 2012/07/13 , Heart , 0 , 0 , 1 ,100,100, 50.00 , 97.74 , 94.39 , 28.84 , 0.02 , 0.06 , 1.23 , 1 , 1 , 2 , 2 , 3 , 2 , 93.75 , 90.63 , 95.45 , 88.72 , 81.37 , 1.48 , 3.52 , 4.07 , 32 , 32 ,2012,7
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2012/07/13 , Heart , 0 , 3 , 7 ,100,91.02, 85.42 , 96.50 , 91.42 , 82.69 , 1.32 , 3.13 , 8.70 , 37 , 37 , 48 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2012/07/13 , Heart , 1 , 3 , 9 ,97.78,93.33, 85.25 , 96.86 , 92.31 , 79.31 , 1.43 , 3.39 , 12.91 , 45 , 45 , 61 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Rush University Medical Center (ILPL) , ILPL , TX1 , 2012/07/13 , Heart , 0 , 2 , 4 ,100,83.33, 77.78 , 95.25 , 88.53 , 80.30 , 0.59 , 1.42 , 3.22 , 12 , 12 , 18 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
OSF Saint Francis Medical Center (ILSF) , ILSF , TX1 , 2012/07/13 , Heart ,0,0, 1 ,0,0, 0.00 ,0,0, 83.79 ,0,0, 0.02 ,0,0, 1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2012/07/13 , Heart , 7 , 8 , 11 ,86.27,84.31, 77.55 , 95.91 , 90.07 , 77.49 , 1.95 , 4.30 , 11.52 , 51 , 51 , 49 , 0 , 0 , 0 , 100.00 , 100.00 , 97.82 , 94.21 , 90.00 , 0.02 , 0.06 , 0.11 , 1 , 1 ,2012,7
Indiana University Health (INIM) , INIM , TX1 , 2012/07/13 , Heart , 2 , 4 , 13 ,95.12,89.12, 59.38 , 96.29 , 91.08 , 76.93 , 1.48 , 3.03 , 6.34 , 41 , 41 , 32 , 0 , 0 , 0 , 100.00 , 100.00 , 96.83 , 91.68 , 87.13 , 0.29 , 0.77 , 1.52 , 9 , 9 ,2012,7
Lutheran Hospital of Fort Wayne (INLH) , INLH , TX1 , 2012/07/13 , Heart , 1 , 2 , 9 ,93.33,86.67, 62.50 , 96.75 , 92.03 , 82.29 , 0.46 , 1.04 , 3.78 , 15 , 15 , 24 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
St Vincent Hospital and Health Care Center (INSV) , INSV , TX1 , 2012/07/13 , Heart , 0 , 3 , 6 ,100,93.01, 80.00 , 96.65 , 91.82 , 83.67 , 1.61 , 3.69 , 4.71 , 47 , 47 , 30 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
"Via Christi Regional Medical Center, St Francis Campus (KSFW) ", KSFW , TX1 , 2012/07/13 , Heart , 0 , 0 , 4 ,100,100, 73.33 , 98.38 , 95.98 , 81.74 , 0.03 , 0.08 , 2.28 , 2 , 2 , 15 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Jewish Hospital (KYJH) , KYJH , TX1 , 2012/07/13 , Heart , 1 , 4 , 6 ,97.22,88.51, 76.92 , 95.58 , 89.35 , 79.03 , 1.61 , 3.81 , 5.11 , 36 , 36 , 26 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Kosair Children's Hospital (KYKC) , KYKC , TX1 , 2012/07/13 , Heart ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 2 , 2 , 1 , 60.00 , 60.00 , 89.55 , 75.47 , 77.43 , 0.30 , 0.51 , 0.14 , 5 , 5 ,2012,7
University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2012/07/13 , Heart , 0 , 2 , 1 ,100,88.24, 94.12 , 96.29 , 90.95 , 80.02 , 0.64 , 1.37 , 3.58 , 17 , 17 , 17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2012/07/13 , Heart , 1 , 1 , 9 ,98.25,98.25, 77.50 , 96.30 , 91.03 , 83.04 , 2.14 , 5.14 , 6.38 , 57 , 57 , 40 , 0 , 0 , 1 , 100.00 , 100.00 , 97.68 , 93.84 , 72.97 , 0.05 , 0.12 , 0.13 , 2 , 2 ,2012,7
Tulane Medical Center (LATU) , LATU , TX1 , 2012/07/13 , Heart , 0 , 2 , 3 ,100,88.24, 62.50 , 94.94 , 87.86 , 70.56 , 0.89 , 2.21 , 2.30 , 17 , 17 , 8 , 0 , 0 ,0, 100.00 , 100.00 , 98.65 , 96.39 ,0, 0.01 , 0.04 ,0, 1 , 1 ,2012,7
Children's Hospital (MACH) , MACH , TX1 , 2012/07/13 , Heart , 1 , 1 , 1 ,0,0, 50.00 , 95.41 , 88.80 , 72.94 , 0.03 , 0.03 , 0.56 , 1 , 1 , 2 , 1 , 2 , 7 , 96.15 , 92.31 , 96.46 , 90.89 , 81.62 , 0.93 , 2.30 , 5.69 , 26 , 26 ,2012,7
Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2012/07/13 , Heart , 3 , 6 , 7 ,91.89,82.82, 85.71 , 96.17 , 90.67 , 84.68 , 1.40 , 3.25 , 7.63 , 37 , 37 , 49 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Tufts Medical Center (MANM) , MANM , TX1 , 2012/07/13 , Heart , 4 , 6 , 9 ,91.84,87, 82.69 , 95.95 , 90.19 , 82.01 , 1.98 , 4.52 , 8.61 , 49 , 49 , 52 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2012/07/13 , Heart , 2 , 2 , 4 ,96.08,96.08, 91.11 , 96.02 , 90.39 , 83.34 , 2.04 , 4.86 , 8.01 , 51 , 51 , 45 ,0,0, 0 ,0,0,0,0, 88.98 ,0,0, 0.12 ,0,0,2012,7
Johns Hopkins Hospital (MDJH) , MDJH , TX1 , 2012/07/13 , Heart , 3 , 8 , 10 ,91.18,75.8, 73.68 , 95.92 , 90.13 , 75.07 , 1.33 , 2.79 , 9.09 , 34 , 34 , 38 , 0 , 2 , 2 , 100.00 , 88.89 , 96.27 , 90.53 , 84.21 , 0.70 , 1.59 , 2.50 , 18 , 18 ,2012,7
University of Maryland Medical System (MDUM) , MDUM , TX1 , 2012/07/13 , Heart , 1 , 3 , 23 ,96.3,88.57, 62.90 , 96.55 , 91.59 , 76.06 , 0.95 , 2.18 , 13.13 , 27 , 27 , 62 ,0,0, 0 ,0,0,0,0, 90.40 ,0,0, 0.10 ,0,0,2012,7
Children's Hospital of Michigan (MICH) , MICH , TX1 , 2012/07/13 , Heart , 0 , 0 , 1 ,100,100, 0.00 , 97.14 , 92.93 , 74.00 , 0.03 , 0.07 , 0.08 , 1 , 1 , 1 , 2 , 4 , 1 , 87.50 , 75.00 , 93.49 , 84.46 , 78.86 , 1.00 , 2.30 , 3.66 , 16 , 16 ,2012,7
Henry Ford Hospital (MIHF) , MIHF , TX1 , 2012/07/13 , Heart , 2 , 3 , 2 ,92,88, 90.91 , 95.16 , 88.37 , 80.13 , 1.21 , 2.74 , 4.60 , 25 , 25 , 22 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Spectrum Health (MISH) , MISH , TX1 , 2012/07/13 , Heart , 0 , 1 ,0,100,90,0, 90.18 , 78.72 ,0, 1.10 , 2.12 ,0, 10 , 10 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2012/07/13 , Heart , 0 , 8 , 9 ,100,89.06, 86.96 , 96.02 , 90.34 , 82.24 , 3.23 , 7.50 , 12.97 , 79 , 79 , 69 , 0 , 0 , 2 , 100.00 , 100.00 , 95.99 , 89.74 , 62.44 , 0.75 , 2.00 , 2.13 , 18 , 18 ,2012,7
Abbott Northwestern Hospital (MNAN) , MNAN , TX1 , 2012/07/13 , Heart , 2 , 2 , 2 ,91.67,91.67, 83.33 , 93.69 , 86.09 , 82.12 , 1.59 , 3.44 , 2.38 , 24 , 24 , 12 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Saint Marys Hospital (Mayo Clinic) (MNSM) , MNSM , TX1 , 2012/07/13 , Heart , 3 , 3 , 8 ,93.88,93.88, 82.61 , 95.98 , 91.02 , 85.29 , 2.19 , 4.14 , 6.92 , 49 , 49 , 46 , 0 , 0 , 3 , 100.00 , 100.00 , 93.98 , 84.86 , 70.44 , 0.32 , 0.80 , 1.07 , 5 , 5 ,2012,7
"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2012/07/13 , Heart , 0 , 4 , 5 ,100,92.86, 93.06 , 95.60 , 89.48 , 80.43 , 2.56 , 6.08 , 15.60 , 56 , 56 , 72 , 1 , 3 , 1 , 93.33 , 75.83 , 97.37 , 93.11 , 85.86 , 0.38 , 0.95 , 0.07 , 15 , 15 ,2012,7
Barnes-Jewish Hospital (MOBH) , MOBH , TX1 , 2012/07/13 , Heart , 5 , 7 , 14 ,92.65,89.1, 78.46 , 96.43 , 91.32 , 82.96 , 2.35 , 5.38 , 10.86 , 68 , 68 , 65 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Cardinal Glennon Children's Hospital (MOCG) , MOCG , TX1 , 2012/07/13 , Heart ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1 , 1 , 0 , 80.00 , 80.00 , 96.29 , 90.36 , 80.21 , 0.14 , 0.35 , 0.22 , 5 , 5 ,2012,7
St. Louis Children's Hospital (MOCH) , MOCH , TX1 , 2012/07/13 , Heart , 0 , 0 , 3 ,100,100, 40.00 , 96.27 , 90.90 , 69.67 , 0.15 , 0.39 , 1.14 , 4 , 4 , 5 , 2 , 7 , 13 , 96.43 , 87.00 , 96.10 , 90.37 , 81.80 , 2.29 , 5.72 , 11.25 , 56 , 56 ,2012,7
St Luke's Hospital of Kansas City (MOLH) , MOLH , TX1 , 2012/07/13 , Heart , 3 , 7 , 12 ,96.88,92.1, 85.19 , 97.07 , 92.82 , 83.50 , 2.85 , 6.83 , 13.06 , 96 , 96 , 81 ,0,0, 0 ,0,0,0,0, 88.31 ,0,0, 0.12 ,0,0,2012,7
Saint Louis University Hospital (MOSL) , MOSL , TX1 , 2012/07/13 , Heart ,0,0, 0 ,0,0, 100.00 ,0,0, 84.31 ,0,0, 0.51 ,0,0, 3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Mississippi Medical Center (MSUM) , MSUM , TX1 , 2012/07/13 , Heart , 4 , 5 , 4 ,80.95,76.19, 81.82 , 95.98 , 90.29 , 80.08 , 0.74 , 1.55 , 4.32 , 21 , 21 , 22 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
North Carolina Baptist Hospital (NCBG) , NCBG , TX1 , 2012/07/13 , Heart , 0 , 0 , 2 ,100,100, 81.82 , 97.19 , 93.09 , 83.19 , 0.63 , 1.56 , 1.90 , 22 , 22 , 11 , 0 , 0 , 0 , 100.00 , 100.00 , 96.33 , 90.39 , 92.22 , 0.04 , 0.10 , 0.08 , 1 , 1 ,2012,7
Carolinas Medical Center (NCCM) , NCCM , TX1 , 2012/07/13 , Heart , 2 , 2 , 3 ,95.74,95.74, 92.86 , 96.97 , 92.62 , 82.83 , 1.43 , 3.35 , 7.91 , 47 , 47 , 42 , 0 , 0 , 1 , 100.00 , 100.00 , 96.94 , 92.02 , 85.53 , 0.16 , 0.42 , 0.90 , 5 , 5 ,2012,7
Duke University Hospital (NCDU) , NCDU , TX1 , 2012/07/13 , Heart , 1 , 10 , 22 ,99.19,90.72, 78.64 , 95.40 , 89.15 , 77.75 , 5.91 , 13.90 , 23.44 , 123 , 123 , 103 , 0 , 2 , 1 , 100.00 , 83.33 , 97.17 , 92.63 , 81.74 , 0.35 , 0.86 , 1.57 , 12 , 12 ,2012,7
University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2012/07/13 , Heart , 2 , 5 , 8 ,94.74,86.03, 63.64 , 96.43 , 91.30 , 76.76 , 1.35 , 2.93 , 3.57 , 38 , 38 , 22 , 0 , 0 , 1 , 100.00 , 100.00 , 95.46 , 88.29 , 86.66 , 0.14 , 0.36 , 0.65 , 3 , 3 ,2012,7
BryanLGH Medical Center East (NEBM) , NEBM , TX1 , 2012/07/13 , Heart ,0,0, 1 ,0,0, 50.00 ,0,0, 85.67 ,0,0, 0.15 ,0,0, 2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
The Nebraska Medical Center (NEUN) , NEUN , TX1 , 2012/07/13 , Heart , 1 , 4 , 6 ,97.3,88.07, 78.57 , 96.10 , 90.81 , 83.25 , 1.48 , 3.52 , 4.67 , 37 , 37 , 28 , 0 , 0 , 1 , 100.00 , 100.00 , 97.66 , 93.83 , 89.57 , 0.09 , 0.25 , 0.21 , 4 , 4 ,2012,7
Newark Beth Israel Medical Center (NJBI) , NJBI , TX1 , 2012/07/13 , Heart , 6 , 8 , 15 ,94.83,92.79, 83.70 , 95.51 , 89.18 , 82.67 , 5.27 , 11.93 , 16.43 , 116 , 116 , 92 ,0,0, 1 ,0,0,0,0, 53.07 ,0,0, 1.95 ,0,0,2012,7
