,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A64_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,RCC_N_C,D_OR_L,YEAR,MONTH,RCC_A65P_C,RCC_AU_C,RCC_BMI31P_C, RCC_TST1B_R
11,University of Maryland Medical System (MDUM),MDUM,TX1,2021-01-04 18:00:00,LI,0,0,0,5.2631578947,23.684210526,46.052631579,3.9473684211,39.473684211,9.2105263158,47.368421053,3.9473684211,36.842105263,25,0,0,36.842105263,63.157894737,0,14.473684211,0,42.105263158,97.368421053,0,2.6315789474,43.421052632,0,0,0,3.1137724551,0,-,-,0,0,0,0,0,0,2.6315789474,5.8682634731,7.8947368421,12.335329341,31.578947368,26.107784431,27.631578947,24.311377246,10.526315789,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,76,D,2020,November,,,,
12,Our Lady of Lourdes Medical Center (NJLL),NJLL,TX1,2021-01-04 18:00:00,LI,0,0,0,0,27.272727273,72.727272727,9.0909090909,54.545454545,0,36.363636364,9.0909090909,18.181818182,45.454545455,0,0,54.545454545,45.454545455,0,0,0,63.636363636,100,0,0,36.363636364,0,0,0,3.1137724551,0,-,-,0,0,0,0,0,0,0,5.8682634731,9.0909090909,12.335329341,18.181818182,26.107784431,36.363636364,24.311377246,9.0909090909,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,11,D,2020,November,,,,
13,University Hospital (NJUH),NJUH,TX1,2021-01-04 18:00:00,LI,0,0,0,2.5641025641,10.256410256,66.666666667,7.6923076923,43.58974359,10.256410256,38.461538462,7.6923076923,30.769230769,30.769230769,2.5641025641,0,35.897435897,64.102564103,0,5.1282051282,0,23.076923077,97.435897436,0,2.5641025641,71.794871795,0,0,0,3.1137724551,0,-,-,0,0,0,0,0,0,12.820512821,5.8682634731,17.948717949,12.335329341,25.641025641,26.107784431,23.076923077,24.311377246,12.820512821,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,39,D,2020,November,,,,
14,Albert Einstein Medical Center (PAAE),PAAE,TX1,2021-01-04 18:00:00,LI,0,0,0,5.6338028169,16.901408451,56.338028169,4.2253521127,43.661971831,11.267605634,40.845070423,5.6338028169,26.76056338,23.943661972,0,0,29.577464789,70.422535211,0,16.901408451,0,36.61971831,98.591549296,0,1.4084507042,46.478873239,0,0,5.6338028169,3.1137724551,0,-,-,0,0,0,0,0,0,1.4084507042,5.8682634731,8.4507042254,12.335329341,38.028169014,26.107784431,35.211267606,24.311377246,2.8169014085,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,71,D,2020,November,,,,
15,Allegheny General Hospital (PAAG),PAAG,TX1,2021-01-04 18:00:00,LI,0,0,0,4.2553191489,23.404255319,59.574468085,4.2553191489,38.29787234,19.14893617,38.29787234,2.1276595745,31.914893617,27.659574468,0,0,34.042553191,65.957446809,0,34.042553191,0,10.638297872,95.744680851,0,4.2553191489,55.319148936,0,0,2.1276595745,3.1137724551,0,-,-,0,0,0,0,0,0,0,5.8682634731,17.021276596,12.335329341,27.659574468,26.107784431,23.404255319,24.311377246,10.638297872,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,47,D,2020,November,,,,
16,UPMC Children's Hospital of Pittsburgh (PACH),PACH,TX1,2021-01-04 18:00:00,LI,57.894736842,0,15.789473684,26.315789474,0,0,5.2631578947,26.315789474,10.526315789,57.894736842,52.631578947,21.052631579,10.526315789,0,0,52.631578947,47.368421053,0,5.2631578947,0,5.2631578947,94.736842105,0,5.2631578947,89.473684211,0,0,5.2631578947,3.1137724551,47.368421053,-,-,0,0,0,0,0,0,0,5.8682634731,0,12.335329341,0,26.107784431,0,24.311377246,26.315789474,14.251497006,10.526315789,1.1976047904,0,0.119760479,5.2631578947,0.119760479,0,0.5988023952,5.2631578947,0.119760479,0,0,19,D,2020,November,,,,
17,Children's Hospital of Philadelphia (PACP),PACP,TX1,2021-01-04 18:00:00,LI,46.666666667,6.6666666667,46.666666667,0,0,0,0,33.333333333,6.6666666667,60,80,20,0,0,0,46.666666667,53.333333333,0,33.333333333,0,6.6666666667,93.333333333,0,6.6666666667,60,0,0,6.6666666667,3.1137724551,40,-,-,0,0,0,0,0,0,0,5.8682634731,0,12.335329341,6.6666666667,26.107784431,0,24.311377246,0,14.251497006,20,1.1976047904,0,0.119760479,0,0.119760479,26.666666667,0.5988023952,0,0.119760479,0,0,15,D,2020,November,,,,
18,Geisinger Medical Center (PAGM),PAGM,TX1,2021-01-04 18:00:00,LI,0,0,0,6.6666666667,20,40,6.6666666667,40,6.6666666667,46.666666667,6.6666666667,40,26.666666667,6.6666666667,0,26.666666667,73.333333333,0,0,0,46.666666667,100,0,0,53.333333333,0,0,6.6666666667,3.1137724551,0,-,-,0,0,0,0,0,0,0,5.8682634731,20,12.335329341,13.333333333,26.107784431,33.333333333,24.311377246,6.6666666667,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,15,D,2020,November,,,,
19,Penn State Milton S Hershey Medical Center (PAHE),PAHE,TX1,2021-01-04 18:00:00,LI,0,0,0,0,31.818181818,54.545454545,13.636363636,40.909090909,22.727272727,22.727272727,4.5454545455,27.272727273,22.727272727,0,0,36.363636364,63.636363636,0,4.5454545455,0,22.727272727,95.454545455,0,4.5454545455,72.727272727,0,0,0,3.1137724551,0,-,-,0,0,0,0,0,0,9.0909090909,5.8682634731,13.636363636,12.335329341,31.818181818,26.107784431,22.727272727,24.311377246,13.636363636,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,22,D,2020,November,,,,
20,University of Pittsburgh Medical Center (PAPT),PAPT,TX1,2021-01-04 18:00:00,LI,0,0,0,6.0606060606,22.727272727,54.545454545,7.5757575758,48.484848485,16.666666667,27.272727273,3.0303030303,18.181818182,16.666666667,36.363636364,0,36.363636364,63.636363636,0,1.5151515152,0,1.5151515152,92.424242424,0,7.5757575758,96.96969697,0,0,4.5454545455,3.1137724551,0,-,-,0,0,0,0,0,0,6.0606060606,5.8682634731,7.5757575758,12.335329341,31.818181818,26.107784431,34.848484848,24.311377246,10.606060606,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,66,D,2020,November,,,,
21,Thomas Jefferson University Hospital (PATJ),PATJ,TX1,2021-01-04 18:00:00,LI,0,0,0,1.2658227848,15.189873418,46.835443038,10.126582278,34.17721519,10.126582278,45.569620253,6.3291139241,34.17721519,26.582278481,1.2658227848,0,36.708860759,63.291139241,0,10.126582278,0,11.392405063,96.202531646,0,3.7974683544,78.481012658,0,0,7.5949367089,3.1137724551,0,-,-,0,0,0,0,0,0,11.392405063,5.8682634731,12.658227848,12.335329341,25.316455696,26.107784431,18.987341772,24.311377246,20.253164557,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,79,D,2020,November,,,,
22,Temple University Hospital (PATU),PATU,TX1,2021-01-04 18:00:00,LI,0,0,0,0,37.5,50,0,37.5,25,37.5,12.5,25,50,0,0,12.5,87.5,0,0,0,50,100,0,0,50,0,0,0,3.1137724551,0,-,-,0,0,0,0,0,0,0,5.8682634731,12.5,12.335329341,12.5,26.107784431,50,24.311377246,0,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,8,D,2020,November,,,,
23,Hospital of the University of Pennsylvania (PAUP),PAUP,TX1,2021-01-04 18:00:00,LI,0,0.8,0,8.8,16.8,46.4,4,33.6,16,46.4,12,28,28,0,0,42.4,57.6,0,8.8,0,23.2,92.8,0,7.2,68,0,0,2.4,3.1137724551,0,-,-,0,0,0,0,0,0,10.4,5.8682634731,12.8,12.335329341,25.6,26.107784431,19.2,24.311377246,20,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,125,D,2020,November,,,,
24,VA Pittsburgh Healthcare System (PAVA),PAVA,TX1,2021-01-04 18:00:00,LI,0,0,0,0,11.363636364,47.727272727,6.8181818182,40.909090909,11.363636364,40.909090909,6.8181818182,27.272727273,38.636363636,0,0,4.5454545455,95.454545455,0,11.363636364,0,9.0909090909,100,0,0,79.545454545,0,0,0,3.1137724551,0,-,-,0,0,0,0,0,0,11.363636364,5.8682634731,20.454545455,12.335329341,34.090909091,26.107784431,15.909090909,24.311377246,15.909090909,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,44,D,2020,November,,,,
25,Children's of Alabama (ALCH),ALCH,TX1,2021-01-04 18:00:00,LI,0,33.333333333,66.666666667,0,0,0,0,100,0,0,66.666666667,0,33.333333333,0,0,33.333333333,66.666666667,0,33.333333333,0,0,100,0,0,66.666666667,0,0,0,1.401179941,66.666666667,-,-,0,0,0,0,0,0,0,6.784660767,0,19.247787611,0,36.946902655,0,17.404129794,0,9.808259587,33.333333333,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,3,D,2020,November,,,,
26,University of Alabama Hospital (ALUA),ALUA,TX1,2021-01-04 18:00:00,LI,0,0,0,8.59375,21.09375,47.65625,2.34375,30.46875,14.0625,53.125,1.5625,28.125,29.6875,0,0,31.25,68.75,0,6.25,0,13.28125,95.3125,0,4.6875,80.46875,0,0,0.78125,1.401179941,0,-,-,0,0,0,0,0,0,7.03125,6.784660767,23.4375,19.247787611,38.28125,36.946902655,18.75,17.404129794,9.375,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,128,D,2020,November,,,,
27,UAMS Medical Center (ARUA),ARUA,TX1,2021-01-04 18:00:00,LI,0,0,0,2.8571428571,20,54.285714286,5.7142857143,34.285714286,5.7142857143,54.285714286,5.7142857143,25.714285714,42.857142857,2.8571428571,0,31.428571429,68.571428571,0,0,0,22.857142857,100,0,0,77.142857143,0,0,0,1.401179941,0,-,-,0,0,0,0,0,0,2.8571428571,6.784660767,31.428571429,19.247787611,31.428571429,36.946902655,20,17.404129794,8.5714285714,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,35,D,2020,November,,,,
28,Broward Health Medical Center (FLBC),FLBC,TX1,2021-01-04 18:00:00,LI,0,0,0,0,14.285714286,57.142857143,28.571428571,28.571428571,0,42.857142857,14.285714286,14.285714286,28.571428571,0,0,28.571428571,71.428571429,0,14.285714286,0,0,100,0,0,85.714285714,0,0,0,1.401179941,0,-,-,0,0,0,0,0,0,0,6.784660767,14.285714286,19.247787611,42.857142857,36.946902655,14.285714286,17.404129794,14.285714286,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,7,D,2020,November,,,,
29,Cleveland Clinic Florida Weston (FLCC),FLCC,TX1,2021-01-04 18:00:00,LI,0,0,0,0,24,54,8,50,4,38,4,28,30,0,0,36,64,0,20,0,24,100,0,0,56,0,0,6,1.401179941,0,-,-,0,0,0,0,0,0,6,6.784660767,4,19.247787611,38,36.946902655,34,17.404129794,8,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,50,D,2020,November,,,,
30,Florida Hospital Medical Center (FLFH),FLFH,TX1,2021-01-04 18:00:00,LI,1.6393442623,0,4.9180327869,9.8360655738,21.31147541,44.262295082,6.5573770492,36.06557377,11.475409836,45.901639344,6.5573770492,34.426229508,19.672131148,1.6393442623,0,39.344262295,60.655737705,0,8.1967213115,0,18.032786885,95.081967213,0,4.9180327869,73.770491803,0,0,0,1.401179941,0,-,-,0,0,0,0,0,0,6.5573770492,6.784660767,21.31147541,19.247787611,40.983606557,36.946902655,13.114754098,17.404129794,8.1967213115,9.808259587,0,0.7374631268,1.6393442623,0.1474926254,0,0.2949852507,4.9180327869,0.6637168142,0,0.1474926254,0,0,61,D,2020,November,,,,
31,Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2021-01-04 18:00:00,LI,5.4054054054,2.7027027027,8.7837837838,4.0540540541,15.540540541,40.540540541,1.3513513514,28.378378378,14.864864865,55.405405405,16.891891892,29.72972973,27.702702703,0,0,33.783783784,66.216216216,0,9.4594594595,0,19.594594595,95.27027027,0,4.7297297297,70.945945946,0,0,1.3513513514,1.401179941,4.7297297297,-,-,0,0,0,0,0,0,10.135135135,6.784660767,16.891891892,19.247787611,35.810810811,36.946902655,8.1081081081,17.404129794,10.810810811,9.808259587,3.3783783784,0.7374631268,0.6756756757,0.1474926254,1.3513513514,0.2949852507,2.027027027,0.6637168142,1.3513513514,0.1474926254,0,0,148,D,2020,November,,,,
32,Largo Medical Center (FLLM),FLLM,TX1,2021-01-04 18:00:00,LI,0,0,0,0,11.764705882,58.823529412,11.764705882,41.176470588,0,47.058823529,5.8823529412,41.176470588,29.411764706,0,0,23.529411765,76.470588235,0,23.529411765,0,35.294117647,100,0,0,41.176470588,0,0,5.8823529412,1.401179941,0,-,-,0,0,0,0,0,0,11.764705882,6.784660767,17.647058824,19.247787611,41.176470588,36.946902655,11.764705882,17.404129794,5.8823529412,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,17,D,2020,November,,,,
33,Mayo Clinic Florida (FLSL),FLSL,TX1,2021-01-04 18:00:00,LI,0,0,0,2.1126760563,21.126760563,42.957746479,6.338028169,33.098591549,11.267605634,49.295774648,3.5211267606,28.873239437,35.211267606,0,0,45.774647887,54.225352113,0,11.971830986,0,8.4507042254,94.366197183,0,5.6338028169,79.577464789,0,0,1.4084507042,1.401179941,0,-,-,0,0,0,0,0,0,9.1549295775,6.784660767,21.126760563,19.247787611,29.577464789,36.946902655,19.014084507,17.404129794,15.492957746,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,142,D,2020,November,,,,
34,Tampa General Hospital (FLTG),FLTG,TX1,2021-01-04 18:00:00,LI,0,0,0,7.2368421053,16.447368421,50,1.9736842105,46.710526316,11.184210526,40.131578947,12.5,34.210526316,24.342105263,0,0,36.184210526,63.815789474,0,22.368421053,0,23.026315789,97.368421053,0,2.6315789474,54.605263158,0,0,1.3157894737,1.401179941,0,-,-,0,0,0,0,0,0,5.2631578947,6.784660767,20.394736842,19.247787611,44.736842105,36.946902655,14.473684211,17.404129794,6.5789473684,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,152,D,2020,November,,,,
35,UF Health Shands Hospital (FLUF),FLUF,TX1,2021-01-04 18:00:00,LI,0,0,0,12.244897959,12.244897959,57.142857143,2.0408163265,44.897959184,12.244897959,40.816326531,10.204081633,20.408163265,40.816326531,0,0,40.816326531,59.183673469,0,36.734693878,0,36.734693878,97.959183673,0,2.0408163265,26.530612245,0,0,2.0408163265,1.401179941,0,-,-,0,0,0,0,0,0,8.1632653061,6.784660767,16.326530612,19.247787611,40.816326531,36.946902655,16.326530612,17.404129794,10.204081633,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,49,D,2020,November,,,,
36,Children's Healthcare of Atlanta at Egleston (GAEH),GAEH,TX1,2021-01-04 18:00:00,LI,25,37.5,37.5,0,0,0,0,18.75,0,81.25,75,25,0,0,0,37.5,62.5,0,6.25,0,18.75,87.5,0,12.5,75,0,0,6.25,1.401179941,25,-,-,0,0,0,0,0,0,0,6.784660767,18.75,19.247787611,0,36.946902655,0,17.404129794,12.5,9.808259587,6.25,0.7374631268,0,0.1474926254,12.5,0.2949852507,18.75,0.6637168142,0,0.1474926254,0,0,16,D,2020,November,,,,
37,Emory University Hospital (GAEM),GAEM,TX1,2021-01-04 18:00:00,LI,0,0,0,7.2580645161,32.258064516,44.35483871,5.6451612903,36.290322581,14.516129032,43.548387097,12.096774194,30.64516129,24.193548387,0,0,45.967741935,54.032258065,0,33.870967742,0,20.967741935,91.935483871,0,8.064516129,45.161290323,0,0,2.4193548387,1.401179941,0,-,-,0,0,0,0,0,0,4.0322580645,6.784660767,9.6774193548,19.247787611,30.64516129,36.946902655,27.419354839,17.404129794,5.6451612903,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,124,D,2020,November,,,,
38,Piedmont Hospital (GAPH),GAPH,TX1,2021-01-04 18:00:00,LI,0,0,0,4.5454545455,21.96969697,56.060606061,3.0303030303,43.939393939,12.121212121,40.909090909,3.7878787879,24.242424242,33.333333333,2.2727272727,0,42.424242424,57.575757576,0,14.393939394,0,23.484848485,98.484848485,0,1.5151515152,62.121212121,0,0,0.7575757576,1.401179941,0,-,-,0,0,0,0,0,0,7.5757575758,6.784660767,14.393939394,19.247787611,49.242424242,36.946902655,20.454545455,17.404129794,4.5454545455,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,132,D,2020,November,,,,
39,Ochsner Foundation Hospital (LAOF),LAOF,TX1,2021-01-04 18:00:00,LI,1.0928961749,0,0.5464480874,3.2786885246,20.765027322,56.830601093,6.5573770492,36.612021858,8.1967213115,48.633879781,7.1038251366,31.693989071,33.333333333,1.0928961749,0,32.240437158,67.759562842,0,5.4644808743,0,19.12568306,93.989071038,0,6.0109289617,75.409836066,0,0,0.5464480874,1.401179941,0,-,-,0,0,0,0,0,0,6.0109289617,6.784660767,19.12568306,19.247787611,36.612021858,36.946902655,16.393442623,17.404129794,16.393442623,9.808259587,1.6393442623,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,183,D,2020,November,,,,
40,Tulane Medical Center (LATU),LATU,TX1,2021-01-04 18:00:00,LI,0,0,0,21.428571429,28.571428571,50,0,21.428571429,35.714285714,42.857142857,0,50,7.1428571429,0,0,50,50,0,0,0,21.428571429,100,0,0,78.571428571,0,0,0,1.401179941,0,-,-,0,0,0,0,0,0,0,6.784660767,21.428571429,19.247787611,50,36.946902655,21.428571429,17.404129794,7.1428571429,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,14,D,2020,November,,,,
41,Willis-Knighton Medical Center (LAWK),LAWK,TX1,2021-01-04 18:00:00,LI,0,0,0,6.6666666667,0,86.666666667,0,33.333333333,6.6666666667,60,6.6666666667,26.666666667,20,0,0,53.333333333,46.666666667,0,6.6666666667,0,0,86.666666667,0,13.333333333,93.333333333,0,0,0,1.401179941,0,-,-,0,0,0,0,0,0,6.6666666667,6.784660767,20,19.247787611,60,36.946902655,6.6666666667,17.404129794,6.6666666667,9.808259587,0,0.7374631268,0,0.1474926254,0,0.2949852507,0,0.6637168142,0,0.1474926254,0,0,15,D,2020,November,,,,
