,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C,RCC_TST1B_R,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,RCC_N_C,D_OR_L,YEAR,MONTH
31,Loyola University Medical Center (ILLU),ILLU,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
32,Northwestern Memorial Hospital (ILNM),ILNM,TX1,2019-01-06 18:00:00,PA,0,0,0,66.666666667,33.333333333,0,0,33.333333333,33.333333333,33.333333333,0,0,33.333333333,66.666666667,0,0,0,66.666666667,33.333333333,0,0,100,0,66.666666667,0,33.333333333,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,D,2018,November
33,Rush University Medical Center (ILPL),ILPL,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
34,University of Chicago Medical Center (ILUC),ILUC,TX1,2019-01-06 18:00:00,PA,0,0,0,0,66.666666667,0,0,0,33.333333333,0,66.666666667,0,33.333333333,33.333333333,33.333333333,0,0,33.333333333,66.666666667,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,D,2018,November
35,University of Illinois Medical Center (ILUI),ILUI,TX1,2019-01-06 18:00:00,PA,0,0,0,0,75,0,0,25,25,25,25,25,25,50,0,0,0,75,25,0,0,100,0,25,0,75,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,D,2018,November
36,Rochester Methodist Hospital (Mayo Clinic) (MNMC),MNMC,TX1,2019-01-06 18:00:00,PA,0,0,0,66.666666667,0,16.666666667,0,0,50,0,50,0,50,16.666666667,33.333333333,0,0,83.333333333,16.666666667,0,0,100,0,66.666666667,0,33.333333333,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,D,2018,November
37,"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2019-01-06 18:00:00,PA,0,12.5,0,12.5,25,0,0,0,25,25,50,25,12.5,62.5,0,0,0,50,50,0,0,100,0,50,0,50,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,D,2018,November
38,University of Wisconsin Hospital and Clinics (WIUW),WIUW,TX1,2019-01-06 18:00:00,PA,0,4.7619047619,0,23.80952381,57.142857143,0,0,4.7619047619,19.047619048,28.571428571,47.619047619,14.285714286,38.095238095,38.095238095,9.5238095238,0,0,57.142857143,42.857142857,0,0,100,0,85.714285714,0,14.285714286,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,D,2018,November
39,University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
40,Mercy Medical Center-Des Moines (IAMH),IAMH,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
41,Barnes-Jewish Hospital (MOBH),MOBH,TX1,2019-01-06 18:00:00,PA,0,0,0,0,80,0,0,0,80,0,20,40,40,0,20,0,0,40,60,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,D,2018,November
42,The Nebraska Medical Center (NEUN),NEUN,TX1,2019-01-06 18:00:00,PA,40,10,10,10,30,0,0,0,80,0,20,70,0,30,0,0,0,20,80,0,0,100,0,70,0,30,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,D,2018,November
43,NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP),NYCP,TX1,2019-01-06 18:00:00,PA,60,0,0,0,20,0,0,0,40,40,20,80,0,0,20,0,0,60,40,0,0,100,0,60,0,40,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,D,2018,November
44,"Strong Memorial Hospital, University of Rochester Medical Center (NYFL)",NYFL,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
45,Mount Sinai Medical Center (NYMS),NYMS,TX1,2019-01-06 18:00:00,PA,0,0,0,0,66.666666667,0,0,0,0,0,100,33.333333333,0,66.666666667,0,0,0,0,100,0,0,100,0,66.666666667,0,33.333333333,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,D,2018,November
46,State University of New York Upstate Medical University (NYUM),NYUM,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,25,75,0,0,0,100,0,0,0,0,25,75,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,D,2018,November
47,Indiana University Health (INIM),INIM,TX1,2019-01-06 18:00:00,PA,15.384615385,0,0,30.769230769,46.153846154,0,0,0,53.846153846,15.384615385,30.769230769,30.769230769,30.769230769,15.384615385,23.076923077,0,0,53.846153846,46.153846154,0,0,100,0,76.923076923,0,23.076923077,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,D,2018,November
48,Henry Ford Hospital (MIHF),MIHF,TX1,2019-01-06 18:00:00,PA,0,0,0,25,75,0,0,0,50,0,50,25,25,25,25,0,0,25,75,0,0,100,0,50,0,50,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,D,2018,November
49,University of Michigan Medical Center (MIUM),MIUM,TX1,2019-01-06 18:00:00,PA,0,0,0,50,50,0,0,0,0,0,100,50,0,50,0,0,0,50,50,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
50,The Cleveland Clinic Foundation (OHCC),OHCC,TX1,2019-01-06 18:00:00,PA,23.076923077,0,7.6923076923,7.6923076923,38.461538462,15.384615385,0,15.384615385,23.076923077,7.6923076923,53.846153846,69.230769231,7.6923076923,15.384615385,7.6923076923,0,0,38.461538462,61.538461538,0,0,100,0,69.230769231,0,30.769230769,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,D,2018,November
51,Ohio State University Medical Center (OHOU),OHOU,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,50,0,50,0,50,50,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
52,Wake Forest Baptist Medical Center (NCBG),NCBG,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
53,Medical University of South Carolina (SCMU),SCMU,TX1,2019-01-06 18:00:00,PA,0,0,0,50,50,0,0,0,50,50,0,0,50,50,0,0,0,50,50,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
54,Methodist University Hospital (TNMH),TNMH,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
55,Sentara Norfolk General Hospital (VANG),VANG,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
56,University of Virginia Health Sciences Center (VAUV),VAUV,TX1,2019-01-06 18:00:00,PA,0,0,0,0,25,0,0,0,50,0,50,0,75,25,0,0,0,25,75,0,0,100,0,25,0,75,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,D,2018,November
1,Beth Israel Deaconess Medical Center (MABI),MABI,TX1,2020-01-06 18:00:00,PA,0,0,0,0,0,0,,0,100,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2019,November
2,UMass Memorial Medical Center (MAUM),MAUM,TX1,2020-01-06 18:00:00,PA,0,0,0,100,0,0,,0,100,0,0,0,100,0,0,0,0,100,0,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2019,November
3,Georgetown University Medical Center (DCGU),DCGU,TX1,2020-01-06 18:00:00,PA,15.384615385,0,46.153846154,0,30.769230769,0,,7.6923076923,30.769230769,7.6923076923,53.846153846,23.076923077,15.384615385,0,7.6923076923,53.846153846,0,46.153846154,53.846153846,0,0,100,0,69.230769231,0,30.769230769,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,D,2019,November
4,Johns Hopkins Hospital (MDJH),MDJH,TX1,2020-01-06 18:00:00,PA,0,0,0,0,100,0,,0,100,0,0,100,0,0,0,0,0,100,0,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2019,November
5,University of Maryland Medical System (MDUM),MDUM,TX1,2020-01-06 18:00:00,PA,0,0,0,0,33.333333333,0,,0,33.333333333,0,66.666666667,0,0,66.666666667,33.333333333,0,0,33.333333333,66.666666667,0,0,100,0,66.666666667,0,33.333333333,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,D,2019,November
6,Robert Wood Johnson University Hospital (NJRW),NJRW,TX1,2020-01-06 18:00:00,PA,0,0,0,0,100,0,,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2019,November
7,Allegheny General Hospital (PAAG),PAAG,TX1,2020-01-06 18:00:00,PA,0,0,0,0,0,0,,0,100,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2019,November
8,UPMC Children's Hospital of Pittsburgh (PACH),PACH,TX1,2020-01-06 18:00:00,PA,100,0,0,0,0,0,,0,50,0,50,100,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2019,November
9,University of Pittsburgh Medical Center (PAPT),PAPT,TX1,2020-01-06 18:00:00,PA,0,0,0,100,0,0,,0,50,0,50,0,50,50,0,0,0,50,50,0,0,100,0,50,0,50,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2019,November
10,Thomas Jefferson University Hospital (PATJ),PATJ,TX1,2020-01-06 18:00:00,PA,0,0,0,0,0,0,,0,100,0,0,0,100,0,0,0,0,100,0,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2019,November
