ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
Emory University Hospital (GAEM) , GAEM , TX1 , 2012/07/13 , Heart , 6 , 7 , 14 , 64 , 64 , 57 ,   ,   ,   ,   ,   ,2012,7
Georgia Health Sciences Medical Center (GAMC) , GAMC , TX1 , 2012/07/13 , Heart ,   ,   , 0 ,   ,   , 2 ,   ,   ,   ,   ,   ,2012,7
Saint Joseph's Hospital of Atlanta (GASJ) , GASJ , TX1 , 2012/07/13 , Heart , 4 , 8 , 2 , 34 , 34 , 26 ,   ,   ,   ,   ,   ,2012,7
Hawaii Medical Center East (HISF) , HISF , TX1 , 2012/07/13 , Heart ,   ,   , 1 ,   ,   , 4 ,   ,   ,   ,   ,   ,2012,7
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2012/07/13 , Heart , 0 , 4 , 0 , 30 , 30 , 17 , 0 , 0 , 1 , 4 , 4 ,2012,7
Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2012/07/13 , Heart , 0 , 2 , 2 , 15 , 15 , 8 ,   ,   ,   ,   ,   ,2012,7
Children's Memorial Hospital (ILCM) , ILCM , TX1 , 2012/07/13 , Heart , 0 , 0 , 1 , 1 , 1 , 2 , 2 , 3 , 2 , 32 , 32 ,2012,7
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2012/07/13 , Heart , 0 , 3 , 7 , 37 , 37 , 48 ,   ,   ,   ,   ,   ,2012,7
Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2012/07/13 , Heart , 1 , 3 , 9 , 45 , 45 , 61 ,   ,   ,   ,   ,   ,2012,7
Rush University Medical Center (ILPL) , ILPL , TX1 , 2012/07/13 , Heart , 0 , 2 , 4 , 12 , 12 , 18 ,   ,   ,   ,   ,   ,2012,7
OSF Saint Francis Medical Center (ILSF) , ILSF , TX1 , 2012/07/13 , Heart ,   ,   , 1 ,   ,   , 1 ,   ,   ,   ,   ,   ,2012,7
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2012/07/13 , Heart , 7 , 8 , 11 , 51 , 51 , 49 , 0 , 0 , 0 , 1 , 1 ,2012,7
Indiana University Health (INIM) , INIM , TX1 , 2012/07/13 , Heart , 2 , 4 , 13 , 41 , 41 , 32 , 0 , 0 , 0 , 9 , 9 ,2012,7
Lutheran Hospital of Fort Wayne (INLH) , INLH , TX1 , 2012/07/13 , Heart , 1 , 2 , 9 , 15 , 15 , 24 ,   ,   ,   ,   ,   ,2012,7
St Vincent Hospital and Health Care Center (INSV) , INSV , TX1 , 2012/07/13 , Heart , 0 , 3 , 6 , 47 , 47 , 30 ,   ,   ,   ,   ,   ,2012,7
"Via Christi Regional Medical Center, St Francis Campus (KSFW) ", KSFW , TX1 , 2012/07/13 , Heart , 0 , 0 , 4 , 2 , 2 , 15 ,   ,   ,   ,   ,   ,2012,7
Jewish Hospital (KYJH) , KYJH , TX1 , 2012/07/13 , Heart , 1 , 4 , 6 , 36 , 36 , 26 ,   ,   ,   ,   ,   ,2012,7
Kosair Children's Hospital (KYKC) , KYKC , TX1 , 2012/07/13 , Heart ,   ,   ,   ,   ,   ,   , 2 , 2 , 1 , 5 , 5 ,2012,7
University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2012/07/13 , Heart , 0 , 2 , 1 , 17 , 17 , 17 ,   ,   ,   ,   ,   ,2012,7
Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2012/07/13 , Heart , 1 , 1 , 9 , 57 , 57 , 40 , 0 , 0 , 1 , 2 , 2 ,2012,7
Tulane Medical Center (LATU) , LATU , TX1 , 2012/07/13 , Heart , 0 , 2 , 3 , 17 , 17 , 8 , 0 , 0 ,   , 1 , 1 ,2012,7
Children's Hospital (MACH) , MACH , TX1 , 2012/07/13 , Heart , 1 , 1 , 1 , 1 , 1 , 2 , 1 , 2 , 7 , 26 , 26 ,2012,7
Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2012/07/13 , Heart , 3 , 6 , 7 , 37 , 37 , 49 ,   ,   ,   ,   ,   ,2012,7
Tufts Medical Center (MANM) , MANM , TX1 , 2012/07/13 , Heart , 4 , 6 , 9 , 49 , 49 , 52 ,   ,   ,   ,   ,   ,2012,7
Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2012/07/13 , Heart , 2 , 2 , 4 , 51 , 51 , 45 ,   ,   , 0 ,   ,   ,2012,7
Johns Hopkins Hospital (MDJH) , MDJH , TX1 , 2012/07/13 , Heart , 3 , 8 , 10 , 34 , 34 , 38 , 0 , 2 , 2 , 18 , 18 ,2012,7
University of Maryland Medical System (MDUM) , MDUM , TX1 , 2012/07/13 , Heart , 1 , 3 , 23 , 27 , 27 , 62 ,   ,   , 0 ,   ,   ,2012,7
Children's Hospital of Michigan (MICH) , MICH , TX1 , 2012/07/13 , Heart , 0 , 0 , 1 , 1 , 1 , 1 , 2 , 4 , 1 , 16 , 16 ,2012,7
Henry Ford Hospital (MIHF) , MIHF , TX1 , 2012/07/13 , Heart , 2 , 3 , 2 , 25 , 25 , 22 ,   ,   ,   ,   ,   ,2012,7
Spectrum Health (MISH) , MISH , TX1 , 2012/07/13 , Heart , 0 , 1 ,   , 10 , 10 ,   ,   ,   ,   ,   ,   ,2012,7
University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2012/07/13 , Heart , 0 , 8 , 9 , 79 , 79 , 69 , 0 , 0 , 2 , 18 , 18 ,2012,7
Abbott Northwestern Hospital (MNAN) , MNAN , TX1 , 2012/07/13 , Heart , 2 , 2 , 2 , 24 , 24 , 12 ,   ,   ,   ,   ,   ,2012,7
Saint Marys Hospital (Mayo Clinic) (MNSM) , MNSM , TX1 , 2012/07/13 , Heart , 3 , 3 , 8 , 49 , 49 , 46 , 0 , 0 , 3 , 5 , 5 ,2012,7
"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2012/07/13 , Heart , 0 , 4 , 5 , 56 , 56 , 72 , 1 , 3 , 1 , 15 , 15 ,2012,7
Barnes-Jewish Hospital (MOBH) , MOBH , TX1 , 2012/07/13 , Heart , 5 , 7 , 14 , 68 , 68 , 65 ,   ,   ,   ,   ,   ,2012,7
Cardinal Glennon Children's Hospital (MOCG) , MOCG , TX1 , 2012/07/13 , Heart ,   ,   ,   ,   ,   ,   , 1 , 1 , 0 , 5 , 5 ,2012,7
St. Louis Children's Hospital (MOCH) , MOCH , TX1 , 2012/07/13 , Heart , 0 , 0 , 3 , 4 , 4 , 5 , 2 , 7 , 13 , 56 , 56 ,2012,7
St Luke's Hospital of Kansas City (MOLH) , MOLH , TX1 , 2012/07/13 , Heart , 3 , 7 , 12 , 96 , 96 , 81 ,   ,   , 0 ,   ,   ,2012,7
Saint Louis University Hospital (MOSL) , MOSL , TX1 , 2012/07/13 , Heart ,   ,   , 0 ,   ,   , 3 ,   ,   ,   ,   ,   ,2012,7
University of Mississippi Medical Center (MSUM) , MSUM , TX1 , 2012/07/13 , Heart , 4 , 5 , 4 , 21 , 21 , 22 ,   ,   ,   ,   ,   ,2012,7
North Carolina Baptist Hospital (NCBG) , NCBG , TX1 , 2012/07/13 , Heart , 0 , 0 , 2 , 22 , 22 , 11 , 0 , 0 , 0 , 1 , 1 ,2012,7
Carolinas Medical Center (NCCM) , NCCM , TX1 , 2012/07/13 , Heart , 2 , 2 , 3 , 47 , 47 , 42 , 0 , 0 , 1 , 5 , 5 ,2012,7
Duke University Hospital (NCDU) , NCDU , TX1 , 2012/07/13 , Heart , 1 , 10 , 22 , 123 , 123 , 103 , 0 , 2 , 1 , 12 , 12 ,2012,7
University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2012/07/13 , Heart , 2 , 5 , 8 , 38 , 38 , 22 , 0 , 0 , 1 , 3 , 3 ,2012,7
BryanLGH Medical Center East (NEBM) , NEBM , TX1 , 2012/07/13 , Heart ,   ,   , 1 ,   ,   , 2 ,   ,   ,   ,   ,   ,2012,7
The Nebraska Medical Center (NEUN) , NEUN , TX1 , 2012/07/13 , Heart , 1 , 4 , 6 , 37 , 37 , 28 , 0 , 0 , 1 , 4 , 4 ,2012,7
Newark Beth Israel Medical Center (NJBI) , NJBI , TX1 , 2012/07/13 , Heart , 6 , 8 , 15 , 116 , 116 , 92 ,   ,   , 1 ,   ,   ,2012,7
Robert Wood Johnson University Hospital (NJRW) , NJRW , TX1 , 2012/07/13 , Heart , 0 , 1 , 2 , 35 , 35 , 22 ,   ,   ,   ,   ,   ,2012,7
Albany Medical Center Hospital (NYAM) , NYAM , TX1 , 2012/07/13 , Heart ,   ,   , 2 ,   ,   , 5 ,   ,   ,   ,   ,   ,2012,7
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP) , NYCP , TX1 , 2012/07/13 , Heart , 7 , 18 , 42 , 159 , 159 , 172 , 2 , 4 , 3 , 49 , 49 ,2012,7
"Strong Memorial Hospital, University of Rochester Medical Center (NYFL) ", NYFL , TX1 , 2012/07/13 , Heart , 1 , 4 , 4 , 26 , 26 , 39 ,   ,   ,   ,   ,   ,2012,7
Montefiore Medical Center (NYMA) , NYMA , TX1 , 2012/07/13 , Heart , 0 , 1 , 4 , 35 , 35 , 24 , 0 , 0 ,   , 17 , 17 ,2012,7
Mount Sinai Medical Center (NYMS) , NYMS , TX1 , 2012/07/13 , Heart , 5 , 8 , 5 , 61 , 61 , 25 , 3 , 3 , 1 , 10 , 10 ,2012,7
Westchester Medical Center (NYWC) , NYWC , TX1 , 2012/07/13 , Heart , 0 , 2 , 1 , 32 , 32 , 13 ,   ,   ,   ,   ,   ,2012,7
The Cleveland Clinic Foundation (OHCC) , OHCC , TX1 , 2012/07/13 , Heart , 1 , 4 , 24 , 116 , 116 , 137 , 0 , 1 , 5 , 8 , 8 ,2012,7
Nationwide Children's Hospital (OHCH) , OHCH , TX1 , 2012/07/13 , Heart , 0 , 0 , 0 , 1 , 1 , 3 , 1 , 1 , 3 , 7 , 7 ,2012,7
Children's Hospital Medical Center (OHCM) , OHCM , TX1 , 2012/07/13 , Heart ,   ,   ,   ,   ,   ,   , 0 , 0 , 2 , 13 , 13 ,2012,7
Ohio State University Medical Center (OHOU) , OHOU , TX1 , 2012/07/13 , Heart , 0 , 6 , 4 , 32 , 32 , 34 ,   ,   ,   ,   ,   ,2012,7
University of Cincinnati / University Hospital (OHUC) , OHUC , TX1 , 2012/07/13 , Heart ,   ,   , 5 ,   ,   , 14 ,   ,   ,   ,   ,   ,2012,7
University Hospitals of Cleveland (OHUH) , OHUH , TX1 , 2012/07/13 , Heart , 0 , 1 , 2 , 7 , 7 , 4 ,   ,   ,   ,   ,   ,2012,7
Integris Baptist Medical Center (OKBC) , OKBC , TX1 , 2012/07/13 , Heart , 2 , 4 , 7 , 33 , 33 , 27 , 0 , 1 , 0 , 1 , 1 ,2012,7
Saint Francis Hospital (OKSF) , OKSF , TX1 , 2012/07/13 , Heart ,   ,   , 1 ,   ,   , 3 ,   ,   ,   ,   ,   ,2012,7
Providence Portland Medical Center (ORPM) , ORPM , TX1 , 2012/07/13 , Heart , 0 , 0 , 0 , 5 , 5 , 4 ,   ,   ,   ,   ,   ,2012,7
Oregon Health & Sciences University (ORUO) , ORUO , TX1 , 2012/07/13 , Heart , 2 , 2 , 6 , 46 , 46 , 45 , 0 , 0 ,   , 2 , 2 ,2012,7
Allegheny General Hospital (PAAG) , PAAG , TX1 , 2012/07/13 , Heart , 0 , 3 , 6 , 53 , 53 , 41 ,   ,   ,   ,   ,   ,2012,7
Children's Hospital of Pittsburgh of UPMC (PACH) , PACH , TX1 , 2012/07/13 , Heart , 0 , 0 , 0 , 2 , 2 , 1 , 0 , 0 , 5 , 27 , 27 ,2012,7
Children's Hospital of Philadelphia (PACP) , PACP , TX1 , 2012/07/13 , Heart , 0 , 0 , 1 , 1 , 1 , 1 , 2 , 2 , 5 , 29 , 29 ,2012,7
Penn State Milton S Hershey Medical Center (PAHE) , PAHE , TX1 , 2012/07/13 , Heart , 3 , 4 , 5 , 34 , 34 , 32 ,   ,   , 0 ,   ,   ,2012,7
Hahnemann University Hospital (PAHM) , PAHM , TX1 , 2012/07/13 , Heart , 0 , 0 , 7 , 23 , 23 , 30 ,   ,   ,   ,   ,   ,2012,7
The Lankenau Hospital (PALH) , PALH , TX1 , 2012/07/13 , Heart ,   ,   , 2 ,   ,   , 9 ,   ,   ,   ,   ,   ,2012,7
University of Pittsburgh Medical Center (PAPT) , PAPT , TX1 , 2012/07/13 , Heart , 9 , 15 , 23 , 120 , 120 , 123 ,   ,   ,   ,   ,   ,2012,7
Thomas Jefferson University Hospital (PATJ) , PATJ , TX1 , 2012/07/13 , Heart , 3 , 6 , 5 , 35 , 35 , 38 ,   ,   ,   ,   ,   ,2012,7
Temple University Hospital (PATU) , PATU , TX1 , 2012/07/13 , Heart , 2 , 3 , 1 , 11 , 11 , 15 ,   ,   ,   ,   ,   ,2012,7
Hospital of the University of Pennsylvania (PAUP) , PAUP , TX1 , 2012/07/13 , Heart , 6 , 13 , 24 , 117 , 117 , 125 , 0 , 0 ,   , 1 , 1 ,2012,7
Cardiovascular Center of Puerto Rico and the Caribbean (PRCC) , PRCC , TX1 , 2012/07/13 , Heart , 2 , 2 , 4 , 16 , 16 , 26 , 0 , 0 , 0 , 1 , 1 ,2012,7
Medical University of South Carolina (SCMU) , SCMU , TX1 , 2012/07/13 , Heart , 0 , 0 , 4 , 38 , 38 , 34 , 2 , 2 , 3 , 10 , 10 ,2012,7
Baptist Memorial Hospital (TNBM) , TNBM , TX1 , 2012/07/13 , Heart , 1 , 7 , 6 , 24 , 24 , 30 ,   ,   , 0 ,   ,   ,2012,7
Saint Thomas Hospital (TNST) , TNST , TX1 , 2012/07/13 , Heart , 4 , 5 , 12 , 29 , 29 , 38 ,   ,   ,   ,   ,   ,2012,7
Vanderbilt University Medical Center (TNVU) , TNVU , TX1 , 2012/07/13 , Heart , 0 , 0 , 3 , 45 , 45 , 25 , 2 , 2 , 4 , 30 , 30 ,2012,7
Children's Medical Center of Dallas (TXCM) , TXCM , TX1 , 2012/07/13 , Heart , 0 , 0 , 1 , 2 , 2 , 1 , 0 , 3 , 9 , 31 , 31 ,2012,7
Seton Medical Center (TXCT) , TXCT , TX1 , 2012/07/13 , Heart , 2 , 3 , 10 , 27 , 27 , 30 ,   ,   ,   ,   ,   ,2012,7
Medical City Dallas Hospital (TXHD) , TXHD , TX1 , 2012/07/13 , Heart , 0 , 3 , 8 , 40 , 40 , 68 ,   ,   , 1 ,   ,   ,2012,7
St Luke's Episcopal Hospital (TXHI) , TXHI , TX1 , 2012/07/13 , Heart , 7 , 17 , 19 , 100 , 100 , 93 ,   ,   ,   ,   ,   ,2012,7
Methodist Specialty and Transplant Hospital (TXHS) , TXHS , TX1 , 2012/07/13 , Heart , 4 , 5 , 6 , 47 , 47 , 29 , 0 , 0 , 1 , 2 , 2 ,2012,7
University of Texas Medical Branch at Galveston (TXJS) , TXJS , TX1 , 2012/07/13 , Heart , 0 , 2 , 4 , 11 , 11 , 14 ,   ,   ,   ,   ,   ,2012,7
The Methodist Hospital (TXMH) , TXMH , TX1 , 2012/07/13 , Heart , 5 , 6 , 12 , 49 , 49 , 52 ,   ,   ,   ,   ,   ,2012,7
Christus Santa Rosa Hospital Medical Center (TXRM) , TXRM , TX1 , 2012/07/13 , Heart , 0 , 1 , 3 , 11 , 11 , 12 , 0 , 1 , 0 , 1 , 1 ,2012,7
University Hospital - St. Paul (TXSP) , TXSP , TX1 , 2012/07/13 , Heart , 0 , 2 , 2 , 46 , 46 , 31 ,   ,   ,   ,   ,   ,2012,7
Scott and White Memorial Hospital (TXSW) , TXSW , TX1 , 2012/07/13 , Heart , 0 , 2 ,   , 11 , 11 ,   ,   ,   ,   ,   ,   ,2012,7
Texas Children's Hospital (TXTC) , TXTC , TX1 , 2012/07/13 , Heart , 0 , 1 , 0 , 4 , 4 , 2 , 0 , 1 , 6 , 34 , 34 ,2012,7
Baylor University Medical Center (TXTX) , TXTX , TX1 , 2012/07/13 , Heart , 2 , 3 , 8 , 57 , 57 , 51 ,   ,   ,   ,   ,   ,2012,7
Intermountain Medical Center (UTLD) , UTLD , TX1 , 2012/07/13 , Heart , 0 , 0 , 3 , 33 , 33 , 41 ,   ,   ,   ,   ,   ,2012,7
University of Utah Medical Center (UTMC) , UTMC , TX1 , 2012/07/13 , Heart , 3 , 5 , 4 , 33 , 33 , 27 ,   ,   ,   ,   ,   ,2012,7
Primary Children's Medical Center (UTPC) , UTPC , TX1 , 2012/07/13 , Heart , 0 , 0 ,   , 1 , 1 ,   , 1 , 2 , 1 , 18 , 18 ,2012,7
Inova Fairfax Hospital (VAFH) , VAFH , TX1 , 2012/07/13 , Heart , 2 , 5 , 4 , 32 , 32 , 27 ,   ,   , 1 ,   ,   ,2012,7
Medical College of Virginia Hospitals (VAMC) , VAMC , TX1 , 2012/07/13 , Heart , 4 , 7 , 14 , 46 , 46 , 33 ,   ,   ,   ,   ,   ,2012,7
Hunter Holmes McGuire Veterans Administration Medical Center (VAMV) , VAMV , TX1 , 2012/07/13 , Heart , 2 , 2 , 4 , 12 , 12 , 16 ,   ,   ,   ,   ,   ,2012,7
Sentara Norfolk General Hospital (VANG) , VANG , TX1 , 2012/07/13 , Heart , 2 , 5 , 2 , 27 , 27 , 30 ,   ,   ,   ,   ,   ,2012,7
University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2012/07/13 , Heart , 4 , 7 , 2 , 38 , 38 , 25 , 0 , 0 , 2 , 5 , 5 ,2012,7
Seattle Children's Hospital (WACH) , WACH , TX1 , 2012/07/13 , Heart ,   ,   ,   ,   ,   ,   , 1 , 2 , 2 , 28 , 28 ,2012,7
Sacred Heart Medical Center (WASH) , WASH , TX1 , 2012/07/13 , Heart , 2 , 3 , 1 , 24 , 24 , 30 ,   ,   ,   ,   ,   ,2012,7
University of Washington Medical Center (WAUW) , WAUW , TX1 , 2012/07/13 , Heart , 2 , 3 , 3 , 62 , 62 , 46 , 0 , 0 , 0 , 1 , 1 ,2012,7
Children's Hospital of Wisconsin (WICH) , WICH , TX1 , 2012/07/13 , Heart , 0 , 1 , 1 , 2 , 2 , 2 , 0 , 3 , 5 , 34 , 34 ,2012,7
Froedtert Memorial Lutheran Hospital (WISE) , WISE , TX1 , 2012/07/13 , Heart , 0 , 0 , 1 , 3 , 3 , 5 ,   ,   ,   ,   ,   ,2012,7
Aurora St. Luke's Medical Center (WISL) , WISL , TX1 , 2012/07/13 , Heart , 7 , 13 , 6 , 79 , 79 , 33 ,   ,   ,   ,   ,   ,2012,7
University of Wisconsin Hospital and Clinics (WIUW) , WIUW , TX1 , 2012/07/13 , Heart , 0 , 3 , 8 , 51 , 51 , 36 ,   ,   ,   ,   ,   ,2012,7
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2014/03/20 , Heart , 0 , 1 , 9 , 45 , 45 , 38 , 0 , 0 , 0 , 16 , 16 ,2013,1
Baptist Medical Center (ARBH) , ARBH , TX1 , 2014/03/20 , Heart , 0 , 1 , 9 , 21 , 21 , 31 ,   ,   ,   ,   ,   ,2013,1
Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2014/03/20 , Heart , 0 , 0 , 1 , 1 , 1 , 2 , 2 , 10 , 13 , 62 , 62 ,2013,1
Phoenix Children's Hospital (AZCH) , AZCH , TX1 , 2014/03/20 , Heart ,   ,   ,   ,   ,   ,   , 0 , 0 ,   , 2 , 2 ,2013,1
Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2014/03/20 , Heart , 2 , 2 , 6 , 39 , 39 , 45 ,   ,   ,   ,   ,   ,2013,1
St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2014/03/20 , Heart ,   ,   ,   ,   ,   ,   , 0 , 0 ,   , 9 , 9 ,2013,1
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2014/03/20 , Heart , 0 , 2 , 11 , 28 , 28 , 55 , 0 , 0 , 0 , 2 , 2 ,2013,1
Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2014/03/20 , Heart ,   ,   , 0 ,   ,   , 1 , 0 , 0 , 1 , 7 , 7 ,2013,1
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2014/03/20 , Heart , 6 , 12 , 15 , 164 , 164 , 79 ,   ,   ,   ,   ,   ,2013,1
Loma Linda University Medical Center (CALL) , CALL , TX1 , 2014/03/20 , Heart , 1 , 2 , 6 , 24 , 24 , 23 , 1 , 1 , 7 , 24 , 24 ,2013,1
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2014/03/20 , Heart , 0 , 0 ,   , 1 , 1 ,   , 1 , 3 , 0 , 34 , 34 ,2013,1
California Pacific Medical Center (CAPM) , CAPM , TX1 , 2014/03/20 , Heart , 1 , 4 , 4 , 28 , 28 , 14 ,   ,   ,   ,   ,   ,2013,1
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2014/03/20 , Heart , 1 , 3 , 1 , 12 , 12 , 1 ,   ,   ,   ,   ,   ,2013,1
