ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2012/07/13 , Kidney , 1 , 1 , 0 ,90.91,90.91, 100.00 , 98.72 , 96.30 , 91.43 , 0.14 , 0.38 , 0.63 , 11 , 11 , 7 , 0 , 1 , 5 , 100.00 , 97.73 , 98.57 , 96.34 , 86.99 , 0.64 , 1.64 , 6.66 , 44 , 44 ,2012,7
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Kidney , 5 , 11 , 59 ,98.26,96, 81.90 , 97.66 , 93.38 , 84.79 , 6.77 , 17.97 , 48.85 , 287 , 287 , 326 , 2 , 2 , 1 , 90.48 , 90.48 , 97.41 , 94.60 , 83.60 , 0.50 , 0.91 , 1.21 , 21 , 21 ,2012,7
Scripps Green Hospital (CAGH) , CAGH , TX1 , 2012/07/13 , Kidney , 1 , 4 , 7 ,98.94,95.26, 90.00 , 97.84 , 93.87 , 86.05 , 2.02 , 5.53 , 10.09 , 94 , 94 , 70 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of California Irvine Medical Center (CAIM) , CAIM , TX1 , 2012/07/13 , Kidney , 3 , 7 , 13 ,96.7,91.62, 82.43 , 97.85 , 93.91 , 85.82 , 1.94 , 5.17 , 10.46 , 91 , 91 , 74 , 0 , 0 , 2 , 100.00 , 100.00 , 98.09 , 96.17 , 86.10 , 0.10 , 0.20 , 1.32 , 5 , 5 ,2012,7
Kaiser Permanente-San Francisco Medical Center (CAKP) , CAKP , TX1 , 2012/07/13 , Kidney ,0,0, 1 ,0,0, 87.50 ,0,0, 89.72 ,0,0, 0.80 ,0,0, 8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Harbor UCLA Medical Center (CALA) , CALA , TX1 , 2012/07/13 , Kidney , 1 , 3 , 7 ,98.21,94.03, 90.54 , 97.68 , 93.43 , 85.63 , 1.31 , 3.66 , 10.67 , 56 , 56 , 74 ,0,0, 0 ,0,0,0,0, 93.76 ,0,0, 0.06 ,0,0,2012,7
St Mary Medical Center (CALB) , CALB , TX1 , 2012/07/13 , Kidney ,0,0, 2 ,0,0, 86.67 ,0,0, 87.98 ,0,0, 1.72 ,0,0, 15 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Loma Linda University Medical Center (CALL) , CALL , TX1 , 2012/07/13 , Kidney , 5 , 9 , 24 ,97.81,95.74, 88.29 , 97.93 , 94.12 , 88.06 , 4.69 , 12.38 , 24.47 , 228 , 228 , 205 , 0 , 1 , 4 , 100.00 , 97.30 , 98.12 , 95.88 , 85.13 , 0.71 , 1.48 , 4.22 , 37 , 37 ,2012,7
Santa Rosa Memorial Hospital (CAMH) , CAMH , TX1 , 2012/07/13 , Kidney ,0,0, 0 ,0,0, 100.00 ,0,0, 85.91 ,0,0, 0.61 ,0,0, 4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2012/07/13 , Kidney , 0 , 0 , 2 ,100,100, 81.82 , 98.76 , 96.43 , 86.30 , 0.17 , 0.51 , 1.55 , 14 , 14 , 11 , 1 , 2 , 2 , 98.25 , 96.01 , 98.05 , 95.56 , 87.91 , 1.13 , 2.46 , 5.63 , 57 , 57 ,2012,7
California Pacific Medical Center (CAPM) , CAPM , TX1 , 2012/07/13 , Kidney , 2 , 14 , 49 ,99.54,96.37, 89.21 , 97.74 , 93.59 , 86.16 , 10.07 , 27.20 , 64.02 , 439 , 439 , 454 , 0 , 0 ,0, 100.00 , 100.00 , 99.57 , 99.14 ,0, 0.00 , 0.01 ,0, 1 , 1 ,2012,7
Riverside Community Hospital (CARC) , CARC , TX1 , 2012/07/13 , Kidney , 2 , 4 , 16 ,96.3,91.96, 81.40 , 97.82 , 93.81 , 86.07 , 1.17 , 3.03 , 11.66 , 54 , 54 , 86 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Arrowhead Regional Medical Center (CASB) , CASB , TX1 , 2012/07/13 , Kidney , 0 , 0 , 3 ,100,100, 76.92 , 97.71 , 93.46 , 85.96 , 0.05 , 0.14 , 1.55 , 2 , 2 , 13 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2012/07/13 , Kidney , 5 , 11 , 31 ,97.79,95, 86.52 , 97.94 , 94.14 , 87.95 , 4.68 , 12.57 , 27.56 , 226 , 226 , 230 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2012/07/13 , Kidney , 9 , 24 , 84 ,98.79,96.49, 89.34 , 98.19 , 94.84 , 87.76 , 13.54 , 36.44 , 97.39 , 744 , 744 , 788 , 2 , 3 , 8 , 95.65 , 93.48 , 98.22 , 95.76 , 86.51 , 0.78 , 1.66 , 7.69 , 46 , 46 ,2012,7
Sutter Memorial Hospital (CASG) , CASG , TX1 , 2012/07/13 , Kidney , 4 , 6 , 9 ,92,85.19, 78.57 , 97.86 , 93.92 , 86.37 , 0.98 , 2.35 , 5.17 , 50 , 50 , 42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Sharp Memorial Hospital (CASH) , CASH , TX1 , 2012/07/13 , Kidney , 3 , 5 , 27 ,98.51,97.42, 84.39 , 97.96 , 94.20 , 87.15 , 4.14 , 11.43 , 22.37 , 201 , 201 , 173 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Saint Joseph Hospital (CASJ) , CASJ , TX1 , 2012/07/13 , Kidney , 0 , 2 , 1 ,100,96.77, 98.88 , 98.68 , 96.21 , 89.85 , 0.85 , 2.44 , 9.61 , 64 , 64 , 89 ,0,0, 0 ,0,0,0,0, 81.77 ,0,0, 0.20 ,0,0,2012,7
University of California Davis Medical Center (CASM) , CASM , TX1 , 2012/07/13 , Kidney , 15 , 27 , 29 ,96.76,93.9, 89.93 , 97.67 , 93.42 , 86.55 , 10.76 , 27.34 , 39.09 , 463 , 463 , 288 , 0 , 0 , 2 , 100.00 , 100.00 , 98.34 , 96.12 , 86.57 , 0.20 , 0.41 , 1.69 , 12 , 12 ,2012,7
Stanford University Medical Center (CASU) , CASU , TX1 , 2012/07/13 , Kidney , 2 , 5 , 11 ,99.11,97.56, 93.96 , 98.17 , 94.78 , 88.56 , 4.11 , 11.22 , 21.64 , 225 , 225 , 182 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
St. Vincent Medical Center (CASV) , CASV , TX1 , 2012/07/13 , Kidney , 4 , 8 , 54 ,97.16,94.03, 84.21 , 97.81 , 93.78 , 87.48 , 3.09 , 8.29 , 40.20 , 141 , 141 , 342 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2012/07/13 , Kidney , 10 , 25 , 59 ,98.44,95.83, 90.85 , 98.11 , 94.63 , 87.36 , 12.13 , 32.19 , 83.89 , 640 , 640 , 645 , 1 , 1 , 4 , 97.37 , 97.37 , 98.18 , 95.75 , 87.79 , 0.70 , 1.47 , 8.27 , 38 , 38 ,2012,7
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2012/07/13 , Kidney , 2 , 5 , 12 ,99,97.5, 91.95 , 97.49 , 92.92 , 88.03 , 5.12 , 13.43 , 18.26 , 200 , 200 , 149 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Western Medical Center (CAWM) , CAWM , TX1 , 2012/07/13 , Kidney , 1 , 1 , 7 ,96.3,96.3, 82.05 , 97.37 , 92.55 , 86.87 , 0.69 , 1.83 , 4.99 , 27 , 27 , 39 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Children's Hospital Colorado (COCH) , COCH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 0 ,100,100, 100.00 , 98.30 , 95.10 , 84.48 , 0.02 , 0.05 , 0.51 , 1 , 1 , 3 , 0 , 0 , 6 , 100.00 , 100.00 , 98.10 , 95.85 , 86.33 , 0.43 , 0.85 , 2.95 , 22 , 22 ,2012,7
Centura Porter Adventist Hospital (COPM) , COPM , TX1 , 2012/07/13 , Kidney , 2 , 5 , 16 ,98.97,97.19, 88.73 , 98.17 , 94.78 , 87.89 , 3.58 , 9.73 , 17.52 , 194 , 194 , 142 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Presbyterian/St Lukes Medical Center (COSL) , COSL , TX1 , 2012/07/13 , Kidney , 3 , 8 , 9 ,97.67,93.15, 90.82 , 98.30 , 95.14 , 88.04 , 2.19 , 5.81 , 11.91 , 129 , 129 , 98 , 0 , 0 ,0, 100.00 , 100.00 , 99.33 , 97.01 ,0, 0.01 , 0.02 ,0, 1 , 1 ,2012,7
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2012/07/13 , Kidney , 8 , 25 , 30 ,97.78,92.65, 89.05 , 98.22 , 94.91 , 88.53 , 6.42 , 16.72 , 31.61 , 360 , 360 , 274 , 0 , 0 ,0, 100.00 , 100.00 , 97.31 , 94.61 ,0, 0.05 , 0.09 ,0, 2 , 2 ,2012,7
Hartford Hospital (CTHH) , CTHH , TX1 , 2012/07/13 , Kidney , 2 , 7 , 11 ,98.44,93.67, 90.91 , 98.22 , 94.91 , 87.66 , 2.31 , 6.06 , 15.38 , 128 , 128 , 121 , 0 , 0 , 2 , 100.00 , 100.00 , 99.03 , 97.50 , 88.40 , 0.03 , 0.06 , 0.86 , 3 , 3 ,2012,7
Yale New Haven Hospital (CTYN) , CTYN , TX1 , 2012/07/13 , Kidney , 6 , 8 , 36 ,97.67,96.9, 82.18 , 97.89 , 94.01 , 84.26 , 5.47 , 14.45 , 32.67 , 258 , 258 , 202 , 0 , 0 , 1 , 100.00 , 100.00 , 97.14 , 94.27 , 86.34 , 0.12 , 0.24 , 1.10 , 4 , 4 ,2012,7
Children's National Medical Center (DCCH) , DCCH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 2 ,100,100, 50.00 , 97.76 , 93.61 , 83.79 , 0.14 , 0.39 , 0.48 , 6 , 6 , 4 , 0 , 1 , 4 , 100.00 , 96.43 , 98.01 , 95.56 , 83.72 , 0.57 , 1.17 , 3.41 , 28 , 28 ,2012,7
Georgetown University Medical Center (DCGU) , DCGU , TX1 , 2012/07/13 , Kidney , 1 , 8 , 9 ,99.32,94.03, 89.29 , 97.98 , 94.26 , 87.02 , 3.02 , 8.02 , 10.85 , 148 , 148 , 84 , 0 , 0 , 0 , 100.00 , 100.00 , 97.27 , 94.56 , 80.73 , 0.06 , 0.11 , 0.21 , 2 , 2 ,2012,7
Howard University Hospital (DCHU) , DCHU , TX1 , 2012/07/13 , Kidney , 1 , 3 , 6 ,92.86,78.57, 66.67 , 97.18 , 91.99 , 81.00 , 0.40 , 1.09 , 2.82 , 14 , 14 , 18 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Washington Hospital Center (DCWH) , DCWH , TX1 , 2012/07/13 , Kidney , 0 , 11 , 33 ,100,95.93, 86.90 , 97.74 , 93.60 , 84.86 , 6.56 , 17.70 , 38.90 , 286 , 286 , 252 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Walter Reed National Military Medical Center at Bethesda (DCWR) , DCWR , TX1 , 2012/07/13 , Kidney , 1 , 2 , 4 ,98.18,95.84, 93.65 , 98.12 , 94.68 , 85.79 , 1.05 , 2.77 , 9.74 , 55 , 55 , 63 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Alfred I DuPont Hospital for Children (DEAI) , DEAI , TX1 , 2012/07/13 , Kidney ,0,0, 0 ,0,0, 100.00 ,0,0, 88.37 ,0,0, 0.12 ,0,0, 1 , 0 , 0 , 1 , 100.00 , 100.00 , 98.28 , 95.63 , 85.95 , 0.12 , 0.28 , 1.02 , 7 , 7 ,2012,7
Christiana Care Health Services (DECC) , DECC , TX1 , 2012/07/13 , Kidney , 0 , 0 , 4 ,100,100, 87.88 , 97.87 , 93.92 , 86.38 , 1.19 , 3.14 , 4.43 , 55 , 55 , 33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
All Children's Hospital (FLAC) , FLAC , TX1 , 2012/07/13 , Kidney ,0,0, 0 ,0,0, 100.00 ,0,0, 85.60 ,0,0, 0.16 ,0,0, 1 ,0,0, 0 ,0,0,0,0, 93.44 ,0,0, 0.20 ,0,0,2012,7
Florida Hospital Medical Center (FLFH) , FLFH , TX1 , 2012/07/13 , Kidney , 4 , 13 , 47 ,98.95,96.41, 87.02 , 97.88 , 93.97 , 86.00 , 8.13 , 22.02 , 52.19 , 381 , 381 , 362 , 0 , 0 , 3 , 100.00 , 100.00 , 96.89 , 93.80 , 80.74 , 0.13 , 0.22 , 0.78 , 4 , 4 ,2012,7
Gulf Coast Medical Center (FLFR) , FLFR , TX1 , 2012/07/13 , Kidney , 6 , 8 , 13 ,93.48,91.07, 88.79 , 97.48 , 92.87 , 85.30 , 2.28 , 6.00 , 18.06 , 92 , 92 , 116 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Halifax Medical Center (FLHM) , FLHM , TX1 , 2012/07/13 , Kidney , 0 , 2 , 3 ,100,91.35, 25.00 , 97.22 , 92.15 , 85.70 , 0.74 , 1.90 , 0.29 , 26 , 26 , 4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2012/07/13 , Kidney , 10 , 39 , 59 ,98.31,92.82, 87.84 , 97.24 , 92.29 , 83.98 , 16.65 , 44.53 , 80.51 , 592 , 592 , 485 , 0 , 1 , 8 , 100.00 , 96.30 , 98.05 , 95.49 , 83.21 , 0.53 , 1.18 , 7.43 , 27 , 27 ,2012,7
Shands Jacksonville (FLJT) , FLJT , TX1 , 2012/07/13 , Kidney , 4 , 10 , 19 ,94.12,85.29, 77.11 , 93.65 , 82.89 , 79.09 , 4.17 , 11.71 , 17.44 , 68 , 68 , 83 , 0 , 0 , 1 , 100.00 , 100.00 , 91.83 , 84.42 , 78.64 , 0.17 , 0.35 , 0.01 , 2 , 2 ,2012,7
Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2012/07/13 , Kidney , 3 , 7 , 25 ,98.74,96.86, 87.31 , 97.86 , 93.91 , 86.31 , 5.16 , 13.92 , 26.91 , 239 , 239 , 197 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Tampa General Hospital (FLTG) , FLTG , TX1 , 2012/07/13 , Kidney , 14 , 33 , 37 ,97.15,92.89, 91.25 , 97.93 , 94.11 , 86.14 , 10.12 , 26.52 , 61.26 , 491 , 491 , 423 , 2 , 2 , 5 , 90.48 , 90.48 , 98.30 , 96.05 , 87.05 , 0.34 , 0.74 , 3.11 , 21 , 21 ,2012,7
Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2012/07/13 , Kidney , 16 , 30 , 61 ,95.12,90.24, 84.40 , 97.11 , 91.91 , 83.15 , 9.35 , 23.89 , 66.24 , 328 , 328 , 391 , 0 , 2 , 1 , 100.00 , 92.59 , 98.00 , 95.64 , 82.84 , 0.57 , 1.23 , 1.79 , 28 , 28 ,2012,7
Children's Healthcare of Atlanta at Egleston (GAEH) , GAEH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 0 ,100,100, 100.00 , 97.48 , 92.84 , 85.83 , 0.13 , 0.35 , 0.93 , 5 , 5 , 6 , 0 , 1 , 8 , 100.00 , 98.51 , 98.16 , 95.56 , 85.18 , 1.26 , 2.76 , 7.54 , 67 , 67 ,2012,7
Emory University Hospital (GAEM) , GAEM , TX1 , 2012/07/13 , Kidney , 6 , 17 , 37 ,98.6,95.69, 88.92 , 97.76 , 93.64 , 85.09 , 9.70 , 25.98 , 50.65 , 428 , 428 , 334 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Georgia Health Sciences Medical Center (GAMC) , GAMC , TX1 , 2012/07/13 , Kidney , 3 , 9 , 31 ,98.4,94.92, 84.88 , 96.66 , 90.68 , 84.10 , 6.32 , 16.37 , 32.35 , 188 , 188 , 205 , 0 , 0 , 2 , 100.00 , 100.00 , 96.86 , 93.01 , 83.84 , 0.23 , 0.54 , 1.05 , 7 , 7 ,2012,7
Piedmont Hospital (GAPH) , GAPH , TX1 , 2012/07/13 , Kidney , 1 , 9 , 26 ,99.69,96.87, 90.81 , 98.20 , 94.87 , 85.61 , 5.85 , 15.75 , 42.24 , 324 , 324 , 283 ,0,0, 0 ,0,0,0,0, 83.72 ,0,0, 0.18 ,0,0,2012,7
Hawaii Medical Center East (HISF) , HISF , TX1 , 2012/07/13 , Kidney , 2 , 5 , 13 ,98.2,95.5, 88.70 , 98.52 , 95.76 , 87.56 , 1.65 , 4.35 , 14.31 , 111 , 111 , 115 , 0 , 0 , 2 , 100.00 , 100.00 , 97.85 , 95.15 , 84.53 , 0.07 , 0.15 , 0.35 , 3 , 3 ,2012,7
Iowa Methodist Medical Center (IAIM) , IAIM , TX1 , 2012/07/13 , Kidney , 3 , 5 , 9 ,94.74,91.08, 78.05 , 97.60 , 93.22 , 85.62 , 1.29 , 3.13 , 4.85 , 57 , 57 , 41 , 0 , 0 , 0 , 100.00 , 100.00 , 99.11 , 98.20 , 82.95 , 0.01 , 0.02 , 0.37 , 1 , 1 ,2012,7
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2012/07/13 , Kidney , 2 , 6 , 11 ,98.76,95.92, 90.00 , 97.42 , 92.73 , 85.17 , 4.21 , 11.13 , 16.62 , 161 , 161 , 110 , 0 , 0 , 3 , 100.00 , 100.00 , 98.57 , 96.49 , 86.17 , 0.40 , 1.00 , 0.73 , 28 , 28 ,2012,7
Iowa City VA Medical Center (IAIV) , IAIV , VA1 , 2012/07/13 , Kidney , 0 , 2 , 9 ,100,96.08, 85.94 , 97.70 , 93.49 , 83.38 , 1.52 , 4.10 , 10.97 , 65 , 65 , 64 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Mercy Medical Center-Des Moines (IAMH) , IAMH , TX1 , 2012/07/13 , Kidney , 1 , 3 , 5 ,98.11,93.44, 90.38 , 97.87 , 93.94 , 88.00 , 1.14 , 3.08 , 6.37 , 53 , 53 , 52 ,0,0, 0 ,0,0,0,0, 72.66 ,0,0, 0.32 ,0,0,2012,7
Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0,100,100,0, 98.69 , 96.21 ,0, 0.04 , 0.09 ,0, 3 , 3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Children's Memorial Hospital (ILCM) , ILCM , TX1 , 2012/07/13 , Kidney , 0 , 0 , 1 ,100,100, 87.50 , 98.47 , 95.59 , 83.81 , 0.08 , 0.23 , 1.37 , 5 , 5 , 8 , 1 , 2 , 3 , 97.50 , 95.00 , 98.35 , 95.96 , 88.44 , 0.67 , 1.55 , 3.89 , 40 , 40 ,2012,7
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2012/07/13 , Kidney , 4 , 8 , 28 ,97.2,94.03, 84.09 , 97.83 , 93.83 , 84.50 , 3.07 , 8.44 , 25.93 , 143 , 143 , 176 , 1 , 1 , 2 , 87.50 , 87.50 , 97.93 , 95.64 , 86.19 , 0.16 , 0.30 , 1.60 , 8 , 8 ,2012,7
Memorial Medical Center (ILMM) , ILMM , TX1 , 2012/07/13 , Kidney , 0 , 2 , 14 ,100,95.35, 76.27 , 96.91 , 91.36 , 85.43 , 1.36 , 3.29 , 8.16 , 43 , 43 , 59 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2012/07/13 , Kidney , 15 , 44 , 66 ,97.54,92.23, 88.66 , 97.89 , 94.03 , 87.91 , 12.76 , 33.93 , 71.19 , 610 , 610 , 582 , 0 , 0 ,0, 100.00 , 100.00 , 99.22 , 97.60 ,0, 0.02 , 0.05 ,0, 2 , 2 ,2012,7
Rush University Medical Center (ILPL) , ILPL , TX1 , 2012/07/13 , Kidney , 5 , 19 , 61 ,97.8,91.35, 77.74 , 97.22 , 92.16 , 81.77 , 6.34 , 16.71 , 48.23 , 227 , 227 , 274 , 0 , 0 , 1 , 100.00 , 100.00 , 97.88 , 95.75 , 86.65 , 0.09 , 0.15 , 0.21 , 4 , 4 ,2012,7
OSF Saint Francis Medical Center (ILSF) , ILSF , TX1 , 2012/07/13 , Kidney , 1 , 3 , 12 ,99.21,97.45, 85.37 , 97.71 , 93.50 , 86.32 , 2.96 , 8.14 , 10.92 , 127 , 127 , 82 , 0 , 0 , 0 , 100.00 , 100.00 , 98.27 , 95.56 , 88.73 , 0.09 , 0.23 , 0.85 , 5 , 5 ,2012,7
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2012/07/13 , Kidney , 5 , 12 , 36 ,96.86,92, 82.69 , 97.72 , 93.55 , 82.31 , 3.63 , 9.62 , 37.32 , 159 , 159 , 208 , 1 , 1 , 2 , 87.50 , 87.50 , 98.39 , 96.15 , 84.02 , 0.12 , 0.25 , 1.11 , 8 , 8 ,2012,7
University of Illinois Medical Center (ILUI) , ILUI , TX1 , 2012/07/13 , Kidney , 9 , 17 , 25 ,97.04,94.1, 87.75 , 98.20 , 94.88 , 87.13 , 5.45 , 14.61 , 27.14 , 304 , 304 , 204 , 0 , 3 , 3 , 100.00 , 85.89 , 98.53 , 96.21 , 87.36 , 0.37 , 0.83 , 2.07 , 25 , 25 ,2012,7
Indiana University Health (INIM) , INIM , TX1 , 2012/07/13 , Kidney , 7 , 19 , 66 ,98.54,95.62, 86.36 , 97.65 , 93.34 , 85.93 , 11.45 , 31.01 , 70.36 , 480 , 480 , 484 , 3 , 4 , 2 , 92.11 , 88.93 , 98.11 , 95.38 , 87.34 , 0.65 , 1.42 , 4.08 , 38 , 38 ,2012,7
Lutheran Hospital of Fort Wayne (INLH) , INLH , TX1 , 2012/07/13 , Kidney , 1 , 1 , 6 ,98.51,98.51, 83.78 , 98.27 , 95.03 , 87.30 , 1.18 , 3.17 , 4.43 , 67 , 67 , 37 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
