ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ACT_C3Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2012/07/13 , Lung , 1 , 8 , 19 ,97.37,77.86, 53.45 , 96.62 , 87.35 , 64.31 , 1.30 , 4.54 , 13.10 , 38 , 38 , 41 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2012/07/13 , Lung , 2 , 10 , 26 ,96.92,83.33, 65.58 , 96.52 , 86.96 , 66.46 , 2.29 , 7.78 , 26.38 , 65 , 65 , 76 , 0 , 1 , 0 , 100.00 , 0.00 , 100.00 ,0,0,0,0,0,0, 1 , 1 ,2012,7
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2012/07/13 , Lung , 1 , 2 , 9 ,95.45,89.09, 52.63 , 96.87 , 88.19 , 61.29 , 0.68 , 2.33 , 6.27 , 22 , 22 , 19 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2012/07/13 , Lung , 5 , 24 , 34 ,95.33,75.26, 60.07 , 94.52 , 80.77 , 64.59 , 5.97 , 19.01 , 32.03 , 107 , 107 , 86 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Tampa General Hospital (FLTG) , FLTG , TX1 , 2012/07/13 , Lung , 4 , 17 , 30 ,96.8,84.89, 68.31 , 94.85 , 81.86 , 65.39 , 6.48 , 21.36 , 32.52 , 125 , 125 , 95 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2012/07/13 , Lung , 4 , 19 , 39 ,94.94,74.6, 56.18 , 91.77 , 73.14 , 54.98 , 6.79 , 19.83 , 34.84 , 79 , 79 , 89 ,0,0, 3 ,0,0, 25.00 ,0,0,0,0,0,0,0,0,2012,7
Emory University Hospital (GAEM) , GAEM , TX1 , 2012/07/13 , Lung , 6 , 11 , 20 ,92,85.12, 67.74 , 95.40 , 83.22 , 58.23 , 3.38 , 11.66 , 27.12 , 75 , 75 , 62 ,0,0, 2 ,0,0, 0.00 ,0,0,0,0,0,0,0,0,2012,7
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2012/07/13 , Lung , 1 , 4 , 4 ,97.56,89.59, 76.47 , 96.53 , 87.12 , 71.12 , 1.42 , 4.91 , 5.14 , 41 , 41 , 17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2012/07/13 , Lung , 5 , 11 , 32 ,94.44,87.6, 66.71 , 95.31 , 83.65 , 63.57 , 4.21 , 13.90 , 33.76 , 90 , 90 , 97 , 1 , 1 ,0, 66.67 , 66.67 ,0,0,0,0,0,0,0, 3 , 3 ,2012,7
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2012/07/13 , Lung , 5 , 10 , 8 ,84.85,69.09, 76.47 , 94.74 , 81.59 , 66.36 , 1.70 , 5.31 , 11.58 , 33 , 33 , 34 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2012,7
Indiana University Health (INIM) , INIM , TX1 , 2012/07/13 , Lung , 2 , 8 , 35 ,97.67,90.33, 55.10 , 96.36 , 86.54 , 67.36 , 3.04 , 10.41 , 22.22 , 86 , 86 , 78 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Jewish Hospital (KYJH) , KYJH , TX1 , 2012/07/13 , Lung , 1 , 4 , 5 ,94.74,71.58, 77.01 , 96.52 , 86.97 , 67.54 , 0.67 , 2.07 , 7.86 , 19 , 19 , 22 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Kentucky Medical Center (KYUK) , KYUK , TX1 , 2012/07/13 , Lung , 2 , 7 , 27 ,93.55,71.73, 44.70 , 96.00 , 85.34 , 63.80 , 1.20 , 3.71 , 15.07 , 31 , 31 , 49 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2012,7
Ochsner Foundation Hospital (LAOF) , LAOF , TX1 , 2012/07/13 , Lung , 1 , 3 ,0,96.15,85.66,0, 96.67 , 87.67 ,0, 0.84 , 2.69 ,0, 26 , 26 ,0, 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 2 , 2 ,2012,7
Children's Hospital (MACH) , MACH , TX1 , 2012/07/13 , Lung , 0 , 0 , 2 ,100,100, 33.33 , 97.20 , 89.39 , 69.61 , 0.14 , 0.51 , 0.48 , 5 , 5 , 3 , 2 , 3 , 4 , 83.33 , 74.07 , 42.86 ,0,0,0,0,0,0, 12 , 12 ,2012,7
Massachusetts General Hospital (MAMG) , MAMG , TX1 , 2012/07/13 , Lung , 1 , 1 , 9 ,96.88,96.88, 55.00 , 96.40 , 86.70 , 60.20 , 1.10 , 4.22 , 6.80 , 32 , 32 , 20 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2012,7
Brigham and Women's Hospital (MAPB) , MAPB , TX1 , 2012/07/13 , Lung , 3 , 8 , 22 ,96.34,90.01, 62.17 , 95.39 , 83.36 , 66.55 , 3.87 , 13.42 , 18.98 , 82 , 82 , 59 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Johns Hopkins Hospital (MDJH) , MDJH , TX1 , 2012/07/13 , Lung , 0 , 8 , 14 ,100,84.6, 66.59 , 94.46 , 80.49 , 59.51 , 3.24 , 10.72 , 17.94 , 56 , 56 , 43 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Maryland Medical System (MDUM) , MDUM , TX1 , 2012/07/13 , Lung , 6 , 11 , 20 ,91.3,83.69, 50.98 , 93.10 , 76.87 , 57.05 , 4.63 , 15.07 , 17.12 , 69 , 69 , 41 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Henry Ford Hospital (MIHF) , MIHF , TX1 , 2012/07/13 , Lung , 3 , 6 , 11 ,88.46,74.49, 59.26 , 95.72 , 84.67 , 62.15 , 1.07 , 3.67 , 9.86 , 26 , 26 , 27 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Michigan Medical Center (MIUM) , MIUM , TX1 , 2012/07/13 , Lung , 3 , 7 , 15 ,96.05,90.36, 75.89 , 96.16 , 85.93 , 66.22 , 2.92 , 9.77 , 21.25 , 76 , 76 , 64 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2012,7
Saint Marys Hospital (Mayo Clinic) (MNSM) , MNSM , TX1 , 2012/07/13 , Lung , 3 , 7 , 10 ,92.31,82.05, 69.44 , 96.74 , 87.77 , 68.61 , 1.23 , 4.18 , 10.08 , 39 , 39 , 33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
"University of Minnesota Medical Center, Fairview (MNUM) ", MNUM , TX1 , 2012/07/13 , Lung , 2 , 4 , 20 ,96.36,92.73, 73.92 , 96.77 , 87.89 , 65.76 , 1.76 , 6.07 , 27.07 , 55 , 55 , 77 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Barnes-Jewish Hospital (MOBH) , MOBH , TX1 , 2012/07/13 , Lung , 6 , 18 , 43 ,95.95,86.8, 70.31 , 95.76 , 84.68 , 65.67 , 6.30 , 21.41 , 53.05 , 148 , 148 , 145 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
St. Louis Children's Hospital (MOCH) , MOCH , TX1 , 2012/07/13 , Lung , 0 , 0 , 2 ,100,100, 60.00 , 93.36 , 77.01 , 48.00 , 0.21 , 0.83 , 3.99 , 3 , 3 , 5 , 3 , 8 , 12 , 91.67 , 75.38 , 58.62 ,0,0,0,0,0,0, 36 , 36 ,2012,7
Duke University Hospital (NCDU) , NCDU , TX1 , 2012/07/13 , Lung , 8 , 34 , 50 ,97.09,85.89, 67.14 , 94.31 , 79.80 , 63.75 , 15.88 , 53.11 , 57.60 , 275 , 275 , 154 , 0 , 3 , 0 , 100.00 , 66.67 , 100.00 ,0,0,0,0,0,0, 9 , 9 ,2012,7
University of North Carolina Hospitals (NCMH) , NCMH , TX1 , 2012/07/13 , Lung , 2 , 11 , 13 ,93.1,59.49, 51.59 , 95.52 , 83.80 , 56.42 , 1.32 , 4.16 , 10.63 , 29 , 29 , 27 , 0 , 0 , 2 , 100.00 , 100.00 , 60.00 ,0,0,0,0,0,0, 5 , 5 ,2012,7
Newark Beth Israel Medical Center (NJBI) , NJBI , TX1 , 2012/07/13 , Lung , 0 , 5 , 1 ,100,75.03, 66.67 , 94.53 , 80.78 , 70.61 , 1.37 , 4.20 , 1.02 , 24 , 24 , 3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP) , NYCP , TX1 , 2012/07/13 , Lung , 5 , 14 , 32 ,96.15,88.68, 73.77 , 96.16 , 85.78 , 63.92 , 5.02 , 17.50 , 47.60 , 130 , 130 , 122 , 0 , 0 , 2 , 100.00 , 100.00 , 33.33 ,0,0,0,0,0,0, 3 , 3 ,2012,7
Mount Sinai Medical Center (NYMS) , NYMS , TX1 , 2012/07/13 , Lung ,0,0, 11 ,0,0, 50.00 ,0,0, 60.38 ,0,0, 7.55 ,0,0, 22 ,0,0, 1 ,0,0, 0.00 ,0,0,0,0,0,0,0,0,2012,7
The Cleveland Clinic Foundation (OHCC) , OHCC , TX1 , 2012/07/13 , Lung , 15 , 56 , 53 ,95.21,81.04, 66.46 , 95.67 , 84.32 , 60.40 , 13.68 , 46.48 , 64.96 , 313 , 313 , 160 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2012,7
Nationwide Children's Hospital (OHCH) , OHCH , TX1 , 2012/07/13 , Lung , 0 , 1 , 2 ,100,50, 0.00 , 97.12 , 89.08 , 76.27 , 0.06 , 0.22 , 0.50 , 2 , 2 , 2 , 0 , 0 , 1 , 100.00 , 100.00 , 66.67 ,0,0,0,0,0,0, 1 , 1 ,2012,7
Ohio State University Medical Center (OHOU) , OHOU , TX1 , 2012/07/13 , Lung , 0 , 1 , 2 ,100,50, 80.00 , 96.85 , 88.11 , 68.99 , 0.06 , 0.21 , 3.32 , 2 , 2 , 10 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University Hospitals of Cleveland (OHUH) , OHUH , TX1 , 2012/07/13 , Lung , 2 , 2 , 1 ,81.82,81.82, 83.33 , 96.05 , 85.42 , 69.97 , 0.36 , 1.23 , 1.89 , 11 , 11 , 6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Integris Baptist Medical Center (OKBC) , OKBC , TX1 , 2012/07/13 , Lung , 3 , 6 , 12 ,90.91,79.22, 55.31 , 96.03 , 85.30 , 63.60 , 1.32 , 4.53 , 9.81 , 33 , 33 , 27 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Allegheny General Hospital (PAAG) , PAAG , TX1 , 2012/07/13 , Lung , 0 , 2 , 2 ,100,33.33, 0.00 , 93.11 , 76.60 , 52.26 , 0.22 , 0.59 , 0.20 , 3 , 3 , 2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Children's Hospital of Pittsburgh of UPMC (PACH) , PACH , TX1 , 2012/07/13 , Lung ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0 , 0 , 1 , 100.00 , 100.00 , 80.00 ,0,0,0,0,0,0, 5 , 5 ,2012,7
Children's Hospital of Philadelphia (PACP) , PACP , TX1 , 2012/07/13 , Lung , 0 , 0 ,0,100,100,0, 96.24 , 85.94 ,0, 0.08 , 0.30 ,0, 2 , 2 ,0, 1 , 2 , 1 , 85.71 , 71.43 , 88.89 ,0,0,0,0,0,0, 7 , 7 ,2012,7
University of Pittsburgh Medical Center (PAPT) , PAPT , TX1 , 2012/07/13 , Lung , 12 , 42 , 99 ,96.05,85.37, 65.36 , 95.56 , 83.93 , 63.19 , 13.34 , 44.64 , 100.37 , 304 , 304 , 286 ,0,0, 0 ,0,0, 100.00 ,0,0,0,0,0,0,0,0,2012,7
Temple University Hospital (PATU) , PATU , TX1 , 2012/07/13 , Lung , 5 , 14 , 47 ,88.1,65.29, 40.51 , 95.14 , 82.25 , 56.50 , 1.93 , 6.14 , 28.88 , 42 , 42 , 79 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Hospital of the University of Pennsylvania (PAUP) , PAUP , TX1 , 2012/07/13 , Lung , 4 , 17 , 36 ,96.64,84.23, 68.42 , 96.14 , 85.69 , 66.99 , 4.65 , 15.74 , 36.47 , 119 , 119 , 114 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Medical University of South Carolina (SCMU) , SCMU , TX1 , 2012/07/13 , Lung , 0 , 0 ,0,100,100,0, 94.31 , 79.37 ,0, 0.18 , 0.45 ,0, 3 , 3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Baptist Memorial Hospital (TNBM) , TNBM , TX1 , 2012/07/13 , Lung , 1 , 9 , 6 ,95,53.18, 53.85 , 96.13 , 85.70 , 65.75 , 0.79 , 2.07 , 3.38 , 20 , 20 , 13 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Vanderbilt University Medical Center (TNVU) , TNVU , TX1 , 2012/07/13 , Lung , 2 , 3 , 11 ,95.92,93.88, 55.47 , 96.35 , 86.37 , 69.38 , 1.77 , 6.45 , 6.78 , 49 , 49 , 25 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
"University Hospital, University of Texas Health Science Center (TXBC) ", TXBC , TX1 , 2012/07/13 , Lung , 2 , 11 , 24 ,97.73,85.93, 60.42 , 95.42 , 83.52 , 58.56 , 4.03 , 13.53 , 25.07 , 88 , 88 , 61 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
St Luke's Episcopal Hospital (TXHI) , TXHI , TX1 , 2012/07/13 , Lung , 1 , 1 , 7 ,95,95, 50.00 , 96.24 , 86.16 , 65.93 , 0.69 , 2.32 , 3.39 , 20 , 20 , 14 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Texas Medical Branch at Galveston (TXJS) , TXJS , TX1 , 2012/07/13 , Lung , 1 , 3 , 1 ,92.86,76.19, 66.67 , 96.20 , 85.93 , 63.93 , 0.50 , 1.68 , 0.83 , 14 , 14 , 3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
The Methodist Hospital (TXMH) , TXMH , TX1 , 2012/07/13 , Lung , 21 , 46 , 38 ,90.75,78.67, 63.35 , 94.33 , 79.89 , 55.15 , 12.68 , 41.36 , 48.29 , 227 , 227 , 104 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University Hospital - St. Paul (TXSP) , TXSP , TX1 , 2012/07/13 , Lung , 2 , 7 , 14 ,96.43,84.42, 68.18 , 95.69 , 84.33 , 65.41 , 2.45 , 8.10 , 15.93 , 56 , 56 , 44 ,0,0, 1 ,0,0, 0.00 ,0,0,0,0,0,0,0,0,2012,7
Texas Children's Hospital (TXTC) , TXTC , TX1 , 2012/07/13 , Lung , 0 , 2 , 3 ,100,60, 25.00 , 88.58 , 71.15 , 66.10 , 0.70 , 1.92 , 1.40 , 5 , 5 , 4 , 0 , 3 , 9 , 100.00 , 87.66 , 61.98 ,0,0,0,0,0,0, 29 , 29 ,2012,7
Baylor University Medical Center (TXTX) , TXTX , TX1 , 2012/07/13 , Lung , 2 , 7 , 9 ,93.75,73.13, 65.38 , 96.35 , 86.34 , 64.89 , 1.18 , 3.52 , 8.70 , 32 , 32 , 26 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2012,7
University of Utah Medical Center (UTMC) , UTMC , TX1 , 2012/07/13 , Lung , 5 , 7 , 4 ,75,62.22, 81.82 , 96.67 , 87.48 , 65.57 , 0.52 , 1.57 , 8.47 , 20 , 20 , 22 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2012,7
Inova Fairfax Hospital (VAFH) , VAFH , TX1 , 2012/07/13 , Lung , 1 , 2 , 23 ,98.36,96.72, 63.49 , 96.34 , 86.43 , 68.51 , 2.27 , 8.10 , 19.59 , 61 , 61 , 63 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Virginia Health Sciences Center (VAUV) , VAUV , TX1 , 2012/07/13 , Lung , 5 , 10 , 25 ,90.38,78.74, 53.62 , 96.61 , 87.27 , 67.30 , 1.66 , 5.61 , 17.03 , 52 , 52 , 55 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Washington Medical Center (WAUW) , WAUW , TX1 , 2012/07/13 , Lung , 6 , 19 , 29 ,95.04,83.73, 74.72 , 96.38 , 86.61 , 68.12 , 4.36 , 13.96 , 38.85 , 121 , 121 , 118 , 0 , 1 , 0 , 100.00 , 0.00 , 100.00 ,0,0,0,0,0,0, 1 , 1 ,2012,7
Children's Hospital of Wisconsin (WICH) , WICH , TX1 , 2012/07/13 , Lung ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1 ,0,0, 0.00 ,0,0,0,0,0,0,0,0,2012,7
Froedtert Memorial Lutheran Hospital (WISE) , WISE , TX1 , 2012/07/13 , Lung , 0 , 0 , 3 ,100,100, 50.00 , 96.25 , 86.03 , 64.65 , 0.19 , 0.75 , 1.85 , 5 , 5 , 6 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 1 , 1 ,2012,7
Aurora St. Luke's Medical Center (WISL) , WISL , TX1 , 2012/07/13 , Lung , 1 , 7 , 8 ,94.12,54.9, 52.94 , 96.11 , 85.58 , 67.39 , 0.62 , 2.07 , 4.70 , 17 , 17 , 17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Wisconsin Hospital and Clinics (WIUW) , WIUW , TX1 , 2012/07/13 , Lung , 3 , 17 , 23 ,96.67,80.9, 68.30 , 96.47 , 86.82 , 66.12 , 3.19 , 10.53 , 24.20 , 90 , 90 , 74 , 0 , 0 , 0 , 100.00 , 100.00 , 100.00 ,0,0,0,0,0,0, 1 , 1 ,2012,7
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2014/03/20 , Lung , 5 , 12 , 24 ,89.13,73.91, 57.89 , 95.81 , 83.95 , 66.28 , 1.88 , 7.09 , 17.98 , 46 , 46 , 57 , 0 , 0 , 0 , 100.00 , 100.00 , 100.00 ,0,0,0,0,0,0, 2 , 2 ,2013,1
St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2014/03/20 , Lung , 2 , 16 , 8 ,97.59,80.72, 68.00 , 96.08 , 84.91 , 68.11 , 3.24 , 12.67 , 8.36 , 83 , 83 , 25 , 0 , 0 , 1 , 100.00 , 100.00 , 0.00 ,0,0,0,0,0,0, 1 , 1 ,2013,1
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2014/03/20 , Lung , 2 , 11 , 20 ,95.56,75.56, 55.56 , 95.94 , 84.44 , 62.46 , 1.80 , 6.32 , 18.07 , 45 , 45 , 45 , 0 , 0 , 1 , 100.00 , 100.00 , 0.00 ,0,0,0,0,0,0, 1 , 1 ,2013,1
Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2014/03/20 , Lung , 0 , 1 , 1 ,100,50, 50.00 , 97.58 , 90.29 , 64.85 , 0.05 , 0.14 , 0.29 , 2 , 2 , 2 , 0 , 0 , 2 , 100.00 , 100.00 , 66.67 ,0,0,0,0,0,0, 3 , 3 ,2013,1
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2014/03/20 , Lung , 1 , 7 , 24 ,97.62,83.03, 55.56 , 94.27 , 79.68 , 63.94 , 2.53 , 10.08 , 16.57 , 42 , 42 , 54 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2014/03/20 , Lung , 0 , 0 ,0,100,100,0, 98.23 , 92.82 ,0, 0.02 , 0.07 ,0, 1 , 1 ,0, 0 , 1 ,0, 100.00 , 75.00 ,0,0,0,0,0,0,0, 4 , 4 ,2013,1
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2014/03/20 , Lung , 1 , 4 , 9 ,97.73,90.91, 72.60 , 96.68 , 86.94 , 61.29 , 1.42 , 5.83 , 13.17 , 44 , 44 , 33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2014/03/20 , Lung , 1 , 7 , 28 ,99.03,93.16, 66.76 , 95.87 , 84.14 , 62.08 , 4.25 , 17.40 , 36.47 , 103 , 103 , 89 , 0 , 0 , 1 , 100.00 , 100.00 , 0.00 ,0,0,0,0,0,0, 2 , 2 ,2013,1
Stanford University Medical Center (CASU) , CASU , TX1 , 2014/03/20 , Lung , 1 , 13 , 33 ,98.84,84.88, 66.05 , 95.93 , 84.28 , 68.78 , 3.55 , 13.84 , 31.65 , 86 , 86 , 99 , 0 , 0 , 3 , 100.00 , 100.00 , 25.00 ,0,0,0,0,0,0, 1 , 1 ,2013,1
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2014/03/20 , Lung , 1 , 16 , 47 ,99.29,88.55, 63.78 , 96.65 , 86.84 , 62.58 , 4.76 , 19.18 , 53.34 , 140 , 140 , 131 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2014/03/20 , Lung , 1 , 5 , 23 ,96.67,83.33, 49.67 , 96.85 , 87.60 , 65.45 , 0.95 , 3.66 , 13.94 , 30 , 30 , 46 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2014/03/20 , Lung , 3 , 10 , 28 ,95.45,84.85, 63.10 , 96.78 , 87.32 , 67.78 , 2.13 , 8.30 , 24.91 , 66 , 66 , 76 , 0 , 1 , 1 , 100.00 , 0.00 , 50.00 ,0,0,0,0,0,0, 1 , 1 ,2013,1
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2014/03/20 , Lung , 2 , 4 , 9 ,92,84, 43.75 , 96.63 , 86.87 , 59.98 , 0.82 , 2.95 , 4.97 , 25 , 25 , 16 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1
