ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of California San Diego Medical Center (CASD),CASD,TX1,2022-01-06 18:00:00,LI,1,5,13,126,126,73,,,,,,2021,11
University of California San Francisco Medical Center (CASF),CASF,TX1,2022-01-06 18:00:00,LI,5,10,48,333,333,397,0,0,,1,1,2021,11
Stanford Health Care (CASU),CASU,TX1,2022-01-06 18:00:00,LI,6,10,27,162,162,175,,,,,,2021,11
St. Vincent Medical Center (CASV),CASV,TX1,2022-01-06 18:00:00,LI,1,1,,13,13,,,,,,,2021,11
University of California at Los Angeles Medical Center (CAUC),CAUC,TX1,2022-01-06 18:00:00,LI,11,22,49,314,314,312,1,1,1,29,29,2021,11
Keck Hospital of USC (CAUH),CAUH,TX1,2022-01-06 18:00:00,LI,4,13,29,256,256,219,,,,,,2021,11
Children's Hospital Colorado (COCH),COCH,TX1,2022-01-06 18:00:00,LI,,,,,,,0,1,5,29,29,2021,11
Centura Porter Adventist Hospital (COPM),COPM,TX1,2022-01-06 18:00:00,LI,0,1,8,2,2,30,,,,,,2021,11
Presbyterian/St Luke's Medical Center (COSL),COSL,TX1,2022-01-06 18:00:00,LI,0,0,3,30,30,24,,,,,,2021,11
University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2022-01-06 18:00:00,LI,9,19,25,247,247,218,,,0,,,2021,11
Hartford Hospital (CTHH),CTHH,TX1,2022-01-06 18:00:00,LI,5,7,10,49,49,61,,,,,,2021,11
Yale New Haven Hospital (CTYN),CTYN,TX1,2022-01-06 18:00:00,LI,2,3,5,57,57,51,0,0,4,12,12,2021,11
Georgetown University Medical Center (DCGU),DCGU,TX1,2022-01-06 18:00:00,LI,5,7,16,192,192,186,4,5,2,42,42,2021,11
Alfred I DuPont Hospital for Children (DEAI),DEAI,TX1,2022-01-06 18:00:00,LI,,,,,,,1,1,3,14,14,2021,11
Broward Health Medical Center (FLBC),FLBC,TX1,2022-01-06 18:00:00,LI,2,3,6,30,30,37,,,,,,2021,11
Cleveland Clinic Florida Weston (FLCC),FLCC,TX1,2022-01-06 18:00:00,LI,7,12,19,97,97,123,,,,,,2021,11
Florida Hospital Medical Center (FLFH),FLFH,TX1,2022-01-06 18:00:00,LI,8,12,14,117,117,159,0,1,0,12,12,2021,11
Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2022-01-06 18:00:00,LI,4,11,27,227,227,200,2,3,9,32,32,2021,11
Largo Medical Center (FLLM),FLLM,TX1,2022-01-06 18:00:00,LI,2,3,1,34,34,8,,,,,,2021,11
Mayo Clinic Florida (FLSL),FLSL,TX1,2022-01-06 18:00:00,LI,10,18,40,324,324,356,,,,,,2021,11
Tampa General Hospital (FLTG),FLTG,TX1,2022-01-06 18:00:00,LI,7,12,19,279,279,159,,,,,,2021,11
UF Health Shands Hospital (FLUF),FLUF,TX1,2022-01-06 18:00:00,LI,1,1,15,84,84,67,,,,,,2021,11
Children's Healthcare of Atlanta at Egleston (GAEH),GAEH,TX1,2022-01-06 18:00:00,LI,1,1,0,3,3,5,0,0,7,42,42,2021,11
Emory University Hospital (GAEM),GAEM,TX1,2022-01-06 18:00:00,LI,5,13,26,255,255,293,0,0,,1,1,2021,11
Piedmont Hospital (GAPH),GAPH,TX1,2022-01-06 18:00:00,LI,11,23,36,279,279,277,,,,,,2021,11
The Queen's Medical Center (HIQM),HIQM,TX1,2022-01-06 18:00:00,LI,2,4,6,32,32,38,,,,,,2021,11
University of Iowa Hospitals and Clinics Transplant Programs (IAIV),IAIV,TX1,2022-01-06 18:00:00,LI,7,7,5,71,71,54,,,,,,2021,11
Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM),ILCM,TX1,2022-01-06 18:00:00,LI,,,0,,,1,6,9,6,30,30,2021,11
Loyola University Medical Center (ILLU),ILLU,TX1,2022-01-06 18:00:00,LI,8,10,16,144,144,122,,,,,,2021,11
Northwestern Memorial Hospital (ILNM),ILNM,TX1,2022-01-06 18:00:00,LI,13,25,22,204,204,223,,,0,,,2021,11
Rush University Medical Center (ILPL),ILPL,TX1,2022-01-06 18:00:00,LI,5,6,7,79,79,67,,,,,,2021,11
University of Chicago Medical Center (ILUC),ILUC,TX1,2022-01-06 18:00:00,LI,3,9,8,94,94,50,1,1,1,4,4,2021,11
University of Illinois Medical Center (ILUI),ILUI,TX1,2022-01-06 18:00:00,LI,0,7,10,110,110,71,,,,,,2021,11
Indiana University Health (INIM),INIM,TX1,2022-01-06 18:00:00,LI,15,18,29,279,279,319,1,2,1,24,24,2021,11
University of Kansas Hospital (KSUK),KSUK,TX1,2022-01-06 18:00:00,LI,4,7,20,117,117,213,,,,,,2021,11
Jewish Hospital (KYJH),KYJH,TX1,2022-01-06 18:00:00,LI,2,2,16,42,42,86,,,,,,2021,11
University of Kentucky Medical Center (KYUK),KYUK,TX1,2022-01-06 18:00:00,LI,3,4,7,96,96,88,,,,,,2021,11
Children's Hospital (LACH),LACH,TX1,2022-01-06 18:00:00,LI,,,,,,,0,0,,1,1,2021,11
Ochsner Foundation Hospital (LAOF),LAOF,TX1,2022-01-06 18:00:00,LI,15,32,57,420,420,412,0,1,0,9,9,2021,11
Tulane Medical Center (LATU),LATU,TX1,2022-01-06 18:00:00,LI,1,2,3,42,42,43,,,,,,2021,11
Willis-Knighton Medical Center (LAWK),LAWK,TX1,2022-01-06 18:00:00,LI,1,3,6,29,29,39,,,,,,2021,11
Beth Israel Deaconess Medical Center (MABI),MABI,TX1,2022-01-06 18:00:00,LI,5,7,5,77,77,76,,,,,,2021,11
